Iter   f          |gradf|    alpha     
-------------------------------------
1      9.27e+00   3.86e-02   1.00e+00  
2      9.36e+00   2.77e-02   1.00e+00  
3      9.36e+00   2.17e-02   1.00e+00  
4      9.37e+00   1.80e-02   1.00e+00  
5      9.37e+00   1.53e-02   1.00e+00  
6      9.37e+00   1.34e-02   1.00e+00  
7      9.37e+00   1.19e-02   1.00e+00  
8      9.37e+00   1.07e-02   1.00e+00  
9      9.37e+00   9.74e-03   1.00e+00  
10     9.37e+00   8.93e-03   1.00e+00  
11     9.37e+00   8.25e-03   1.00e+00  
12     9.37e+00   7.67e-03   1.00e+00  
13     9.37e+00   7.16e-03   1.00e+00  
14     9.37e+00   6.72e-03   1.00e+00  
15     9.37e+00   6.33e-03   1.00e+00  
16     9.37e+00   5.98e-03   1.00e+00  
17     9.37e+00   5.67e-03   1.00e+00  
18     9.37e+00   5.39e-03   1.00e+00  
19     9.37e+00   5.14e-03   1.00e+00  
20     9.37e+00   4.91e-03   1.00e+00  
21     9.37e+00   4.70e-03   1.00e+00  
22     9.37e+00   4.50e-03   1.00e+00  
23     9.37e+00   4.33e-03   1.00e+00  
24     9.37e+00   4.16e-03   1.00e+00  
25     9.37e+00   4.01e-03   1.00e+00  
26     9.37e+00   3.87e-03   1.00e+00  
27     9.37e+00   3.74e-03   1.00e+00  
28     9.37e+00   3.62e-03   1.00e+00  
29     9.37e+00   3.50e-03   1.00e+00  
30     9.37e+00   3.39e-03   1.00e+00  
31     9.37e+00   3.29e-03   1.00e+00  
32     9.37e+00   3.20e-03   1.00e+00  
33     9.37e+00   3.11e-03   1.00e+00  
34     9.37e+00   3.02e-03   1.00e+00  
35     9.37e+00   2.94e-03   1.00e+00  
36     9.37e+00   2.86e-03   1.00e+00  
37     9.37e+00   2.79e-03   1.00e+00  
38     9.37e+00   2.72e-03   1.00e+00  
39     9.37e+00   2.66e-03   1.00e+00  
40     9.37e+00   2.59e-03   1.00e+00  
41     9.37e+00   2.54e-03   1.00e+00  
42     9.37e+00   2.48e-03   1.00e+00  
43     9.37e+00   2.42e-03   1.00e+00  
44     9.37e+00   2.37e-03   1.00e+00  
45     9.37e+00   2.32e-03   1.00e+00  
46     9.37e+00   2.27e-03   1.00e+00  
47     9.37e+00   2.23e-03   1.00e+00  
48     9.37e+00   2.18e-03   1.00e+00  
49     9.37e+00   2.14e-03   1.00e+00  
50     9.37e+00   2.10e-03   1.00e+00  
51     9.37e+00   2.06e-03   1.00e+00  
52     9.37e+00   2.02e-03   1.00e+00  
53     9.37e+00   1.99e-03   1.00e+00  
54     9.37e+00   1.95e-03   1.00e+00  
55     9.37e+00   1.92e-03   1.00e+00  
56     9.37e+00   1.89e-03   1.00e+00  
57     9.37e+00   1.86e-03   1.00e+00  
58     9.37e+00   1.82e-03   1.00e+00  
59     9.37e+00   1.79e-03   1.00e+00  
60     9.37e+00   1.77e-03   1.00e+00  
61     9.37e+00   1.74e-03   1.00e+00  
62     9.37e+00   1.71e-03   1.00e+00  
63     9.37e+00   1.69e-03   1.00e+00  
64     9.37e+00   1.66e-03   1.00e+00  
65     9.37e+00   1.64e-03   1.00e+00  
66     9.37e+00   1.61e-03   1.00e+00  
67     9.37e+00   1.59e-03   1.00e+00  
68     9.37e+00   1.57e-03   1.00e+00  
