Iter   f          |gradf|    alpha     
-------------------------------------
1      9.27e+00   3.00e-01   7.11e-15  
2      9.30e+00   3.00e-01   3.55e-15  
3      9.30e+00   3.00e-01   8.88e-16  
4      9.30e+00   3.00e-01   5.55e-17  
5      9.30e+00   3.00e-01   5.55e-17  
6      9.30e+00   3.00e-01   5.55e-17  
7      9.30e+00   3.00e-01   5.55e-17  
8      9.30e+00   3.00e-01   5.55e-17  
9      9.30e+00   3.00e-01   5.55e-17  
10     9.30e+00   3.00e-01   5.55e-17  
11     9.30e+00   3.00e-01   5.55e-17  
12     9.30e+00   3.00e-01   5.55e-17  
13     9.30e+00   3.00e-01   5.55e-17  
14     9.30e+00   3.00e-01   5.55e-17  
15     9.30e+00   3.00e-01   5.55e-17  
16     9.30e+00   3.00e-01   5.55e-17  
17     9.30e+00   3.00e-01   5.55e-17  
18     9.30e+00   3.00e-01   5.55e-17  
19     9.30e+00   3.00e-01   5.55e-17  
20     9.30e+00   3.00e-01   5.55e-17  
21     9.30e+00   3.00e-01   5.55e-17  
22     9.30e+00   3.00e-01   5.55e-17  
23     9.30e+00   3.00e-01   5.55e-17  
24     9.30e+00   3.00e-01   5.55e-17  
25     9.30e+00   3.00e-01   5.55e-17  
26     9.30e+00   3.00e-01   5.55e-17  
27     9.30e+00   3.00e-01   5.55e-17  
28     9.30e+00   3.00e-01   5.55e-17  
29     9.30e+00   3.00e-01   5.55e-17  
30     9.30e+00   3.00e-01   5.55e-17  
31     9.30e+00   3.00e-01   5.55e-17  
32     9.30e+00   3.00e-01   5.55e-17  
33     9.30e+00   3.00e-01   5.55e-17  
34     9.30e+00   3.00e-01   5.55e-17  
35     9.30e+00   3.00e-01   5.55e-17  
36     9.30e+00   3.00e-01   5.55e-17  
37     9.30e+00   3.00e-01   5.55e-17  
38     9.30e+00   3.00e-01   5.55e-17  
39     9.30e+00   3.00e-01   5.55e-17  
40     9.30e+00   3.00e-01   5.55e-17  
41     9.30e+00   3.00e-01   5.55e-17  
42     9.30e+00   3.00e-01   5.55e-17  
43     9.30e+00   3.00e-01   5.55e-17  
44     9.30e+00   3.00e-01   5.55e-17  
45     9.30e+00   3.00e-01   5.55e-17  
46     9.30e+00   3.00e-01   5.55e-17  
47     9.30e+00   3.00e-01   5.55e-17  
48     9.30e+00   3.00e-01   5.55e-17  
49     9.30e+00   3.00e-01   5.55e-17  
50     9.30e+00   3.00e-01   5.55e-17  
51     9.30e+00   3.00e-01   5.55e-17  
52     9.30e+00   3.00e-01   5.55e-17  
53     9.30e+00   3.00e-01   5.55e-17  
54     9.30e+00   3.00e-01   5.55e-17  
55     9.30e+00   3.00e-01   5.55e-17  
56     9.30e+00   3.00e-01   5.55e-17  
57     9.30e+00   3.00e-01   5.55e-17  
58     9.30e+00   3.00e-01   5.55e-17  
59     9.30e+00   3.00e-01   5.55e-17  
60     9.30e+00   3.00e-01   5.55e-17  
61     9.30e+00   3.00e-01   5.55e-17  
62     9.30e+00   3.00e-01   5.55e-17  
63     9.30e+00   3.00e-01   5.55e-17  
64     9.30e+00   3.00e-01   5.55e-17  
65     9.30e+00   3.00e-01   5.55e-17  
66     9.30e+00   3.00e-01   5.55e-17  
67     9.30e+00   3.00e-01   5.55e-17  
68     9.30e+00   3.00e-01   5.55e-17  
69     9.30e+00   3.00e-01   5.55e-17  
70     9.30e+00   3.00e-01   5.55e-17  
71     9.30e+00   3.00e-01   5.55e-17  
72     9.30e+00   3.00e-01   5.55e-17  
73     9.30e+00   3.00e-01   5.55e-17  
74     9.30e+00   3.00e-01   5.55e-17  
75     9.30e+00   3.00e-01   5.55e-17  
76     9.30e+00   3.00e-01   5.55e-17  
77     9.30e+00   3.00e-01   5.55e-17  
78     9.30e+00   3.00e-01   5.55e-17  
79     9.30e+00   3.00e-01   5.55e-17  
80     9.30e+00   3.00e-01   5.55e-17  
81     9.30e+00   3.00e-01   5.55e-17  
82     9.30e+00   3.00e-01   5.55e-17  
83     9.30e+00   3.00e-01   5.55e-17  
84     9.30e+00   3.00e-01   5.55e-17  
85     9.30e+00   3.00e-01   5.55e-17  
86     9.30e+00   3.00e-01   5.55e-17  
87     9.30e+00   3.00e-01   5.55e-17  
88     9.30e+00   3.00e-01   5.55e-17  
89     9.30e+00   3.00e-01   5.55e-17  
90     9.30e+00   3.00e-01   5.55e-17  
91     9.30e+00   3.00e-01   5.55e-17  
92     9.30e+00   3.00e-01   5.55e-17  
93     9.30e+00   3.00e-01   5.55e-17  
94     9.30e+00   3.00e-01   5.55e-17  
95     9.30e+00   3.00e-01   5.55e-17  
96     9.30e+00   3.00e-01   5.55e-17  
97     9.30e+00   3.00e-01   5.55e-17  
98     9.30e+00   3.00e-01   5.55e-17  
99     9.30e+00   3.00e-01   5.55e-17  
100    9.30e+00   3.00e-01   5.55e-17  
101    9.30e+00   3.00e-01   5.55e-17  
102    9.30e+00   3.00e-01   5.55e-17  
103    9.30e+00   3.00e-01   5.55e-17  
104    9.30e+00   3.00e-01   5.55e-17  
105    9.30e+00   3.00e-01   5.55e-17  
106    9.30e+00   3.00e-01   5.55e-17  
107    9.30e+00   3.00e-01   5.55e-17  
108    9.30e+00   3.00e-01   5.55e-17  
109    9.30e+00   3.00e-01   5.55e-17  
110    9.30e+00   3.00e-01   5.55e-17  
111    9.30e+00   3.00e-01   5.55e-17  
112    9.30e+00   3.00e-01   5.55e-17  
113    9.30e+00   3.00e-01   5.55e-17  
114    9.30e+00   3.00e-01   5.55e-17  
115    9.30e+00   3.00e-01   5.55e-17  
116    9.30e+00   3.00e-01   5.55e-17  
117    9.30e+00   3.00e-01   5.55e-17  
118    9.30e+00   3.00e-01   5.55e-17  
119    9.30e+00   3.00e-01   5.55e-17  
120    9.30e+00   3.00e-01   5.55e-17  
121    9.30e+00   3.00e-01   5.55e-17  
122    9.30e+00   3.00e-01   5.55e-17  
123    9.30e+00   3.00e-01   5.55e-17  
124    9.30e+00   3.00e-01   5.55e-17  
125    9.30e+00   3.00e-01   5.55e-17  
126    9.30e+00   3.00e-01   5.55e-17  
127    9.30e+00   3.00e-01   5.55e-17  
128    9.30e+00   3.00e-01   5.55e-17  
129    9.30e+00   3.00e-01   5.55e-17  
130    9.30e+00   3.00e-01   5.55e-17  
131    9.30e+00   3.00e-01   5.55e-17  
132    9.30e+00   3.00e-01   5.55e-17  
133    9.30e+00   3.00e-01   5.55e-17  
134    9.30e+00   3.00e-01   5.55e-17  
135    9.30e+00   3.00e-01   5.55e-17  
136    9.30e+00   3.00e-01   5.55e-17  
137    9.30e+00   3.00e-01   5.55e-17  
138    9.30e+00   3.00e-01   5.55e-17  
139    9.30e+00   3.00e-01   5.55e-17  
140    9.30e+00   3.00e-01   5.55e-17  
141    9.30e+00   3.00e-01   5.55e-17  
142    9.30e+00   3.00e-01   5.55e-17  
143    9.30e+00   3.00e-01   5.55e-17  
144    9.30e+00   3.00e-01   5.55e-17  
145    9.30e+00   3.00e-01   5.55e-17  
146    9.30e+00   3.00e-01   5.55e-17  
147    9.30e+00   3.00e-01   5.55e-17  
148    9.30e+00   3.00e-01   5.55e-17  
149    9.30e+00   3.00e-01   5.55e-17  
150    9.30e+00   3.00e-01   5.55e-17  
151    9.30e+00   3.00e-01   5.55e-17  
152    9.30e+00   3.00e-01   5.55e-17  
153    9.30e+00   3.00e-01   5.55e-17  
154    9.30e+00   3.00e-01   5.55e-17  
155    9.30e+00   3.00e-01   5.55e-17  
156    9.30e+00   3.00e-01   5.55e-17  
157    9.30e+00   3.00e-01   5.55e-17  
158    9.30e+00   3.00e-01   5.55e-17  
159    9.30e+00   3.00e-01   5.55e-17  
160    9.30e+00   3.00e-01   5.55e-17  
161    9.30e+00   3.00e-01   5.55e-17  
162    9.30e+00   3.00e-01   5.55e-17  
163    9.30e+00   3.00e-01   5.55e-17  
164    9.30e+00   3.00e-01   5.55e-17  
165    9.30e+00   3.00e-01   5.55e-17  
166    9.30e+00   3.00e-01   5.55e-17  
167    9.30e+00   3.00e-01   5.55e-17  
168    9.30e+00   3.00e-01   5.55e-17  
169    9.30e+00   3.00e-01   5.55e-17  
170    9.30e+00   3.00e-01   5.55e-17  
171    9.30e+00   3.00e-01   5.55e-17  
172    9.30e+00   3.00e-01   5.55e-17  
173    9.30e+00   3.00e-01   5.55e-17  
174    9.30e+00   3.00e-01   5.55e-17  
175    9.30e+00   3.00e-01   5.55e-17  
176    9.30e+00   3.00e-01   5.55e-17  
177    9.30e+00   3.00e-01   5.55e-17  
178    9.30e+00   3.00e-01   5.55e-17  
179    9.30e+00   3.00e-01   5.55e-17  
180    9.30e+00   3.00e-01   5.55e-17  
181    9.30e+00   3.00e-01   5.55e-17  
182    9.30e+00   3.00e-01   5.55e-17  
183    9.30e+00   3.00e-01   5.55e-17  
184    9.30e+00   3.00e-01   5.55e-17  
185    9.30e+00   3.00e-01   5.55e-17  
186    9.30e+00   3.00e-01   5.55e-17  
187    9.30e+00   3.00e-01   5.55e-17  
188    9.30e+00   3.00e-01   5.55e-17  
189    9.30e+00   3.00e-01   5.55e-17  
190    9.30e+00   3.00e-01   5.55e-17  
191    9.30e+00   3.00e-01   5.55e-17  
192    9.30e+00   3.00e-01   5.55e-17  
193    9.30e+00   3.00e-01   5.55e-17  
194    9.30e+00   3.00e-01   5.55e-17  
195    9.30e+00   3.00e-01   5.55e-17  
196    9.30e+00   3.00e-01   5.55e-17  
197    9.30e+00   3.00e-01   5.55e-17  
198    9.30e+00   3.00e-01   5.55e-17  
199    9.30e+00   3.00e-01   5.55e-17  
200    9.30e+00   3.00e-01   5.55e-17  
201    9.30e+00   3.00e-01   5.55e-17  
202    9.30e+00   3.00e-01   5.55e-17  
203    9.30e+00   3.00e-01   5.55e-17  
204    9.30e+00   3.00e-01   5.55e-17  
205    9.30e+00   3.00e-01   5.55e-17  
206    9.30e+00   3.00e-01   5.55e-17  
207    9.30e+00   3.00e-01   5.55e-17  
208    9.30e+00   3.00e-01   5.55e-17  
209    9.30e+00   3.00e-01   5.55e-17  
210    9.30e+00   3.00e-01   5.55e-17  
211    9.30e+00   3.00e-01   5.55e-17  
212    9.30e+00   3.00e-01   5.55e-17  
213    9.30e+00   3.00e-01   5.55e-17  
214    9.30e+00   3.00e-01   5.55e-17  
215    9.30e+00   3.00e-01   5.55e-17  
216    9.30e+00   3.00e-01   5.55e-17  
217    9.30e+00   3.00e-01   5.55e-17  
218    9.30e+00   3.00e-01   5.55e-17  
219    9.30e+00   3.00e-01   5.55e-17  
220    9.30e+00   3.00e-01   5.55e-17  
221    9.30e+00   3.00e-01   5.55e-17  
222    9.30e+00   3.00e-01   5.55e-17  
223    9.30e+00   3.00e-01   5.55e-17  
224    9.30e+00   3.00e-01   5.55e-17  
225    9.30e+00   3.00e-01   5.55e-17  
226    9.30e+00   3.00e-01   5.55e-17  
227    9.30e+00   3.00e-01   5.55e-17  
228    9.30e+00   3.00e-01   5.55e-17  
229    9.30e+00   3.00e-01   5.55e-17  
230    9.30e+00   3.00e-01   5.55e-17  
231    9.30e+00   3.00e-01   5.55e-17  
232    9.30e+00   3.00e-01   5.55e-17  
233    9.30e+00   3.00e-01   5.55e-17  
234    9.30e+00   3.00e-01   5.55e-17  
235    9.30e+00   3.00e-01   5.55e-17  
236    9.30e+00   3.00e-01   5.55e-17  
237    9.30e+00   3.00e-01   5.55e-17  
238    9.30e+00   3.00e-01   5.55e-17  
239    9.30e+00   3.00e-01   5.55e-17  
240    9.30e+00   3.00e-01   5.55e-17  
241    9.30e+00   3.00e-01   5.55e-17  
242    9.30e+00   3.00e-01   5.55e-17  
243    9.30e+00   3.00e-01   5.55e-17  
244    9.30e+00   3.00e-01   5.55e-17  
245    9.30e+00   3.00e-01   5.55e-17  
246    9.30e+00   3.00e-01   5.55e-17  
247    9.30e+00   3.00e-01   5.55e-17  
248    9.30e+00   3.00e-01   5.55e-17  
249    9.30e+00   3.00e-01   5.55e-17  
250    9.30e+00   3.00e-01   5.55e-17  
251    9.30e+00   3.00e-01   5.55e-17  
252    9.30e+00   3.00e-01   5.55e-17  
253    9.30e+00   3.00e-01   5.55e-17  
254    9.30e+00   3.00e-01   5.55e-17  
255    9.30e+00   3.00e-01   5.55e-17  
256    9.30e+00   3.00e-01   5.55e-17  
257    9.30e+00   3.00e-01   5.55e-17  
258    9.30e+00   3.00e-01   5.55e-17  
259    9.30e+00   3.00e-01   5.55e-17  
260    9.30e+00   3.00e-01   5.55e-17  
261    9.30e+00   3.00e-01   5.55e-17  
262    9.30e+00   3.00e-01   5.55e-17  
263    9.30e+00   3.00e-01   5.55e-17  
264    9.30e+00   3.00e-01   5.55e-17  
265    9.30e+00   3.00e-01   5.55e-17  
266    9.30e+00   3.00e-01   5.55e-17  
267    9.30e+00   3.00e-01   5.55e-17  
268    9.30e+00   3.00e-01   5.55e-17  
269    9.30e+00   3.00e-01   5.55e-17  
270    9.30e+00   3.00e-01   5.55e-17  
271    9.30e+00   3.00e-01   5.55e-17  
272    9.30e+00   3.00e-01   5.55e-17  
273    9.30e+00   3.00e-01   5.55e-17  
274    9.30e+00   3.00e-01   5.55e-17  
275    9.30e+00   3.00e-01   5.55e-17  
276    9.30e+00   3.00e-01   5.55e-17  
277    9.30e+00   3.00e-01   5.55e-17  
278    9.30e+00   3.00e-01   5.55e-17  
279    9.30e+00   3.00e-01   5.55e-17  
280    9.30e+00   3.00e-01   5.55e-17  
281    9.30e+00   3.00e-01   5.55e-17  
282    9.30e+00   3.00e-01   5.55e-17  
283    9.30e+00   3.00e-01   5.55e-17  
284    9.30e+00   3.00e-01   5.55e-17  
285    9.30e+00   3.00e-01   5.55e-17  
286    9.30e+00   3.00e-01   5.55e-17  
287    9.30e+00   3.00e-01   5.55e-17  
288    9.30e+00   3.00e-01   5.55e-17  
289    9.30e+00   3.00e-01   5.55e-17  
290    9.30e+00   3.00e-01   5.55e-17  
291    9.30e+00   3.00e-01   5.55e-17  
292    9.30e+00   3.00e-01   5.55e-17  
293    9.30e+00   3.00e-01   5.55e-17  
294    9.30e+00   3.00e-01   5.55e-17  
295    9.30e+00   3.00e-01   5.55e-17  
296    9.30e+00   3.00e-01   5.55e-17  
297    9.30e+00   3.00e-01   5.55e-17  
298    9.30e+00   3.00e-01   5.55e-17  
299    9.30e+00   3.00e-01   5.55e-17  
300    9.30e+00   3.00e-01   5.55e-17  
301    9.30e+00   3.00e-01   5.55e-17  
302    9.30e+00   3.00e-01   5.55e-17  
303    9.30e+00   3.00e-01   5.55e-17  
304    9.30e+00   3.00e-01   5.55e-17  
305    9.30e+00   3.00e-01   5.55e-17  
306    9.30e+00   3.00e-01   5.55e-17  
307    9.30e+00   3.00e-01   5.55e-17  
308    9.30e+00   3.00e-01   5.55e-17  
309    9.30e+00   3.00e-01   5.55e-17  
310    9.30e+00   3.00e-01   5.55e-17  
311    9.30e+00   3.00e-01   5.55e-17  
312    9.30e+00   3.00e-01   5.55e-17  
313    9.30e+00   3.00e-01   5.55e-17  
314    9.30e+00   3.00e-01   5.55e-17  
315    9.30e+00   3.00e-01   5.55e-17  
316    9.30e+00   3.00e-01   5.55e-17  
317    9.30e+00   3.00e-01   5.55e-17  
318    9.30e+00   3.00e-01   5.55e-17  
319    9.30e+00   3.00e-01   5.55e-17  
320    9.30e+00   3.00e-01   5.55e-17  
321    9.30e+00   3.00e-01   5.55e-17  
322    9.30e+00   3.00e-01   5.55e-17  
323    9.30e+00   3.00e-01   5.55e-17  
324    9.30e+00   3.00e-01   5.55e-17  
325    9.30e+00   3.00e-01   5.55e-17  
326    9.30e+00   3.00e-01   5.55e-17  
327    9.30e+00   3.00e-01   5.55e-17  
328    9.30e+00   3.00e-01   5.55e-17  
329    9.30e+00   3.00e-01   5.55e-17  
330    9.30e+00   3.00e-01   5.55e-17  
331    9.30e+00   3.00e-01   5.55e-17  
332    9.30e+00   3.00e-01   5.55e-17  
333    9.30e+00   3.00e-01   5.55e-17  
334    9.30e+00   3.00e-01   5.55e-17  
335    9.30e+00   3.00e-01   5.55e-17  
336    9.30e+00   3.00e-01   5.55e-17  
337    9.30e+00   3.00e-01   5.55e-17  
338    9.30e+00   3.00e-01   5.55e-17  
339    9.30e+00   3.00e-01   5.55e-17  
340    9.30e+00   3.00e-01   5.55e-17  
341    9.30e+00   3.00e-01   5.55e-17  
342    9.30e+00   3.00e-01   5.55e-17  
343    9.30e+00   3.00e-01   5.55e-17  
344    9.30e+00   3.00e-01   5.55e-17  
345    9.30e+00   3.00e-01   5.55e-17  
346    9.30e+00   3.00e-01   5.55e-17  
347    9.30e+00   3.00e-01   5.55e-17  
348    9.30e+00   3.00e-01   5.55e-17  
349    9.30e+00   3.00e-01   5.55e-17  
350    9.30e+00   3.00e-01   5.55e-17  
351    9.30e+00   3.00e-01   5.55e-17  
352    9.30e+00   3.00e-01   5.55e-17  
353    9.30e+00   3.00e-01   5.55e-17  
354    9.30e+00   3.00e-01   5.55e-17  
355    9.30e+00   3.00e-01   5.55e-17  
356    9.30e+00   3.00e-01   5.55e-17  
357    9.30e+00   3.00e-01   5.55e-17  
358    9.30e+00   3.00e-01   5.55e-17  
359    9.30e+00   3.00e-01   5.55e-17  
360    9.30e+00   3.00e-01   5.55e-17  
361    9.30e+00   3.00e-01   5.55e-17  
362    9.30e+00   3.00e-01   5.55e-17  
363    9.30e+00   3.00e-01   5.55e-17  
364    9.30e+00   3.00e-01   5.55e-17  
365    9.30e+00   3.00e-01   5.55e-17  
366    9.30e+00   3.00e-01   5.55e-17  
367    9.30e+00   3.00e-01   5.55e-17  
368    9.30e+00   3.00e-01   5.55e-17  
369    9.30e+00   3.00e-01   5.55e-17  
370    9.30e+00   3.00e-01   5.55e-17  
371    9.30e+00   3.00e-01   5.55e-17  
372    9.30e+00   3.00e-01   5.55e-17  
373    9.30e+00   3.00e-01   5.55e-17  
374    9.30e+00   3.00e-01   5.55e-17  
375    9.30e+00   3.00e-01   5.55e-17  
376    9.30e+00   3.00e-01   5.55e-17  
377    9.30e+00   3.00e-01   5.55e-17  
378    9.30e+00   3.00e-01   5.55e-17  
379    9.30e+00   3.00e-01   5.55e-17  
380    9.30e+00   3.00e-01   5.55e-17  
381    9.30e+00   3.00e-01   5.55e-17  
382    9.30e+00   3.00e-01   5.55e-17  
383    9.30e+00   3.00e-01   5.55e-17  
384    9.30e+00   3.00e-01   5.55e-17  
385    9.30e+00   3.00e-01   5.55e-17  
386    9.30e+00   3.00e-01   5.55e-17  
387    9.30e+00   3.00e-01   5.55e-17  
388    9.30e+00   3.00e-01   5.55e-17  
389    9.30e+00   3.00e-01   5.55e-17  
390    9.30e+00   3.00e-01   5.55e-17  
391    9.30e+00   3.00e-01   5.55e-17  
392    9.30e+00   3.00e-01   5.55e-17  
393    9.30e+00   3.00e-01   5.55e-17  
394    9.30e+00   3.00e-01   5.55e-17  
395    9.30e+00   3.00e-01   5.55e-17  
396    9.30e+00   3.00e-01   5.55e-17  
397    9.30e+00   3.00e-01   5.55e-17  
398    9.30e+00   3.00e-01   5.55e-17  
399    9.30e+00   3.00e-01   5.55e-17  
400    9.30e+00   3.00e-01   5.55e-17  
401    9.30e+00   3.00e-01   5.55e-17  
402    9.30e+00   3.00e-01   5.55e-17  
403    9.30e+00   3.00e-01   5.55e-17  
404    9.30e+00   3.00e-01   5.55e-17  
405    9.30e+00   3.00e-01   5.55e-17  
406    9.30e+00   3.00e-01   5.55e-17  
407    9.30e+00   3.00e-01   5.55e-17  
408    9.30e+00   3.00e-01   5.55e-17  
409    9.30e+00   3.00e-01   5.55e-17  
410    9.30e+00   3.00e-01   5.55e-17  
411    9.30e+00   3.00e-01   5.55e-17  
412    9.30e+00   3.00e-01   5.55e-17  
413    9.30e+00   3.00e-01   5.55e-17  
414    9.30e+00   3.00e-01   5.55e-17  
415    9.30e+00   3.00e-01   5.55e-17  
416    9.30e+00   3.00e-01   5.55e-17  
417    9.30e+00   3.00e-01   5.55e-17  
418    9.30e+00   3.00e-01   5.55e-17  
419    9.30e+00   3.00e-01   5.55e-17  
420    9.30e+00   3.00e-01   5.55e-17  
421    9.30e+00   3.00e-01   5.55e-17  
422    9.30e+00   3.00e-01   5.55e-17  
423    9.30e+00   3.00e-01   5.55e-17  
424    9.30e+00   3.00e-01   5.55e-17  
425    9.30e+00   3.00e-01   5.55e-17  
426    9.30e+00   3.00e-01   5.55e-17  
427    9.30e+00   3.00e-01   5.55e-17  
428    9.30e+00   3.00e-01   5.55e-17  
429    9.30e+00   3.00e-01   5.55e-17  
430    9.30e+00   3.00e-01   5.55e-17  
431    9.30e+00   3.00e-01   5.55e-17  
432    9.30e+00   3.00e-01   5.55e-17  
433    9.30e+00   3.00e-01   5.55e-17  
434    9.30e+00   3.00e-01   5.55e-17  
435    9.30e+00   3.00e-01   5.55e-17  
436    9.30e+00   3.00e-01   5.55e-17  
437    9.30e+00   3.00e-01   5.55e-17  
438    9.30e+00   3.00e-01   5.55e-17  
439    9.30e+00   3.00e-01   5.55e-17  
440    9.30e+00   3.00e-01   5.55e-17  
441    9.30e+00   3.00e-01   5.55e-17  
442    9.30e+00   3.00e-01   5.55e-17  
443    9.30e+00   3.00e-01   5.55e-17  
444    9.30e+00   3.00e-01   5.55e-17  
445    9.30e+00   3.00e-01   5.55e-17  
446    9.30e+00   3.00e-01   5.55e-17  
447    9.30e+00   3.00e-01   5.55e-17  
448    9.30e+00   3.00e-01   5.55e-17  
449    9.30e+00   3.00e-01   5.55e-17  
450    9.30e+00   3.00e-01   5.55e-17  
451    9.30e+00   3.00e-01   5.55e-17  
452    9.30e+00   3.00e-01   5.55e-17  
453    9.30e+00   3.00e-01   5.55e-17  
454    9.30e+00   3.00e-01   5.55e-17  
455    9.30e+00   3.00e-01   5.55e-17  
456    9.30e+00   3.00e-01   5.55e-17  
457    9.30e+00   3.00e-01   5.55e-17  
458    9.30e+00   3.00e-01   5.55e-17  
459    9.30e+00   3.00e-01   5.55e-17  
460    9.30e+00   3.00e-01   5.55e-17  
461    9.30e+00   3.00e-01   5.55e-17  
462    9.30e+00   3.00e-01   5.55e-17  
463    9.30e+00   3.00e-01   5.55e-17  
464    9.30e+00   3.00e-01   5.55e-17  
465    9.30e+00   3.00e-01   5.55e-17  
466    9.30e+00   3.00e-01   5.55e-17  
467    9.30e+00   3.00e-01   5.55e-17  
468    9.30e+00   3.00e-01   5.55e-17  
469    9.30e+00   3.00e-01   5.55e-17  
470    9.30e+00   3.00e-01   5.55e-17  
471    9.30e+00   3.00e-01   5.55e-17  
472    9.30e+00   3.00e-01   5.55e-17  
473    9.30e+00   3.00e-01   5.55e-17  
474    9.30e+00   3.00e-01   5.55e-17  
475    9.30e+00   3.00e-01   5.55e-17  
476    9.30e+00   3.00e-01   5.55e-17  
477    9.30e+00   3.00e-01   5.55e-17  
478    9.30e+00   3.00e-01   5.55e-17  
479    9.30e+00   3.00e-01   5.55e-17  
480    9.30e+00   3.00e-01   5.55e-17  
481    9.30e+00   3.00e-01   5.55e-17  
482    9.30e+00   3.00e-01   5.55e-17  
483    9.30e+00   3.00e-01   5.55e-17  
484    9.30e+00   3.00e-01   5.55e-17  
485    9.30e+00   3.00e-01   5.55e-17  
486    9.30e+00   3.00e-01   5.55e-17  
487    9.30e+00   3.00e-01   5.55e-17  
488    9.30e+00   3.00e-01   5.55e-17  
489    9.30e+00   3.00e-01   5.55e-17  
490    9.30e+00   3.00e-01   5.55e-17  
491    9.30e+00   3.00e-01   5.55e-17  
492    9.30e+00   3.00e-01   5.55e-17  
493    9.30e+00   3.00e-01   5.55e-17  
494    9.30e+00   3.00e-01   5.55e-17  
495    9.30e+00   3.00e-01   5.55e-17  
496    9.30e+00   3.00e-01   5.55e-17  
497    9.30e+00   3.00e-01   5.55e-17  
498    9.30e+00   3.00e-01   5.55e-17  
499    9.30e+00   3.00e-01   5.55e-17  
500    9.30e+00   3.00e-01   5.55e-17  
501    9.30e+00   3.00e-01   5.55e-17  
502    9.30e+00   3.00e-01   5.55e-17  
503    9.30e+00   3.00e-01   5.55e-17  
504    9.30e+00   3.00e-01   5.55e-17  
505    9.30e+00   3.00e-01   5.55e-17  
506    9.30e+00   3.00e-01   5.55e-17  
507    9.30e+00   3.00e-01   5.55e-17  
