Iter   f          |gradf|    alpha     
-------------------------------------
1      9.27e+00   3.56e-01   8.00e+00  
2      7.66e+00   4.02e-01   2.76e-16  
3      7.66e+00   4.02e-01   8.28e-16  
4      7.66e+00   4.02e-01   8.28e-16  
5      7.66e+00   4.02e-01   8.28e-16  
6      7.66e+00   4.02e-01   1.38e-15  
7      7.66e+00   4.02e-01   2.76e-16  
8      7.66e+00   4.02e-01   8.28e-16  
9      7.66e+00   4.02e-01   1.38e-15  
10     7.66e+00   4.02e-01   8.28e-16  
11     7.66e+00   4.02e-01   2.76e-16  
12     7.66e+00   4.02e-01   1.38e-15  
13     7.66e+00   4.02e-01   8.28e-16  
14     7.66e+00   4.02e-01   2.76e-16  
15     7.66e+00   4.02e-01   2.76e-16  
16     7.66e+00   4.02e-01   2.76e-16  
17     7.66e+00   4.02e-01   2.76e-16  
18     7.66e+00   4.02e-01   2.76e-16  
19     7.66e+00   4.02e-01   2.76e-16  
20     7.66e+00   4.02e-01   2.76e-16  
21     7.66e+00   4.02e-01   2.76e-16  
22     7.66e+00   4.02e-01   2.76e-16  
23     7.66e+00   4.02e-01   2.76e-16  
24     7.66e+00   4.02e-01   2.76e-16  
25     7.66e+00   4.02e-01   2.76e-16  
26     7.66e+00   4.02e-01   2.76e-16  
27     7.66e+00   4.02e-01   2.76e-16  
28     7.66e+00   4.02e-01   2.76e-16  
29     7.66e+00   4.02e-01   2.76e-16  
30     7.66e+00   4.02e-01   2.76e-16  
31     7.66e+00   4.02e-01   2.76e-16  
32     7.66e+00   4.02e-01   2.76e-16  
33     7.66e+00   4.02e-01   2.76e-16  
34     7.66e+00   4.02e-01   2.76e-16  
35     7.66e+00   4.02e-01   2.76e-16  
36     7.66e+00   4.02e-01   2.76e-16  
37     7.66e+00   4.02e-01   2.76e-16  
38     7.66e+00   4.02e-01   2.76e-16  
39     7.66e+00   4.02e-01   2.76e-16  
40     7.66e+00   4.02e-01   2.76e-16  
41     7.66e+00   4.02e-01   2.76e-16  
42     7.66e+00   4.02e-01   2.76e-16  
43     7.66e+00   4.02e-01   2.76e-16  
44     7.66e+00   4.02e-01   2.76e-16  
45     7.66e+00   4.02e-01   2.76e-16  
46     7.66e+00   4.02e-01   2.76e-16  
47     7.66e+00   4.02e-01   2.76e-16  
