Iter   f          |gradf|    alpha     
-------------------------------------
1      9.27e+00   3.56e-01   1.00e+00  
2      7.60e+00   4.33e-01   1.62e-15  
3      7.60e+00   4.33e-01   1.62e-15  
4      7.60e+00   4.33e-01   1.62e-15  
5      7.60e+00   4.33e-01   1.62e-15  
6      7.60e+00   4.33e-01   1.62e-15  
7      7.60e+00   4.33e-01   1.62e-15  
8      7.60e+00   4.33e-01   1.62e-15  
9      7.60e+00   4.33e-01   1.62e-15  
10     7.60e+00   4.33e-01   1.62e-15  
11     7.60e+00   4.33e-01   1.62e-15  
12     7.60e+00   4.33e-01   1.62e-15  
13     7.60e+00   4.33e-01   1.62e-15  
14     7.60e+00   4.33e-01   1.62e-15  
15     7.60e+00   4.33e-01   1.62e-15  
16     7.60e+00   4.33e-01   1.62e-15  
17     7.60e+00   4.33e-01   1.62e-15  
18     7.60e+00   4.33e-01   1.62e-15  
19     7.60e+00   4.33e-01   1.62e-15  
20     7.60e+00   4.33e-01   1.62e-15  
21     7.60e+00   4.33e-01   1.62e-15  
22     7.60e+00   4.33e-01   1.62e-15  
23     7.60e+00   4.33e-01   1.62e-15  
24     7.60e+00   4.33e-01   1.62e-15  
25     7.60e+00   4.33e-01   1.62e-15  
26     7.60e+00   4.33e-01   1.62e-15  
27     7.60e+00   4.33e-01   1.62e-15  
28     7.60e+00   4.33e-01   1.62e-15  
29     7.60e+00   4.33e-01   1.62e-15  
30     7.60e+00   4.33e-01   1.62e-15  
31     7.60e+00   4.33e-01   1.62e-15  
32     7.60e+00   4.33e-01   1.62e-15  
33     7.60e+00   4.33e-01   1.62e-15  
34     7.60e+00   4.33e-01   1.62e-15  
35     7.60e+00   4.33e-01   1.62e-15  
36     7.60e+00   4.33e-01   1.62e-15  
37     7.60e+00   4.33e-01   1.62e-15  
38     7.60e+00   4.33e-01   1.62e-15  
39     7.60e+00   4.33e-01   1.62e-15  
40     7.60e+00   4.33e-01   1.62e-15  
41     7.60e+00   4.33e-01   1.62e-15  
42     7.60e+00   4.33e-01   1.62e-15  
43     7.60e+00   4.33e-01   1.62e-15  
44     7.60e+00   4.33e-01   1.62e-15  
45     7.60e+00   4.33e-01   1.62e-15  
46     7.60e+00   4.33e-01   1.62e-15  
47     7.60e+00   4.33e-01   1.62e-15  
48     7.60e+00   4.33e-01   1.62e-15  
49     7.60e+00   4.33e-01   1.62e-15  
50     7.60e+00   4.33e-01   1.62e-15  
51     7.60e+00   4.33e-01   1.62e-15  
52     7.60e+00   4.33e-01   1.62e-15  
53     7.60e+00   4.33e-01   1.62e-15  
54     7.60e+00   4.33e-01   1.62e-15  
55     7.60e+00   4.33e-01   1.62e-15  
56     7.60e+00   4.33e-01   1.62e-15  
57     7.60e+00   4.33e-01   1.62e-15  
58     7.60e+00   4.33e-01   1.62e-15  
59     7.60e+00   4.33e-01   1.62e-15  
60     7.60e+00   4.33e-01   1.62e-15  
61     7.60e+00   4.33e-01   1.62e-15  
62     7.60e+00   4.33e-01   1.62e-15  
63     7.60e+00   4.33e-01   1.62e-15  
64     7.60e+00   4.33e-01   1.62e-15  
65     7.60e+00   4.33e-01   1.62e-15  
66     7.60e+00   4.33e-01   1.62e-15  
67     7.60e+00   4.33e-01   1.62e-15  
68     7.60e+00   4.33e-01   1.62e-15  
69     7.60e+00   4.33e-01   1.62e-15  
70     7.60e+00   4.33e-01   1.62e-15  
71     7.60e+00   4.33e-01   1.62e-15  
72     7.60e+00   4.33e-01   1.62e-15  
73     7.60e+00   4.33e-01   1.62e-15  
74     7.60e+00   4.33e-01   1.62e-15  
75     7.60e+00   4.33e-01   1.62e-15  
76     7.60e+00   4.33e-01   1.62e-15  
77     7.60e+00   4.33e-01   1.62e-15  
78     7.60e+00   4.33e-01   1.62e-15  
79     7.60e+00   4.33e-01   1.62e-15  
80     7.60e+00   4.33e-01   1.62e-15  
81     7.60e+00   4.33e-01   1.62e-15  
82     7.60e+00   4.33e-01   1.62e-15  
83     7.60e+00   4.33e-01   1.62e-15  
84     7.60e+00   4.33e-01   1.62e-15  
85     7.60e+00   4.33e-01   1.62e-15  
86     7.60e+00   4.33e-01   1.62e-15  
87     7.60e+00   4.33e-01   1.62e-15  
88     7.60e+00   4.33e-01   1.62e-15  
89     7.60e+00   4.33e-01   1.62e-15  
90     7.60e+00   4.33e-01   1.62e-15  
91     7.60e+00   4.33e-01   1.62e-15  
92     7.60e+00   4.33e-01   1.62e-15  
93     7.60e+00   4.33e-01   1.62e-15  
94     7.60e+00   4.33e-01   1.62e-15  
95     7.60e+00   4.33e-01   1.62e-15  
96     7.60e+00   4.33e-01   1.62e-15  
97     7.60e+00   4.33e-01   1.62e-15  
98     7.60e+00   4.33e-01   1.62e-15  
99     7.60e+00   4.33e-01   1.62e-15  
100    7.60e+00   4.33e-01   1.62e-15  
101    7.60e+00   4.33e-01   1.62e-15  
102    7.60e+00   4.33e-01   1.62e-15  
103    7.60e+00   4.33e-01   1.62e-15  
104    7.60e+00   4.33e-01   1.62e-15  
