Iter   f          |gradf|    alpha     
-------------------------------------
1      1.02e+05   2.26e+02   1.00e+00  
2      2.56e+03   3.35e+01   1.00e+00  
3      1.81e+02   5.41e+00   1.00e+00  
4      5.00e+01   3.00e+00   1.00e+00  
5      4.39e+01   4.23e+00   1.00e+00  
6      1.51e+01   3.41e+00   2.50e-01  
7      1.50e+01   2.62e+00   1.00e+00  
8      1.06e+01   4.49e+00   1.00e+00  
9      8.93e+00   1.52e+00   5.00e-01  
10     8.66e+00   3.79e+00   6.25e-02  
11     8.55e+00   3.79e+00   2.50e-01  
12     8.43e+00   1.43e+00   5.00e-01  
13     8.39e+00   5.43e-01   5.00e-01  
14     8.39e+00   1.06e+00   1.00e+00  
15     7.21e+00   3.17e+00   3.12e-02  
16     7.13e+00   3.72e+00   3.12e-02  
17     7.03e+00   2.62e+00   3.12e-02  
18     7.02e+00   3.30e+00   3.12e-02  
19     6.98e+00   2.25e+00   1.56e-02  
20     6.87e+00   2.36e+00   1.25e-01  
21     6.85e+00   2.11e+00   3.12e-02  
22     6.84e+00   1.76e+00   1.00e+00  
23     6.64e+00   1.71e+00   1.00e+00  
24     5.41e+00   1.40e+00   1.00e+00  
25     4.74e+00   6.32e-01   5.00e-01  
26     4.61e+00   1.26e+00   1.00e+00  
27     4.13e+00   1.78e+00   6.25e-02  
28     4.13e+00   1.10e+00   6.25e-02  
29     4.09e+00   1.57e+00   6.25e-02  
30     4.09e+00   1.17e+00   6.25e-02  
31     4.08e+00   1.51e+00   6.25e-02  
32     4.07e+00   1.18e+00   6.25e-02  
33     4.06e+00   1.48e+00   6.25e-02  
34     4.06e+00   1.19e+00   6.25e-02  
35     4.06e+00   1.48e+00   3.12e-02  
36     4.04e+00   1.31e+00   2.50e-01  
37     4.03e+00   1.51e+00   3.12e-02  
38     4.01e+00   1.30e+00   1.25e-01  
39     4.01e+00   1.47e+00   3.12e-02  
40     3.99e+00   1.31e+00   1.25e-01  
41     3.99e+00   1.44e+00   3.12e-02  
42     3.98e+00   1.32e+00   1.25e-01  
43     3.97e+00   1.44e+00   3.12e-02  
44     3.96e+00   1.32e+00   1.25e-01  
45     3.96e+00   1.45e+00   3.12e-02  
46     3.95e+00   1.32e+00   1.25e-01  
47     3.95e+00   1.50e+00   3.12e-02  
48     3.93e+00   1.31e+00   6.25e-02  
49     3.93e+00   1.43e+00   3.12e-02  
50     3.92e+00   1.33e+00   1.25e-01  
51     3.92e+00   1.49e+00   3.12e-02  
52     3.91e+00   1.31e+00   6.25e-02  
53     3.91e+00   1.44e+00   3.12e-02  
54     3.90e+00   1.32e+00   6.25e-02  
55     3.90e+00   1.42e+00   6.25e-02  
56     3.90e+00   1.27e+00   3.12e-02  
57     3.89e+00   1.40e+00   6.25e-02  
58     3.88e+00   1.29e+00   3.12e-02  
59     3.88e+00   1.39e+00   6.25e-02  
60     3.87e+00   1.30e+00   3.12e-02  
61     3.87e+00   1.38e+00   1.25e-01  
62     3.86e+00   1.26e+00   3.12e-02  
63     3.85e+00   1.42e+00   3.12e-02  
64     3.85e+00   1.33e+00   6.25e-02  
65     3.84e+00   1.42e+00   3.12e-02  
66     3.84e+00   1.33e+00   6.25e-02  
67     3.83e+00   1.44e+00   3.12e-02  
68     3.83e+00   1.32e+00   6.25e-02  
69     3.83e+00   1.46e+00   3.12e-02  
70     3.82e+00   1.31e+00   3.12e-02  
