Iter   f          |gradf|    alpha     
-------------------------------------
1      1.02e+05   2.26e+02   1.00e+00  
2      2.56e+03   3.35e+01   1.00e+00  
3      1.81e+02   5.41e+00   1.00e+00  
4      5.00e+01   3.00e+00   1.00e+00  
5      4.39e+01   4.23e+00   1.00e+00  
6      1.51e+01   3.41e+00   2.50e-01  
7      1.50e+01   2.62e+00   2.00e+00  
8      1.00e+01   4.51e+00   1.00e+00  
9      5.96e+00   2.31e+00   2.50e-01  
10     5.53e+00   1.31e+00   1.00e+00  
11     4.82e+00   1.41e+00   1.00e+00  
12     4.50e+00   1.69e+00   1.25e-01  
13     4.44e+00   3.36e-01   1.00e+00  
14     4.42e+00   6.55e-01   5.00e-01  
15     4.42e+00   1.07e+00   2.50e-01  
16     4.35e+00   4.18e-01   2.50e-01  
17     4.31e+00   8.26e-01   5.00e-01  
18     4.28e+00   8.69e-01   1.25e-01  
19     4.24e+00   8.29e-01   2.50e-01  
20     4.16e+00   1.10e+00   6.25e-02  
21     4.03e+00   1.19e+00   1.00e+00  
22     4.00e+00   3.82e+00   6.25e-02  
23     3.56e+00   3.17e+00   1.25e-01  
24     3.39e+00   3.33e+00   2.50e-01  
25     3.10e+00   6.59e-01   5.00e-01  
26     2.79e+00   1.14e+00   4.00e+00  
27     2.33e+00   7.88e-01   1.00e+00  
28     2.24e+00   1.11e+00   5.00e-01  
29     2.22e+00   3.89e-01   2.50e-01  
30     2.20e+00   9.86e-01   5.00e-01  
31     2.17e+00   4.00e-01   2.50e-01  
32     2.15e+00   8.65e-01   5.00e-01  
33     2.12e+00   5.32e-01   2.50e-01  
34     2.10e+00   8.28e-01   5.00e-01  
35     2.07e+00   6.44e-01   2.50e-01  
36     2.06e+00   7.94e-01   2.50e-01  
37     2.02e+00   8.08e-01   5.00e-01  
38     1.99e+00   7.94e-01   1.25e-01  
39     1.96e+00   8.88e-01   2.50e-01  
40     1.96e+00   8.37e-01   1.25e-01  
41     1.94e+00   9.44e-01   6.25e-02  
42     1.93e+00   9.01e-01   2.50e-01  
43     1.93e+00   9.88e-01   6.25e-02  
44     1.91e+00   9.00e-01   1.25e-01  
45     1.91e+00   9.74e-01   6.25e-02  
46     1.90e+00   9.11e-01   1.25e-01  
47     1.90e+00   9.69e-01   6.25e-02  
48     1.89e+00   9.15e-01   1.25e-01  
49     1.89e+00   9.70e-01   6.25e-02  
50     1.88e+00   9.15e-01   1.25e-01  
51     1.88e+00   9.77e-01   6.25e-02  
52     1.87e+00   9.10e-01   1.25e-01  
53     1.87e+00   9.93e-01   6.25e-02  
54     1.87e+00   8.98e-01   6.25e-02  
55     1.86e+00   9.54e-01   1.25e-01  
56     1.86e+00   8.87e-01   6.25e-02  
57     1.85e+00   9.62e-01   6.25e-02  
58     1.85e+00   9.10e-01   1.25e-01  
59     1.85e+00   9.93e-01   6.25e-02  
60     1.84e+00   8.87e-01   6.25e-02  
61     1.84e+00   9.64e-01   6.25e-02  
62     1.84e+00   9.01e-01   6.25e-02  
63     1.83e+00   9.51e-01   1.25e-01  
64     1.83e+00   8.73e-01   6.25e-02  
65     1.83e+00   9.82e-01   6.25e-02  
66     1.82e+00   8.82e-01   6.25e-02  
67     1.82e+00   9.71e-01   6.25e-02  
68     1.82e+00   8.85e-01   6.25e-02  
69     1.81e+00   9.67e-01   6.25e-02  
70     1.81e+00   8.85e-01   6.25e-02  
