Iter   f          |gradf|    alpha     
-------------------------------------
1      1.02e+05   2.26e+02   1.00e+00  
2      8.20e+03   4.90e+01   1.00e+00  
3      1.10e+03   1.33e+01   1.00e+00  
4      1.02e+02   7.92e+00   1.00e+00  
5      4.62e+01   5.31e+00   1.00e+00  
6      2.07e+01   2.18e+00   1.00e+00  
7      6.93e+00   2.68e+00   1.00e+00  
8      3.31e+00   1.53e+00   5.00e-01  
9      2.45e+00   2.17e+00   1.25e-01  
10     2.37e+00   1.08e+00   1.00e+00  
11     1.90e+00   1.88e+00   1.00e+00  
12     1.63e+00   1.73e+00   1.00e+00  
13     1.48e+00   8.15e-01   1.00e+00  
14     1.34e+00   7.51e-01   1.00e+00  
15     1.21e+00   1.71e+00   1.00e+00  
16     1.04e+00   1.74e+00   1.25e-01  
17     1.04e+00   3.00e+00   1.56e-02  
18     3.39e-01   6.67e-01   1.25e-01  
19     3.35e-01   7.30e-01   5.00e-01  
20     2.95e-01   8.99e-01   1.00e+00  
21     2.76e-01   8.73e-01   1.00e+00  
22     2.54e-01   4.96e-01   1.00e+00  
23     2.51e-01   3.86e-01   1.00e+00  
24     2.47e-01   3.09e-01   1.00e+00  
25     2.42e-01   2.69e-01   1.00e+00  
26     2.36e-01   2.68e-01   1.00e+00  
27     2.30e-01   2.95e-01   1.00e+00  
28     2.27e-01   3.13e-01   1.00e+00  
29     2.25e-01   3.15e-01   1.00e+00  
30     2.22e-01   3.31e-01   1.00e+00  
31     2.20e-01   3.41e-01   1.00e+00  
32     2.17e-01   4.11e-01   1.00e+00  
33     2.15e-01   4.46e-01   1.00e+00  
34     2.08e-01   6.23e-01   1.00e+00  
35     2.04e-01   7.23e-01   5.00e-01  
36     1.94e-01   7.18e-01   5.00e-01  
37     1.90e-01   6.54e-01   1.00e+00  
38     1.86e-01   6.27e-01   1.00e+00  
39     1.82e-01   6.01e-01   1.00e+00  
40     1.78e-01   5.74e-01   1.00e+00  
41     1.74e-01   5.46e-01   1.25e-01  
42     1.56e-01   3.93e-01   1.00e+00  
43     1.51e-01   3.58e-01   1.00e+00  
44     1.47e-01   2.97e-01   1.00e+00  
45     1.40e-01   1.57e-01   1.00e+00  
46     1.39e-01   1.25e-01   1.00e+00  
47     1.37e-01   1.06e-01   1.00e+00  
48     1.37e-01   1.03e-01   1.00e+00  
49     1.37e-01   9.90e-02   1.00e+00  
50     1.37e-01   9.84e-02   1.00e+00  
51     1.37e-01   9.76e-02   1.00e+00  
52     1.37e-01   9.78e-02   1.00e+00  
53     1.37e-01   1.00e-01   1.00e+00  
54     1.37e-01   1.02e-01   1.00e+00  
55     1.37e-01   1.07e-01   1.00e+00  
56     1.37e-01   1.09e-01   1.00e+00  
57     1.37e-01   1.16e-01   1.00e+00  
58     1.37e-01   1.19e-01   1.00e+00  
59     1.36e-01   1.28e-01   1.00e+00  
60     1.36e-01   1.31e-01   1.00e+00  
61     1.36e-01   1.40e-01   1.00e+00  
62     1.36e-01   1.44e-01   1.00e+00  
63     1.36e-01   1.53e-01   1.00e+00  
64     1.36e-01   1.57e-01   1.00e+00  
65     1.36e-01   1.65e-01   1.00e+00  
66     1.36e-01   1.70e-01   1.00e+00  
67     1.36e-01   1.78e-01   1.00e+00  
68     1.36e-01   1.82e-01   1.00e+00  
69     1.36e-01   1.90e-01   1.00e+00  
70     1.36e-01   1.94e-01   1.00e+00  
