Iter   f          |gradf|    alpha     
-------------------------------------
1      1.02e+05   2.26e+02   1.00e+00  
2      8.20e+03   4.90e+01   1.00e+00  
3      1.10e+03   1.33e+01   1.00e+00  
4      1.02e+02   7.92e+00   1.00e+00  
5      4.62e+01   5.31e+00   1.00e+00  
6      2.07e+01   2.18e+00   1.00e+00  
7      6.93e+00   2.68e+00   1.00e+00  
8      3.31e+00   1.53e+00   5.00e-01  
9      2.45e+00   2.17e+00   1.25e-01  
10     2.37e+00   1.08e+00   1.00e+00  
11     1.90e+00   1.88e+00   1.00e+00  
12     1.63e+00   1.73e+00   1.00e+00  
13     1.48e+00   8.15e-01   1.00e+00  
14     1.34e+00   7.51e-01   1.00e+00  
15     1.21e+00   1.71e+00   2.00e+00  
16     9.79e-01   2.15e+00   5.00e-01  
17     9.33e-01   2.10e+00   1.00e+00  
18     7.98e-01   1.33e+00   1.00e+00  
19     6.51e-01   8.37e-01   1.00e+00  
20     5.97e-01   7.07e-01   1.00e+00  
21     5.13e-01   6.76e-01   1.00e+00  
22     4.39e-01   7.24e-01   2.50e-01  
23     3.79e-01   8.15e-01   1.00e+00  
24     3.63e-01   7.40e-01   1.00e+00  
25     3.41e-01   7.53e-01   1.00e+00  
26     3.05e-01   7.19e-01   1.00e+00  
27     2.96e-01   6.35e-01   2.00e+00  
28     2.82e-01   5.82e-01   1.00e+00  
29     2.54e-01   7.71e-01   1.00e+00  
30     2.40e-01   5.43e-01   1.00e+00  
31     2.35e-01   5.45e-01   1.00e+00  
32     2.06e-01   6.96e-01   1.00e+00  
33     1.84e-01   5.18e-01   1.00e+00  
34     1.80e-01   2.54e-01   1.00e+00  
35     1.76e-01   2.86e-01   1.00e+00  
36     1.74e-01   3.55e-01   1.00e+00  
37     1.71e-01   4.26e-01   1.00e+00  
38     1.69e-01   4.96e-01   1.00e+00  
39     1.66e-01   5.45e-01   1.00e+00  
40     1.64e-01   5.79e-01   1.00e+00  
41     1.62e-01   6.00e-01   1.00e+00  
42     1.60e-01   6.13e-01   1.00e+00  
43     1.58e-01   6.21e-01   1.00e+00  
44     1.56e-01   6.22e-01   1.00e+00  
45     1.54e-01   6.08e-01   1.00e+00  
46     1.52e-01   5.60e-01   1.00e+00  
47     1.49e-01   4.76e-01   1.00e+00  
48     1.48e-01   4.49e-01   1.00e+00  
49     1.47e-01   4.35e-01   2.00e+00  
50     1.45e-01   4.49e-01   1.00e+00  
51     1.40e-01   5.76e-01   1.00e+00  
52     1.39e-01   5.61e-01   1.00e+00  
53     1.33e-01   4.92e-01   1.00e+00  
54     1.30e-01   4.76e-01   1.00e+00  
55     1.26e-01   4.31e-01   1.00e+00  
56     1.24e-01   3.01e-01   1.00e+00  
57     1.23e-01   3.40e-01   1.00e+00  
58     1.20e-01   4.65e-01   1.00e+00  
59     1.19e-01   5.21e-01   1.00e+00  
60     1.17e-01   6.04e-01   1.00e+00  
61     1.16e-01   6.51e-01   1.00e+00  
62     1.14e-01   7.20e-01   1.00e+00  
63     1.13e-01   7.63e-01   1.00e+00  
64     1.11e-01   8.34e-01   1.00e+00  
65     1.10e-01   8.89e-01   1.00e+00  
66     1.07e-01   9.77e-01   1.50e+00  
67     7.84e-02   6.65e-01   5.00e-01  
68     6.82e-02   6.96e-01   1.00e+00  
69     4.02e-02   4.33e-01   2.50e-01  
70     2.79e-02   3.36e-01   1.00e+00  
