Iter   f          |gradf|    alpha     
-------------------------------------
1      1.02e+05   1.93e+02   1.00e+00  
2      6.94e+04   1.55e+02   1.77e+00  
3      3.39e+04   1.03e+02   2.94e+00  
4      1.04e+04   5.11e+01   4.43e+00  
5      2.34e+03   2.19e+01   6.19e+00  
6      3.15e+02   1.01e+01   8.44e+00  
7      9.67e+01   4.87e+00   4.26e+00  
8      4.63e+01   8.44e+00   4.26e+00  
9      3.34e+01   4.93e+00   3.62e-01  
10     2.99e+01   5.71e+00   2.86e-01  
11     2.60e+01   3.26e+00   2.40e-01  
12     2.47e+01   3.00e+00   2.43e-01  
13     2.37e+01   9.77e-01   2.37e-01  
14     2.34e+01   1.57e+00   4.47e-01  
15     2.25e+01   2.77e+00   7.35e-01  
16     1.96e+01   7.52e+00   7.66e-01  
17     7.57e+00   2.44e+00   2.12e-01  
18     7.07e+00   1.87e+00   1.69e-01  
19     6.71e+00   1.21e+00   2.05e-01  
20     6.44e+00   1.14e+00   3.65e-01  
21     6.01e+00   1.22e+00   6.59e-01  
22     5.62e+00   2.28e+00   5.28e-01  
23     4.92e+00   2.06e+00   2.69e-01  
24     4.81e+00   2.64e+00   5.09e-02  
25     4.55e+00   1.33e+00   7.60e-02  
26     4.46e+00   6.97e-01   9.93e-02  
27     4.41e+00   6.71e-01   1.93e-01  
28     4.33e+00   6.70e-01   3.85e-01  
29     4.16e+00   6.69e-01   7.56e-01  
30     3.82e+00   8.83e-01   7.46e-01  
31     3.23e+00   7.79e-01   1.51e+00  
32     2.36e+00   7.47e-01   1.44e+00  
33     1.71e+00   1.21e+00   2.32e+00  
34     1.51e+00   3.61e-01   2.72e-01  
35     1.47e+00   4.28e-01   5.75e-01  
36     1.36e+00   5.33e-01   1.30e+00  
37     1.02e+00   5.02e-01   1.19e+00  
38     8.80e-01   9.50e-01   2.72e-01  
39     8.12e-01   6.03e-01   1.50e-01  
40     7.80e-01   2.66e-01   1.76e-01  
41     7.68e-01   2.66e-01   3.53e-01  
42     7.43e-01   2.61e-01   6.99e-01  
43     6.97e-01   2.48e-01   1.35e+00  
44     6.72e-01   1.23e+00   1.02e-01  
45     6.39e-01   7.65e-01   4.36e-02  
46     6.22e-01   3.04e-01   5.94e-02  
47     6.18e-01   1.93e-01   8.55e-02  
48     6.15e-01   1.90e-01   1.69e-01  
49     6.08e-01   1.86e-01   3.34e-01  
50     5.97e-01   1.81e-01   6.49e-01  
51     5.81e-01   3.45e-01   1.25e-01  
52     5.77e-01   3.00e-01   7.07e-02  
53     5.73e-01   1.57e-01   8.89e-02  
54     5.71e-01   1.55e-01   1.76e-01  
55     5.66e-01   1.52e-01   3.49e-01  
56     5.58e-01   1.46e-01   6.82e-01  
57     5.45e-01   1.54e-01   6.39e-01  
58     5.43e-01   4.71e-01   1.30e-01  
59     5.33e-01   2.02e-01   9.60e-02  
60     5.30e-01   1.22e-01   1.32e-01  
61     5.28e-01   1.20e-01   2.63e-01  
62     5.24e-01   1.18e-01   5.19e-01  
63     5.17e-01   1.14e-01   1.02e+00  
64     5.04e-01   1.12e-01   1.99e+00  
65     4.85e-01   2.30e-01   3.17e+00  
66     4.19e-01   1.49e+00   3.11e-01  
67     3.39e-01   1.19e+00   7.16e-02  
68     2.57e-01   7.54e-01   1.17e-01  
69     2.11e-01   3.56e-01   1.64e-01  
70     1.94e-01   2.79e-01   2.64e-01  
71     1.74e-01   2.65e-01   5.12e-01  
72     1.41e-01   2.72e-01   4.74e-01  
73     1.38e-01   8.79e-01   7.78e-02  
74     1.13e-01   3.01e-01   6.52e-02  
75     1.08e-01   2.09e-01   9.58e-02  
76     1.04e-01   2.04e-01   1.89e-01  
77     9.66e-02   1.97e-01   3.70e-01  
78     8.29e-02   1.89e-01   7.06e-01  
79     6.77e-02   4.47e-01   1.06e-01  
80     5.93e-02   2.17e-01   8.49e-02  
81     5.64e-02   1.51e-01   1.23e-01  
82     5.36e-02   1.47e-01   2.43e-01  
83     4.85e-02   1.40e-01   4.72e-01  
84     3.99e-02   1.32e-01   8.88e-01  
85     3.03e-02   2.51e-01   2.74e-01  
86     2.69e-02   2.32e-01   1.07e-01  
87     2.29e-02   1.11e-01   1.50e-01  
88     2.13e-02   9.23e-02   2.57e-01  
89     1.92e-02   8.75e-02   5.01e-01  
90     1.55e-02   7.88e-02   9.52e-01  
91     1.02e-02   6.39e-02   1.72e+00  
92     4.39e-03   4.28e-02   2.83e+00  
93     8.91e-04   2.08e-02   3.82e+00  
94     5.11e-05   4.65e-03   3.88e+00  
95     1.89e-06   8.70e-04   4.55e+00  
96     1.45e-08   7.63e-05   4.95e+00  
Terminated as iteration=97 as |gradf|=7.41e-07 < threshold=1.93e-06.
Optimized objective function value: 1.37e-12. Computing time: 0.003 s.
