Iter   f          |gradf|    alpha     
-------------------------------------
1      1.02e+05   1.93e+02   1.00e+00  
2      6.94e+04   1.55e+02   1.00e+00  
3      4.77e+04   1.23e+02   1.00e+00  
4      3.36e+04   1.05e+02   1.00e+00  
5      2.36e+04   8.60e+01   1.00e+00  
6      1.69e+04   7.06e+01   1.00e+00  
7      1.23e+04   6.05e+01   1.00e+00  
8      9.04e+03   4.82e+01   2.00e+00  
9      4.93e+03   3.64e+01   1.00e+00  
10     3.75e+03   2.80e+01   2.00e+00  
11     2.27e+03   2.30e+01   2.00e+00  
12     1.35e+03   1.85e+01   1.00e+00  
13     1.05e+03   1.61e+01   1.00e+00  
14     8.27e+02   1.34e+01   2.00e+00  
15     5.13e+02   8.53e+00   2.00e+00  
16     3.58e+02   8.45e+00   1.00e+00  
17     3.03e+02   1.04e+01   1.00e+00  
18     2.28e+02   6.59e+00   1.00e+00  
19     1.87e+02   4.98e+00   4.00e+00  
20     1.00e+02   5.27e+00   1.00e+00  
21     7.83e+01   5.14e+00   1.00e+00  
22     6.24e+01   4.46e+00   2.00e+00  
23     3.73e+01   2.73e+00   2.00e+00  
24     3.58e+01   2.59e+00   1.00e+00  
25     2.99e+01   3.54e+00   1.00e+00  
26     2.52e+01   1.98e+00   1.00e+00  
27     2.16e+01   2.70e+00   1.00e+00  
28     1.69e+01   2.24e+00   1.00e+00  
29     1.36e+01   3.58e+00   1.00e+00  
30     9.10e+00   1.53e+00   2.00e+00  
31     6.18e+00   2.12e+00   5.00e-01  
32     6.07e+00   2.28e+00   2.50e-01  
33     5.71e+00   1.60e+00   2.50e-01  
34     5.40e+00   1.31e+00   2.00e+00  
35     4.24e+00   1.13e+00   2.50e-01  
36     4.12e+00   3.64e-01   4.00e+00  
37     3.47e+00   1.86e+00   1.25e-01  
38     3.37e+00   1.57e+00   1.25e-01  
39     3.26e+00   1.23e+00   2.50e-01  
40     3.22e+00   1.93e+00   1.25e-01  
41     3.01e+00   8.93e-01   5.00e-01  
42     2.88e+00   1.57e+00   2.50e-01  
43     2.70e+00   1.24e+00   2.50e-01  
44     2.57e+00   1.06e+00   2.50e-01  
45     2.47e+00   1.00e+00   2.50e-01  
46     2.39e+00   1.07e+00   2.50e-01  
47     2.33e+00   1.29e+00   2.50e-01  
48     2.31e+00   1.69e+00   1.25e-01  
49     2.15e+00   6.55e-01   1.00e+00  
50     2.06e+00   2.05e+00   5.00e-01  
51     1.97e+00   1.71e+00   5.00e-01  
52     1.35e+00   7.30e-01   5.00e-01  
53     1.33e+00   1.13e+00   2.50e-01  
54     1.24e+00   5.52e-01   5.00e-01  
55     1.22e+00   9.24e-01   2.50e-01  
56     1.16e+00   6.67e-01   2.50e-01  
57     1.12e+00   5.75e-01   2.50e-01  
58     1.09e+00   5.48e-01   2.50e-01  
59     1.06e+00   5.49e-01   2.50e-01  
60     1.03e+00   5.59e-01   2.50e-01  
61     1.01e+00   5.57e-01   2.50e-01  
62     9.79e-01   5.26e-01   5.00e-01  
63     9.77e-01   9.67e-01   2.50e-01  
64     8.92e-01   4.88e-01   1.00e+00  
65     7.75e-01   9.43e-01   1.00e+00  
66     6.53e-01   6.56e-01   2.50e-01  
67     6.09e-01   1.48e-01   5.00e-01  
68     6.05e-01   1.83e-01   5.00e-01  
69     6.02e-01   2.62e-01   2.50e-01  
70     5.94e-01   1.46e-01   5.00e-01  
71     5.89e-01   2.12e-01   2.50e-01  
72     5.84e-01   1.58e-01   5.00e-01  
73     5.80e-01   2.73e-01   2.50e-01  
74     5.74e-01   2.24e-01   2.50e-01  
75     5.70e-01   1.95e-01   2.50e-01  
76     5.66e-01   1.79e-01   2.50e-01  
77     5.62e-01   1.70e-01   2.50e-01  
78     5.58e-01   1.64e-01   5.00e-01  
79     5.58e-01   3.67e-01   2.50e-01  
80     5.55e-01   3.69e-01   2.50e-01  
81     5.52e-01   3.75e-01   2.50e-01  
82     5.50e-01   3.82e-01   2.50e-01  
83     5.47e-01   3.87e-01   2.50e-01  
84     5.44e-01   3.90e-01   2.50e-01  
85     5.41e-01   3.87e-01   2.50e-01  
86     5.38e-01   3.77e-01   2.50e-01  
87     5.34e-01   3.57e-01   2.50e-01  
88     5.30e-01   3.30e-01   2.50e-01  
89     5.26e-01   2.94e-01   2.50e-01  
90     5.22e-01   2.54e-01   2.50e-01  
91     5.18e-01   2.11e-01   2.50e-01  
92     5.15e-01   1.72e-01   2.50e-01  
93     5.12e-01   1.40e-01   5.00e-01  
94     5.10e-01   2.38e-01   2.50e-01  
95     5.05e-01   1.53e-01   5.00e-01  
96     5.02e-01   2.38e-01   2.50e-01  
97     4.96e-01   1.29e-01   1.00e+00  
98     4.91e-01   2.90e-01   5.00e-01  
99     4.84e-01   2.80e-01   1.00e+00  
100    4.78e-01   6.07e-01   1.00e+00  
101    4.64e-01   4.03e-01   1.00e+00  
102    3.31e-01   4.77e-01   5.00e-01  
103    2.73e-01   4.45e-01   5.00e-01  
104    2.44e-01   6.35e-01   2.50e-01  
105    2.07e-01   4.39e-01   2.50e-01  
106    1.84e-01   3.83e-01   2.50e-01  
107    1.68e-01   4.55e-01   1.25e-01  
108    1.57e-01   3.80e-01   1.25e-01  
109    1.49e-01   3.70e-01   1.25e-01  
110    1.42e-01   3.65e-01   1.25e-01  
111    1.35e-01   3.63e-01   1.25e-01  
112    1.29e-01   3.64e-01   1.25e-01  
113    1.22e-01   3.66e-01   1.25e-01  
114    1.17e-01   3.67e-01   1.25e-01  
115    1.11e-01   3.67e-01   1.25e-01  
116    1.06e-01   3.63e-01   1.25e-01  
117    1.00e-01   3.54e-01   1.25e-01  
118    9.54e-02   3.39e-01   1.25e-01  
119    9.04e-02   3.19e-01   1.25e-01  
120    8.56e-02   2.95e-01   1.25e-01  
121    8.10e-02   2.67e-01   2.50e-01  
122    8.10e-02   5.35e-01   1.25e-01  
123    7.32e-02   4.09e-01   1.25e-01  
124    6.72e-02   3.06e-01   1.25e-01  
125    6.25e-02   2.31e-01   2.50e-01  
126    6.06e-02   3.90e-01   1.25e-01  
127    5.39e-02   2.36e-01   2.50e-01  
128    5.24e-02   3.69e-01   1.25e-01  
129    4.55e-02   1.85e-01   2.50e-01  
130    4.23e-02   2.38e-01   2.50e-01  
131    4.04e-02   3.03e-01   2.50e-01  
132    3.89e-02   3.55e-01   2.50e-01  
133    3.62e-02   3.62e-01   2.50e-01  
134    3.14e-02   3.12e-01   2.50e-01  
135    2.56e-02   2.24e-01   2.50e-01  
136    2.11e-02   1.42e-01   5.00e-01  
137    1.91e-02   1.94e-01   5.00e-01  
138    1.74e-02   2.15e-01   5.00e-01  
139    1.28e-02   1.63e-01   5.00e-01  
140    7.87e-03   8.19e-02   1.00e+00  
141    5.27e-03   7.17e-02   1.00e+00  
142    2.76e-03   3.89e-02   1.00e+00  
143    1.61e-03   2.54e-02   1.00e+00  
144    1.03e-03   2.03e-02   1.00e+00  
145    6.58e-04   1.62e-02   1.00e+00  
146    4.21e-04   1.30e-02   1.00e+00  
147    2.70e-04   1.04e-02   1.00e+00  
148    1.73e-04   8.31e-03   1.00e+00  
149    1.10e-04   6.65e-03   1.00e+00  
150    7.07e-05   5.32e-03   1.00e+00  
151    4.52e-05   4.25e-03   1.00e+00  
152    2.90e-05   3.40e-03   1.00e+00  
153    1.85e-05   2.72e-03   1.00e+00  
154    1.19e-05   2.18e-03   1.00e+00  
155    7.59e-06   1.74e-03   1.00e+00  
156    4.86e-06   1.39e-03   1.00e+00  
157    3.11e-06   1.12e-03   1.00e+00  
158    1.99e-06   8.92e-04   1.00e+00  
159    1.27e-06   7.14e-04   1.00e+00  
160    8.15e-07   5.71e-04   1.00e+00  
161    5.22e-07   4.57e-04   1.00e+00  
162    3.34e-07   3.65e-04   1.00e+00  
163    2.14e-07   2.92e-04   1.00e+00  
164    1.37e-07   2.34e-04   1.00e+00  
165    8.75e-08   1.87e-04   1.00e+00  
166    5.60e-08   1.50e-04   1.00e+00  
167    3.58e-08   1.20e-04   1.00e+00  
168    2.29e-08   9.58e-05   1.00e+00  
169    1.47e-08   7.66e-05   1.00e+00  
170    9.40e-09   6.13e-05   1.00e+00  
171    6.01e-09   4.90e-05   1.00e+00  
172    3.85e-09   3.92e-05   1.00e+00  
173    2.46e-09   3.14e-05   1.00e+00  
174    1.58e-09   2.51e-05   1.00e+00  
175    1.01e-09   2.01e-05   1.00e+00  
176    6.46e-10   1.61e-05   1.00e+00  
177    4.13e-10   1.29e-05   1.00e+00  
178    2.64e-10   1.03e-05   1.00e+00  
179    1.69e-10   8.23e-06   1.00e+00  
180    1.08e-10   6.58e-06   1.00e+00  
181    6.93e-11   5.27e-06   1.00e+00  
182    4.44e-11   4.21e-06   1.00e+00  
183    2.84e-11   3.37e-06   1.00e+00  
184    1.82e-11   2.70e-06   1.00e+00  
185    1.16e-11   2.16e-06   1.00e+00  
Terminated as iteration=186 as |gradf|=1.73e-06 < threshold=1.93e-06.
Optimized objective function value: 7.44e-12; |gradf|: 1.73e-06. Computing time: 0.012 s.
