Iter   f          |gradf|    alpha     
-------------------------------------
1      1.02e+05   2.26e+02   1.00e+00  
2      2.56e+03   3.35e+01   1.00e+00  
3      1.81e+02   5.41e+00   1.00e+00  
4      5.00e+01   3.00e+00   1.00e+00  
5      4.39e+01   4.23e+00   1.00e+00  
6      4.88e+00   3.36e+00   1.25e-01  
7      4.32e+00   1.35e+00   6.25e-02  
8      4.01e+00   1.14e+00   1.00e+00  
9      3.54e+00   4.67e-01   1.00e+00  
10     3.47e+00   7.62e-01   1.00e+00  
11     3.21e+00   1.11e+00   1.00e+00  
12     2.84e+00   1.70e+00   1.00e+00  
13     2.27e+00   2.41e+00   1.00e+00  
14     1.97e+00   6.34e-01   1.00e+00  
15     1.87e+00   8.57e-01   1.25e-01  
16     1.84e+00   7.15e-01   1.00e+00  
17     1.77e+00   7.55e-01   6.25e-02  
18     8.37e-01   7.12e-01   6.25e-02  
19     8.17e-01   4.06e-01   1.00e+00  
20     6.54e-01   2.28e-01   1.00e+00  
21     5.41e-01   3.30e-01   2.50e-01  
22     4.94e-01   4.27e-01   1.00e+00  
23     4.78e-01   3.60e-01   1.00e+00  
24     4.09e-01   3.46e-01   1.25e-01  
25     2.80e-01   9.00e-01   6.25e-02  
26     2.61e-01   1.42e+00   1.00e+00  
27     2.13e-01   1.04e+00   1.00e+00  
28     1.72e-01   3.50e-01   1.00e+00  
29     1.34e-01   4.07e-01   1.00e+00  
30     1.91e-02   2.11e-01   1.00e+00  
31     2.69e-03   5.33e-02   1.00e+00  
32     3.04e-04   1.25e-02   1.00e+00  
33     1.71e-04   8.08e-03   1.00e+00  
34     1.08e-04   6.44e-03   1.00e+00  
35     2.24e-06   7.61e-04   1.00e+00  
36     4.01e-07   3.07e-04   1.00e+00  
37     1.50e-10   7.21e-06   1.00e+00  
Terminated at iteration=38 as |gradf|=1.09e-06 < threshold=2.26e-06.
Optimized objective function value: 2.98e-12; |gradf|: 1.09e-06. Computing time: 0.002 s.
