Iter   f          |gradf|    alpha     
-------------------------------------
1      1.02e+05   2.26e+02   1.00e+00  
2      2.56e+03   3.35e+01   1.00e+00  
3      1.81e+02   5.41e+00   1.00e+00  
4      5.00e+01   3.00e+00   1.00e+00  
5      4.39e+01   4.23e+00   1.00e+00  
6      4.88e+00   3.36e+00   1.25e-01  
7      4.32e+00   1.35e+00   6.25e-02  
8      4.01e+00   1.14e+00   1.00e+00  
9      3.54e+00   4.67e-01   2.00e+00  
10     3.42e+00   8.31e-01   1.00e+00  
11     3.35e+00   1.18e+00   1.00e+00  
12     2.96e+00   1.70e+00   1.00e+00  
13     2.26e+00   7.62e-01   1.25e-01  
14     2.03e+00   7.97e-01   5.00e-01  
15     2.01e+00   2.83e-01   1.00e+00  
16     1.97e+00   5.54e-01   5.00e-01  
17     1.96e+00   7.89e-01   1.00e+00  
18     1.94e+00   8.22e-01   2.50e-01  
19     1.87e+00   7.35e-01   1.00e+00  
20     1.75e+00   1.45e+00   1.00e+00  
21     1.43e+00   2.58e+00   1.00e+00  
22     1.32e+00   3.67e+00   1.00e+00  
23     6.02e-01   1.24e+00   1.00e+00  
24     5.12e-01   7.58e-01   1.00e+00  
25     3.81e-01   7.69e-01   5.00e-01  
26     1.69e-01   2.79e-01   6.25e-02  
27     1.63e-01   2.66e-01   2.00e+00  
28     1.15e-01   2.14e-01   1.00e+00  
29     1.02e-02   8.61e-02   1.00e+00  
30     2.01e-03   2.20e-02   1.00e+00  
31     8.76e-04   1.60e-02   1.00e+00  
32     4.61e-05   4.29e-03   1.00e+00  
33     1.48e-05   2.44e-03   1.00e+00  
34     2.31e-06   9.57e-04   1.00e+00  
35     2.67e-08   9.99e-05   1.00e+00  
36     1.09e-10   4.72e-06   1.00e+00  
Terminated at iteration=37 as |gradf|=2.70e-07 < threshold=2.26e-06.
Optimized objective function value: 2.43e-13; |gradf|: 2.70e-07. Computing time: 0.003 s.
