Iter   f          |gradf|    alpha      delta     
-----------------------------------------------
1      1.02e+05   1.93e+02   1.00e+00   1.05e+01  
2      1.00e+05   1.87e+02   1.00e+00   1.59e+01  
3      9.56e+04   1.86e+02   1.00e+00   7.00e+00  
4      9.31e+04   1.79e+02   1.00e+00   8.31e-01  
5      7.39e+04   1.50e+02   1.00e+00   6.13e-01  
6      5.63e+04   1.44e+02   1.00e+00   1.76e+01  
7      5.50e+04   1.46e+02   5.00e-01   8.19e-01  
8      2.41e+04   9.61e+01   1.00e+00   5.87e+00  
9      2.05e+04   9.45e+01   1.00e+00   1.22e+01  
10     1.99e+04   8.85e+01   1.00e+00   2.59e+00  
11     1.45e+04   7.74e+01   1.00e+00   4.77e+00  
12     1.37e+04   7.27e+01   1.00e+00   3.50e+00  
13     1.22e+04   6.95e+01   1.00e+00   1.64e+00  
14     8.24e+03   5.79e+01   1.00e+00   4.84e+00  
15     6.62e+03   4.88e+01   1.00e+00   1.88e+01  
16     6.43e+03   5.16e+01   1.00e+00   2.30e+00  
17     6.03e+03   4.65e+01   1.00e+00   1.33e+01  
18     5.84e+03   4.73e+01   1.00e+00   7.97e+00  
19     5.67e+03   4.66e+01   1.00e+00   5.18e+00  
20     5.19e+03   4.64e+01   1.00e+00   1.11e+01  
21     5.07e+03   4.46e+01   2.50e-01   8.19e-01  
22     4.82e+03   4.23e+01   1.00e+00   1.72e+01  
23     4.69e+03   4.02e+01   1.00e+00   7.35e+00  
24     4.47e+03   4.38e+01   1.00e+00   7.24e+00  
25     4.24e+03   4.18e+01   1.00e+00   5.42e+00  
26     4.09e+03   3.90e+01   1.00e+00   1.52e+01  
27     3.89e+03   3.99e+01   1.25e-01   3.43e+00  
28     3.22e+03   3.84e+01   1.00e+00   2.38e+01  
29     3.14e+03   3.41e+01   1.00e+00   6.11e-01  
30     2.97e+03   3.53e+01   1.00e+00   3.42e+00  
31     2.77e+03   3.40e+01   1.00e+00   1.01e+01  
32     2.69e+03   3.10e+01   1.00e+00   6.80e+00  
33     2.36e+03   3.04e+01   1.00e+00   6.55e+00  
34     2.30e+03   2.99e+01   1.00e+00   3.75e+00  
35     2.13e+03   2.87e+01   1.00e+00   7.48e+00  
36     1.73e+03   2.71e+01   1.00e+00   2.03e+00  
37     1.63e+03   2.51e+01   1.00e+00   2.19e+01  
38     1.58e+03   2.47e+01   1.00e+00   3.28e+00  
39     1.42e+03   2.29e+01   1.00e+00   9.65e+00  
40     1.32e+03   2.15e+01   1.00e+00   6.28e+00  
41     1.15e+03   2.07e+01   1.00e+00   1.22e+01  
42     1.12e+03   2.21e+01   1.00e+00   2.56e+01  
43     1.10e+03   1.96e+01   1.00e+00   1.09e+01  
44     1.04e+03   1.97e+01   1.00e+00   8.19e-01  
45     5.02e+02   1.37e+01   4.88e-04   1.12e+01  
46     9.71e+01   6.76e+00   1.00e+00   6.54e+00  
47     9.24e+01   4.01e+00   1.00e+00   1.11e+01  
48     9.01e+01   4.26e+00   1.00e+00   1.51e+00  
49     7.43e+01   4.23e+00   1.00e+00   6.03e+00  
50     7.06e+01   4.24e+00   1.00e+00   3.32e+00  
51     6.42e+01   5.11e+00   1.00e+00   1.09e+01  
52     6.16e+01   4.91e+00   1.00e+00   6.55e+00  
53     5.79e+01   2.33e+00   1.00e+00   1.01e+01  
54     5.63e+01   3.99e+00   1.00e+00   2.61e+00  
55     4.71e+01   4.81e+00   1.00e+00   1.69e+01  
56     4.59e+01   4.31e+00   1.00e+00   8.95e+00  
57     4.29e+01   3.44e+00   1.00e+00   1.64e+00  
58     2.55e+01   1.68e+00   1.00e+00   8.88e+00  
59     2.51e+01   1.75e+00   5.00e-01   4.78e+00  
60     2.35e+01   2.88e+00   1.00e+00   1.34e+01  
61     2.30e+01   2.07e+00   1.00e+00   1.28e+01  
62     2.26e+01   2.40e+00   1.00e+00   1.14e+01  
63     2.13e+01   3.21e+00   1.00e+00   3.94e+00  
64     1.62e+01   2.90e+00   1.00e+00   7.64e+00  
65     1.51e+01   1.38e+00   1.00e+00   5.05e+00  
66     1.48e+01   1.24e+00   1.00e+00   6.68e+00  
67     1.45e+01   1.32e+00   1.00e+00   4.19e+00  
68     1.37e+01   1.92e+00   1.00e+00   6.32e+00  
69     1.30e+01   1.66e+00   1.00e+00   2.16e+00  
70     9.08e+00   3.61e+00   1.00e+00   3.30e+00  
71     8.19e+00   1.05e+00   1.00e+00   5.34e-01  
72     7.31e+00   8.83e-01   1.00e+00   3.15e+00  
73     6.85e+00   1.15e+00   1.00e+00   1.64e+00  
74     6.38e+00   3.47e+00   1.00e+00   5.36e+00  
75     5.40e+00   1.23e+00   5.00e-01   0.00e+00  
76     2.47e+00   3.08e+00   1.00e+00   1.15e+01  
77     1.84e+00   2.10e+00   1.00e+00   7.97e+00  
78     1.51e+00   1.34e+00   1.00e+00   3.28e+00  
79     1.26e+00   8.29e-01   1.00e+00   1.39e+00  
80     1.08e+00   3.90e-01   1.00e+00   0.00e+00  
81     8.37e-01   3.78e-01   1.25e-01   2.05e-01  
82     7.61e-01   4.35e-01   3.12e-02   2.05e-01  
83     6.64e-01   6.68e-01   2.50e-01   2.59e-01  
84     6.09e-01   2.95e+00   1.00e+00   2.59e+00  
85     2.35e-01   1.16e+00   1.00e+00   3.28e+00  
86     1.24e-01   5.30e-01   1.00e+00   1.64e+00  
87     7.83e-02   2.15e-01   1.00e+00   4.10e-01  
88     4.76e-02   1.09e-01   1.00e+00   0.00e+00  
89     8.22e-04   2.46e-02   1.00e+00   0.00e+00  
90     1.47e-04   7.89e-03   1.00e+00   0.00e+00  
91     7.02e-06   1.29e-03   1.00e+00   0.00e+00  
92     1.59e-09   2.43e-05   1.00e+00   0.00e+00  
Terminated at iteration=93 as |gradf|=6.77e-11 < threshold=1.93e-06.
Optimized objective function value: 2.00e-20; |gradf|: 6.77e-11. Computing time: 0.009 s.
