Iter   f          |gradf|    alpha      delta     
-----------------------------------------------
1      1.02e+05   1.93e+02   8.00e+00   1.05e+01  
2      8.60e+04   1.74e+02   8.00e+00   1.21e+01  
3      6.75e+04   1.50e+02   1.00e+00   1.63e+00  
4      5.73e+04   1.37e+02   1.00e+00   8.19e-01  
5      4.42e+04   1.15e+02   1.00e+00   0.00e+00  
6      4.21e+03   4.28e+01   2.00e+00   8.68e+00  
7      3.36e+03   3.54e+01   2.00e+00   3.28e+00  
8      2.50e+03   3.35e+01   4.00e+00   1.41e+01  
9      1.96e+03   2.89e+01   1.00e+00   3.28e+00  
10     1.60e+03   2.53e+01   1.00e+00   0.00e+00  
11     1.32e+03   2.16e+01   2.00e+00   1.53e+01  
12     1.17e+03   2.09e+01   4.00e+00   1.15e+01  
13     8.60e+02   1.50e+01   1.00e+00   1.03e+01  
14     6.98e+02   1.62e+01   8.00e+00   1.24e+01  
15     5.27e+02   1.44e+01   1.60e+01   1.13e+01  
16     3.04e+02   1.05e+01   1.00e+00   1.10e+00  
17     2.83e+02   1.17e+01   1.00e+00   1.90e+01  
18     2.72e+02   8.99e+00   2.00e+00   1.12e+01  
19     2.41e+02   7.20e+00   4.00e+00   1.36e+01  
20     2.00e+02   8.04e+00   8.00e+00   7.68e+00  
21     1.25e+02   8.50e+00   1.00e+00   1.90e+01  
22     1.19e+02   7.56e+00   1.00e+00   2.52e+00  
23     9.57e+01   6.12e+00   1.00e+00   4.59e+00  
24     9.14e+01   4.73e+00   4.00e+00   9.09e+00  
25     7.78e+01   4.93e+00   8.00e+00   5.51e+00  
26     4.14e+01   3.80e+00   1.00e+00   4.10e-01  
27     1.85e+01   2.30e+00   1.00e+00   4.20e+00  
28     1.77e+01   1.86e+00   1.00e+00   7.78e-01  
29     1.18e+01   1.37e+00   2.00e+00   7.86e+00  
30     1.08e+01   1.62e+00   5.00e-01   1.02e-01  
31     5.47e-01   8.70e-01   1.00e+00   3.28e+00  
32     4.85e-01   3.91e-01   2.00e+00   1.64e+00  
33     3.81e-01   4.84e-01   5.00e-01   8.19e-01  
34     2.94e-01   1.06e+00   5.00e-01   3.00e-01  
35     9.96e-02   5.53e-01   2.50e-01   2.05e-01  
36     9.72e-02   4.40e-01   1.00e+00   0.00e+00  
37     9.08e-03   1.19e-01   1.00e+00   0.00e+00  
38     4.50e-03   9.27e-02   1.00e+00   2.05e-01  
39     1.49e-03   3.11e-02   1.00e+00   0.00e+00  
40     1.01e-03   2.87e-02   3.12e-02   6.40e-03  
41     9.58e-04   2.02e-02   1.00e+00   0.00e+00  
42     1.29e-04   7.30e-03   1.00e+00   0.00e+00  
43     4.25e-06   9.58e-04   1.00e+00   0.00e+00  
44     2.11e-10   9.02e-06   1.00e+00   0.00e+00  
Terminated at iteration=45 as |gradf|=2.37e-12 < threshold=1.93e-06.
Optimized objective function value: 2.61e-23; |gradf|: 2.37e-12. Computing time: 0.009 s.
