Iter   f          |gradf|    alpha     
-------------------------------------
1      1.02e+05   1.93e+02   4.00e+00  
2      8.19e+04   1.67e+02   1.00e+00  
3      5.53e+04   1.41e+02   1.00e+00  
4      5.53e+04   1.41e+02   1.00e+00  
5      5.53e+04   1.41e+02   1.00e+00  
6      5.53e+04   1.41e+02   1.00e+00  
7      5.53e+04   1.41e+02   1.00e+00  
8      5.53e+04   1.41e+02   1.00e+00  
9      5.53e+04   1.41e+02   1.00e+00  
10     5.53e+04   1.41e+02   1.00e+00  
11     5.53e+04   1.41e+02   1.00e+00  
12     5.53e+04   1.41e+02   1.00e+00  
13     5.53e+04   1.41e+02   1.00e+00  
14     5.53e+04   1.41e+02   1.00e+00  
15     5.53e+04   1.41e+02   1.00e+00  
16     5.53e+04   1.41e+02   1.00e+00  
17     5.53e+04   1.41e+02   1.00e+00  
18     5.53e+04   1.41e+02   1.00e+00  
19     5.53e+04   1.41e+02   1.00e+00  
20     5.53e+04   1.41e+02   1.00e+00  
21     5.53e+04   1.41e+02   1.00e+00  
22     5.53e+04   1.41e+02   1.00e+00  
23     5.53e+04   1.41e+02   1.00e+00  
24     5.53e+04   1.41e+02   1.00e+00  
25     5.53e+04   1.41e+02   1.00e+00  
26     5.53e+04   1.41e+02   1.00e+00  
27     5.53e+04   1.41e+02   1.00e+00  
28     5.53e+04   1.41e+02   1.00e+00  
29     5.53e+04   1.41e+02   1.00e+00  
30     5.53e+04   1.41e+02   1.00e+00  
31     5.53e+04   1.41e+02   1.00e+00  
32     5.53e+04   1.41e+02   1.00e+00  
33     5.53e+04   1.41e+02   1.00e+00  
34     5.53e+04   1.41e+02   1.00e+00  
35     5.53e+04   1.41e+02   1.00e+00  
36     5.53e+04   1.41e+02   1.00e+00  
37     5.53e+04   1.41e+02   1.00e+00  
38     5.53e+04   1.41e+02   1.00e+00  
39     5.53e+04   1.41e+02   1.00e+00  
40     5.53e+04   1.41e+02   1.00e+00  
41     5.53e+04   1.41e+02   1.00e+00  
42     5.53e+04   1.41e+02   1.00e+00  
43     5.53e+04   1.41e+02   1.00e+00  
44     5.53e+04   1.41e+02   1.00e+00  
45     5.53e+04   1.41e+02   1.00e+00  
46     5.53e+04   1.41e+02   1.00e+00  
47     5.53e+04   1.41e+02   1.00e+00  
48     5.53e+04   1.41e+02   1.00e+00  
49     5.53e+04   1.41e+02   1.00e+00  
50     5.53e+04   1.41e+02   1.00e+00  
51     5.53e+04   1.41e+02   1.00e+00  
52     5.53e+04   1.41e+02   1.00e+00  
53     5.53e+04   1.41e+02   1.00e+00  
54     5.53e+04   1.41e+02   1.00e+00  
55     5.53e+04   1.41e+02   1.00e+00  
56     5.53e+04   1.41e+02   1.00e+00  
57     5.53e+04   1.41e+02   1.00e+00  
58     5.53e+04   1.41e+02   1.00e+00  
59     5.53e+04   1.41e+02   1.00e+00  
60     5.53e+04   1.41e+02   1.00e+00  
61     5.53e+04   1.41e+02   1.00e+00  
62     5.53e+04   1.41e+02   1.00e+00  
63     5.53e+04   1.41e+02   1.00e+00  
64     5.53e+04   1.41e+02   1.00e+00  
65     5.53e+04   1.41e+02   1.00e+00  
66     5.53e+04   1.41e+02   1.00e+00  
67     5.53e+04   1.41e+02   1.00e+00  
68     5.53e+04   1.41e+02   1.00e+00  
69     5.53e+04   1.41e+02   1.00e+00  
70     5.53e+04   1.41e+02   1.00e+00  
71     5.53e+04   1.41e+02   1.00e+00  
72     5.53e+04   1.41e+02   1.00e+00  
73     5.53e+04   1.41e+02   1.00e+00  
74     5.53e+04   1.41e+02   1.00e+00  
75     5.53e+04   1.41e+02   1.00e+00  
76     5.53e+04   1.41e+02   1.00e+00  
77     5.53e+04   1.41e+02   1.00e+00  
78     5.53e+04   1.41e+02   1.00e+00  
79     5.53e+04   1.41e+02   1.00e+00  
80     5.53e+04   1.41e+02   1.00e+00  
81     5.53e+04   1.41e+02   1.00e+00  
82     5.53e+04   1.41e+02   1.00e+00  
83     5.53e+04   1.41e+02   1.00e+00  
84     5.53e+04   1.41e+02   1.00e+00  
85     5.53e+04   1.41e+02   1.00e+00  
86     5.53e+04   1.41e+02   1.00e+00  
87     5.53e+04   1.41e+02   1.00e+00  
88     5.53e+04   1.41e+02   1.00e+00  
89     5.53e+04   1.41e+02   1.00e+00  
90     5.53e+04   1.41e+02   1.00e+00  
91     5.53e+04   1.41e+02   1.00e+00  
92     5.53e+04   1.41e+02   1.00e+00  
93     5.53e+04   1.41e+02   1.00e+00  
94     5.53e+04   1.41e+02   1.00e+00  
95     5.53e+04   1.41e+02   1.00e+00  
96     5.53e+04   1.41e+02   1.00e+00  
97     5.53e+04   1.41e+02   1.00e+00  
98     5.53e+04   1.41e+02   1.00e+00  
99     5.53e+04   1.41e+02   1.00e+00  
100    5.53e+04   1.41e+02   1.00e+00  
101    5.53e+04   1.41e+02   1.00e+00  
102    5.53e+04   1.41e+02   1.00e+00  
103    5.53e+04   1.41e+02   1.00e+00  
104    5.53e+04   1.41e+02   1.00e+00  
105    5.53e+04   1.41e+02   1.00e+00  
106    5.53e+04   1.41e+02   1.00e+00  
107    5.53e+04   1.41e+02   1.00e+00  
108    5.53e+04   1.41e+02   1.00e+00  
109    5.53e+04   1.41e+02   1.00e+00  
110    5.53e+04   1.41e+02   1.00e+00  
111    5.53e+04   1.41e+02   1.00e+00  
112    5.53e+04   1.41e+02   1.00e+00  
113    5.53e+04   1.41e+02   1.00e+00  
114    5.53e+04   1.41e+02   1.00e+00  
115    5.53e+04   1.41e+02   1.00e+00  
116    5.53e+04   1.41e+02   1.00e+00  
117    5.53e+04   1.41e+02   1.00e+00  
118    5.53e+04   1.41e+02   1.00e+00  
119    5.53e+04   1.41e+02   1.00e+00  
120    5.53e+04   1.41e+02   1.00e+00  
121    5.53e+04   1.41e+02   1.00e+00  
122    5.53e+04   1.41e+02   1.00e+00  
123    5.53e+04   1.41e+02   1.00e+00  
124    5.53e+04   1.41e+02   1.00e+00  
125    5.53e+04   1.41e+02   1.00e+00  
126    5.53e+04   1.41e+02   1.00e+00  
127    5.53e+04   1.41e+02   1.00e+00  
128    5.53e+04   1.41e+02   1.00e+00  
129    5.53e+04   1.41e+02   1.00e+00  
130    5.53e+04   1.41e+02   1.00e+00  
131    5.53e+04   1.41e+02   1.00e+00  
132    5.53e+04   1.41e+02   1.00e+00  
133    5.53e+04   1.41e+02   1.00e+00  
134    5.53e+04   1.41e+02   1.00e+00  
135    5.53e+04   1.41e+02   1.00e+00  
136    5.53e+04   1.41e+02   1.00e+00  
137    5.53e+04   1.41e+02   1.00e+00  
138    5.53e+04   1.41e+02   1.00e+00  
139    5.53e+04   1.41e+02   1.00e+00  
140    5.53e+04   1.41e+02   1.00e+00  
141    5.53e+04   1.41e+02   1.00e+00  
142    5.53e+04   1.41e+02   1.00e+00  
143    5.53e+04   1.41e+02   1.00e+00  
144    5.53e+04   1.41e+02   1.00e+00  
145    5.53e+04   1.41e+02   1.00e+00  
146    5.53e+04   1.41e+02   1.00e+00  
147    5.53e+04   1.41e+02   1.00e+00  
148    5.53e+04   1.41e+02   1.00e+00  
149    5.53e+04   1.41e+02   1.00e+00  
150    5.53e+04   1.41e+02   1.00e+00  
151    5.53e+04   1.41e+02   1.00e+00  
