Iter   f          |gradf|    alpha     
-------------------------------------
1      3.52e+02   1.70e+02   1.00e+00  
2      2.78e+01   9.70e+00   1.00e+00  
3      1.66e+01   7.01e+00   1.00e+00  
4      3.29e+00   6.75e+00   1.00e+00  
5      2.68e+00   7.82e+00   1.00e+00  
6      -4.85e-01  1.70e+00   1.00e+00  
7      -8.12e-01  1.03e+00   1.00e+00  
8      -1.14e+00  3.39e-01   1.00e+00  
9      -1.15e+00  1.88e-01   1.00e+00  
10     -1.16e+00  1.84e-01   2.50e-01  
11     -1.16e+00  1.35e-01   1.25e-01  
12     -1.16e+00  1.20e-01   1.56e-02  
13     -1.16e+00  1.19e-01   7.81e-03  
14     -1.16e+00  1.19e-01   1.16e-10  
15     -1.16e+00  1.19e-01   2.33e-10  
16     -1.16e+00  1.19e-01   1.16e-10  
17     -1.16e+00  1.19e-01   2.91e-11  
18     -1.16e+00  1.19e-01   1.16e-10  
19     -1.16e+00  1.19e-01   1.82e-12  
20     -1.16e+00  1.19e-01   3.64e-12  
21     -1.16e+00  1.19e-01   5.82e-11  
22     -1.16e+00  1.19e-01   1.82e-12  
23     -1.16e+00  1.19e-01   2.33e-10  
24     -1.16e+00  1.19e-01   3.55e-15  
25     -1.16e+00  1.19e-01   1.11e-16  
26     -1.16e+00  1.19e-01   1.11e-16  
27     -1.16e+00  1.19e-01   1.11e-16  
28     -1.16e+00  1.19e-01   1.11e-16  
29     -1.16e+00  1.19e-01   1.11e-16  
30     -1.16e+00  1.19e-01   1.11e-16  
31     -1.16e+00  1.19e-01   1.11e-16  
32     -1.16e+00  1.19e-01   1.11e-16  
33     -1.16e+00  1.19e-01   1.11e-16  
34     -1.16e+00  1.19e-01   1.11e-16  
35     -1.16e+00  1.19e-01   1.11e-16  
36     -1.16e+00  1.19e-01   1.11e-16  
37     -1.16e+00  1.19e-01   1.11e-16  
38     -1.16e+00  1.19e-01   1.11e-16  
39     -1.16e+00  1.19e-01   1.11e-16  
40     -1.16e+00  1.19e-01   1.11e-16  
41     -1.16e+00  1.19e-01   1.11e-16  
42     -1.16e+00  1.19e-01   1.11e-16  
43     -1.16e+00  1.19e-01   1.11e-16  
44     -1.16e+00  1.19e-01   1.11e-16  
45     -1.16e+00  1.19e-01   1.11e-16  
46     -1.16e+00  1.19e-01   1.11e-16  
47     -1.16e+00  1.19e-01   1.11e-16  
48     -1.16e+00  1.19e-01   1.11e-16  
49     -1.16e+00  1.19e-01   1.11e-16  
50     -1.16e+00  1.19e-01   1.11e-16  
51     -1.16e+00  1.19e-01   1.11e-16  
52     -1.16e+00  1.19e-01   1.11e-16  
53     -1.16e+00  1.19e-01   1.11e-16  
54     -1.16e+00  1.19e-01   1.11e-16  
55     -1.16e+00  1.19e-01   1.11e-16  
56     -1.16e+00  1.19e-01   1.11e-16  
57     -1.16e+00  1.19e-01   1.11e-16  
58     -1.16e+00  1.19e-01   1.11e-16  
59     -1.16e+00  1.19e-01   1.11e-16  
60     -1.16e+00  1.19e-01   1.11e-16  
61     -1.16e+00  1.19e-01   1.11e-16  
62     -1.16e+00  1.19e-01   1.11e-16  
63     -1.16e+00  1.19e-01   1.11e-16  
64     -1.16e+00  1.19e-01   1.11e-16  
65     -1.16e+00  1.19e-01   1.11e-16  
66     -1.16e+00  1.19e-01   1.11e-16  
67     -1.16e+00  1.19e-01   1.11e-16  
68     -1.16e+00  1.19e-01   1.11e-16  
69     -1.16e+00  1.19e-01   1.11e-16  
70     -1.16e+00  1.19e-01   1.11e-16  
71     -1.16e+00  1.19e-01   1.11e-16  
72     -1.16e+00  1.19e-01   1.11e-16  
73     -1.16e+00  1.19e-01   1.11e-16  
74     -1.16e+00  1.19e-01   1.11e-16  
75     -1.16e+00  1.19e-01   1.11e-16  
