Iter   f          |gradf|    alpha     
-------------------------------------
1      3.52e+02   1.70e+02   1.00e+00  
2      2.78e+01   9.70e+00   1.00e+00  
3      1.66e+01   7.01e+00   1.00e+00  
4      3.29e+00   6.75e+00   1.00e+00  
5      2.68e+00   7.82e+00   1.00e+00  
6      -4.85e-01  1.70e+00   1.00e+00  
7      -8.12e-01  1.03e+00   1.00e+00  
8      -1.14e+00  3.39e-01   1.00e+00  
9      -1.15e+00  1.88e-01   1.00e+00  
10     -1.16e+00  1.84e-01   2.50e-01  
11     -1.16e+00  1.35e-01   1.25e-01  
12     -1.16e+00  1.20e-01   1.56e-02  
13     -1.16e+00  1.19e-01   7.81e-03  
14     -1.16e+00  1.19e-01   1.00e+00  
15     -1.15e+00  1.61e-01   5.00e-01  
16     -1.15e+00  1.14e-01   1.56e-02  
17     -1.15e+00  1.13e-01   1.00e+00  
18     -1.15e+00  2.11e-01   2.50e-01  
19     -1.15e+00  1.55e-01   1.00e+00  
20     -1.14e+00  2.74e-01   1.25e-01  
21     -1.14e+00  2.85e-01   1.00e+00  
22     -1.11e+00  7.56e-01   1.00e+00  
23     -8.95e-01  1.63e+00   1.25e-01  
24     -9.00e-01  1.67e+00   1.00e+00  
25     2.27e-01   4.14e+00   1.00e+00  
26     7.42e+00   8.72e+00   1.25e-01  
27     6.48e+00   8.26e+00   1.00e+00  
28     3.37e+01   1.96e+01   1.00e+00  
29     2.22e+02   4.38e+01   2.50e-01  
30     1.84e+02   4.11e+01   1.00e+00  
31     8.99e+02   8.71e+01   1.25e-01  
32     8.10e+02   7.95e+01   1.00e+00  
33     3.05e+03   1.66e+02   1.00e+00  
34     1.88e+04   4.13e+02   2.50e-01  
35     1.49e+04   3.55e+02   1.56e-02  
36     1.49e+04   3.52e+02   1.00e+00  
37     8.49e+04   8.94e+02   2.50e-01  
38     7.17e+04   7.66e+02   3.12e-02  
39     7.14e+04   7.54e+02   1.00e+00  
40     3.72e+05   1.87e+03   2.50e-01  
41     3.32e+05   1.63e+03   1.56e-02  
42     3.32e+05   1.62e+03   1.00e+00  
43     1.78e+06   4.13e+03   2.50e-01  
44     1.52e+06   3.48e+03   6.25e-02  
45     1.51e+06   3.38e+03   1.00e+00  
46     6.50e+06   7.58e+03   1.25e-01  
47     5.36e+06   6.30e+03   1.00e+00  
48     1.91e+07   1.24e+04   6.25e-02  
49     1.86e+07   1.19e+04   1.00e+00  
50     8.45e+07   2.77e+04   2.50e-01  
51     8.14e+07   2.51e+04   1.00e+00  
52     4.24e+08   6.36e+04   2.50e-01  
53     3.60e+08   5.35e+04   6.25e-02  
54     3.58e+08   5.18e+04   1.00e+00  
55     1.53e+09   1.16e+05   1.25e-01  
56     1.24e+09   9.56e+04   1.00e+00  
57     4.39e+09   1.88e+05   1.25e-01  
58     4.37e+09   1.78e+05   1.00e+00  
59     1.42e+10   3.29e+05   1.00e+00  
60     6.86e+10   7.98e+05   2.50e-01  
61     6.20e+10   6.97e+05   3.12e-02  
62     6.20e+10   6.88e+05   1.00e+00  
63     2.95e+11   1.65e+06   2.50e-01  
64     2.71e+11   1.45e+06   1.56e-02  
65     2.71e+11   1.44e+06   1.00e+00  
66     1.39e+12   3.64e+06   2.50e-01  
67     1.21e+12   3.10e+06   6.25e-02  
68     1.19e+12   2.99e+06   1.00e+00  
69     5.08e+12   6.77e+06   1.25e-01  
70     4.11e+12   5.50e+06   1.00e+00  
71     1.46e+13   1.09e+07   1.25e-01  
72     1.45e+13   1.03e+07   1.00e+00  
73     4.70e+13   1.89e+07   1.00e+00  
74     2.26e+14   4.58e+07   2.50e-01  
75     2.06e+14   4.01e+07   1.56e-02  
76     2.06e+14   3.98e+07   1.00e+00  
77     1.07e+15   1.01e+08   2.50e-01  
