Iter   f          |gradf|    alpha     
-------------------------------------
1      3.52e+02   6.25e+01   2.50e-01  
2      1.94e+02   5.26e+01   8.08e-02  
3      4.33e+01   1.95e+01   1.09e-01  
4      1.69e+01   7.33e+00   1.38e-01  
5      1.08e+01   5.30e+00   2.28e-01  
6      5.42e+00   3.77e+00   3.85e-01  
7      1.19e+00   2.26e+00   5.95e-01  
8      -3.54e-01  2.98e+00   1.52e-01  
9      -7.92e-01  1.55e+00   9.88e-02  
10     -9.36e-01  6.68e-01   1.21e-01  
11     -9.87e-01  5.85e-01   2.26e-01  
12     -1.06e+00  4.53e-01   4.00e-01  
13     -1.12e+00  2.72e-01   6.40e-01  
14     -1.15e+00  1.19e-01   4.31e-01  
15     -1.15e+00  2.29e-01   1.37e-01  
16     -1.16e+00  9.45e-02   9.72e-02  
17     -1.16e+00  4.33e-02   1.22e-01  
18     -1.16e+00  3.80e-02   2.28e-01  
19     -1.16e+00  2.93e-02   4.05e-01  
20     -1.16e+00  1.76e-02   6.45e-01  
21     -1.16e+00  1.23e-02   2.07e-01  
22     -1.16e+00  1.24e-02   8.34e-02  
23     -1.16e+00  4.89e-03   1.07e-01  
24     -1.16e+00  4.03e-03   1.87e-01  
25     -1.16e+00  3.27e-03   3.39e-01  
26     -1.16e+00  2.18e-03   5.62e-01  
27     -1.16e+00  1.60e-03   1.90e-01  
28     -1.16e+00  1.40e-03   1.32e-01  
29     -1.16e+00  7.65e-04   1.37e-01  
30     -1.16e+00  5.91e-04   2.14e-01  
31     -1.16e+00  4.79e-04   3.60e-01  
32     -1.16e+00  5.06e-04   2.30e-01  
33     -1.16e+00  5.84e-04   8.65e-02  
34     -1.16e+00  2.16e-04   1.08e-01  
35     -1.16e+00  1.81e-04   1.92e-01  
36     -1.16e+00  1.47e-04   3.47e-01  
37     -1.16e+00  9.65e-05   5.72e-01  
38     -1.16e+00  7.47e-05   1.90e-01  
39     -1.16e+00  6.55e-05   1.16e-01  
40     -1.16e+00  3.06e-05   1.28e-01  
41     -1.16e+00  2.56e-05   2.27e-01  
42     -1.16e+00  2.00e-05   3.98e-01  
43     -1.16e+00  1.53e-05   3.00e-01  
44     -1.16e+00  2.11e-05   1.86e-01  
45     -1.16e+00  1.80e-05   7.44e-02  
46     -1.16e+00  7.57e-06   1.00e-01  
47     -1.16e+00  5.62e-06   1.62e-01  
48     -1.16e+00  4.71e-06   2.98e-01  
49     -1.16e+00  3.31e-06   5.07e-01  
50     -1.16e+00  1.64e-06   7.57e-01  
51     -1.16e+00  7.78e-07   2.30e-01  
52     -1.16e+00  9.24e-07   5.43e-02  
Terminated as iteration=53 as |gradf|=4.92e-07 < threshold=6.25e-07.
Optimized objective function value: -1.16e+00; |gradf|: 4.92e-07. Computing time: 0.034 s.
