Iter   f          |gradf|    alpha     
-------------------------------------
1      4.83e+04   8.21e+03   1.95e-03  
2      2.20e+04   6.22e+03   7.81e-04  
3      3.08e+03   1.69e+03   9.78e-04  
4      1.35e+03   6.81e+02   1.21e-03  
5      8.65e+02   5.16e+02   2.11e-03  
6      4.08e+02   3.31e+02   3.43e-03  
7      1.32e+02   1.69e+02   5.05e-03  
8      3.64e+01   1.08e+02   3.33e-03  
9      3.61e+01   1.84e+02   6.00e-05  
10     3.41e+01   1.74e+02   1.17e-04  
11     3.07e+01   1.56e+02   2.21e-04  
12     2.59e+01   1.25e+02   3.98e-04  
13     2.07e+01   8.34e+01   6.60e-04  
14     1.73e+01   4.63e+01   9.90e-04  
15     1.56e+01   3.35e+01   1.59e-03  
16     1.40e+01   2.76e+01   2.89e-03  
17     1.21e+01   1.90e+01   4.87e-03  
18     1.08e+01   1.08e+01   7.13e-03  
19     1.08e+01   2.72e+01   1.08e-03  
20     1.03e+01   4.95e+00   1.15e-03  
21     1.03e+01   4.76e+00   2.23e-03  
22     1.03e+01   4.67e+00   4.41e-03  
23     1.02e+01   4.59e+00   8.70e-03  
24     9.99e+00   4.96e+00   8.49e-03  
25     9.94e+00   1.59e+01   1.16e-03  
26     9.80e+00   5.08e+00   1.09e-03  
27     9.77e+00   4.47e+00   1.91e-03  
28     9.74e+00   4.46e+00   3.80e-03  
29     9.66e+00   4.47e+00   7.56e-03  
30     9.52e+00   5.61e+00   3.57e-03  
31     9.48e+00   9.93e+00   2.25e-03  
32     9.46e+00   1.20e+01   4.20e-04  
33     9.41e+00   7.82e+00   6.87e-04  
34     9.38e+00   4.82e+00   1.05e-03  
35     9.36e+00   4.37e+00   1.90e-03  
36     9.32e+00   4.36e+00   3.80e-03  
37     9.25e+00   4.35e+00   7.58e-03  
38     9.11e+00   4.62e+00   1.49e-02  
39     9.10e+00   2.35e+01   7.77e-04  
40     8.83e+00   6.69e+00   9.70e-04  
41     8.80e+00   4.24e+00   1.38e-03  
42     8.78e+00   4.24e+00   2.75e-03  
43     8.73e+00   4.22e+00   5.49e-03  
44     8.63e+00   4.23e+00   1.09e-02  
45     8.45e+00   6.20e+00   2.54e-03  
46     8.42e+00   8.21e+00   1.52e-03  
47     8.37e+00   5.55e+00   1.32e-03  
48     8.35e+00   4.30e+00   1.86e-03  
49     8.31e+00   4.25e+00   3.47e-03  
50     8.26e+00   4.81e+00   6.24e-03  
51     8.23e+00   1.37e+01   1.96e-03  
52     8.20e+00   1.32e+01   4.14e-04  
53     8.14e+00   8.43e+00   6.73e-04  
54     8.10e+00   4.73e+00   9.99e-04  
55     8.08e+00   4.07e+00   1.74e-03  
56     8.05e+00   4.06e+00   3.47e-03  
57     8.00e+00   4.05e+00   6.94e-03  
58     7.88e+00   4.02e+00   1.38e-02  
59     7.66e+00   3.97e+00   2.75e-02  
60     7.26e+00   7.62e+00   1.60e-03  
61     7.22e+00   5.50e+00   1.30e-03  
62     7.19e+00   4.02e+00   1.74e-03  
63     7.17e+00   3.93e+00   3.22e-03  
64     7.12e+00   4.27e+00   5.93e-03  
65     7.08e+00   1.02e+01   1.20e-03  
66     7.02e+00   4.25e+00   1.16e-03  
67     7.00e+00   3.81e+00   2.05e-03  
68     6.97e+00   3.80e+00   4.07e-03  
69     6.91e+00   3.90e+00   8.00e-03  
70     6.82e+00   7.90e+00   1.47e-03  
71     6.78e+00   4.98e+00   1.26e-03  
72     6.76e+00   3.83e+00   1.83e-03  
73     6.74e+00   3.79e+00   3.48e-03  
74     6.69e+00   4.11e+00   6.52e-03  
75     6.64e+00   1.04e+01   1.28e-03  
76     6.58e+00   4.58e+00   1.13e-03  
77     6.56e+00   3.69e+00   1.80e-03  
78     6.54e+00   3.68e+00   3.57e-03  
79     6.49e+00   3.72e+00   7.05e-03  
