Iter   f          |gradf|    alpha     
-------------------------------------
1      4.83e+04   2.17e+04   1.00e+00  
2      2.65e+03   1.13e+03   1.00e+00  
3      1.44e+03   7.39e+02   1.00e+00  
4      1.88e+02   2.37e+02   1.00e+00  
5      6.04e+01   1.78e+02   1.00e+00  
6      2.56e+01   1.45e+02   1.00e+00  
7      1.19e+01   3.10e+01   1.00e+00  
8      1.09e+01   1.37e+01   1.00e+00  
9      1.06e+01   5.35e+00   1.00e+00  
10     1.06e+01   6.16e+00   1.00e+00  
11     1.04e+01   1.10e+01   1.00e+00  
12     9.75e+00   2.52e+01   1.00e+00  
13     8.48e+00   4.07e+01   1.00e+00  
14     5.81e+00   5.55e+01   1.00e+00  
15     2.73e+00   6.05e+01   5.00e-01  
16     1.01e+00   4.12e+01   1.00e+00  
17     -3.59e-02  1.07e+01   1.00e+00  
18     -1.77e-01  3.08e+00   1.00e+00  
19     -1.91e-01  9.62e-01   1.00e+00  
20     -1.92e-01  3.45e-01   1.00e+00  
21     -1.93e-01  2.61e-01   1.00e+00  
22     -1.93e-01  1.01e-01   1.00e+00  
23     -1.93e-01  6.62e-02   1.00e+00  
24     -1.93e-01  3.45e-02   5.00e-01  
25     -1.93e-01  1.98e-02   1.00e+00  
26     -1.93e-01  3.23e-03   1.00e+00  
27     -1.93e-01  1.25e-03   1.00e+00  
28     -1.93e-01  8.05e-04   1.00e+00  
29     -1.93e-01  1.03e-03   1.00e+00  
30     -1.93e-01  1.35e-03   1.00e+00  
31     -1.93e-01  2.53e-03   1.00e+00  
32     -1.93e-01  4.18e-03   1.00e+00  
33     -1.93e-01  8.76e-03   1.00e+00  
34     -1.93e-01  5.76e-03   1.00e+00  
35     -1.93e-01  2.88e-03   1.00e+00  
36     -1.93e-01  2.16e-03   1.00e+00  
37     -1.93e-01  3.83e-04   1.00e+00  
Terminated at iteration=38 as |gradf|=1.40e-04 < threshold=2.17e-04.
Optimized objective function value: -1.93e-01; |gradf|: 1.40e-04. Computing time: 0.001 s.
