Iter   f          |gradf|    alpha     
-------------------------------------
1      9.49e+04   3.31e+03   1.00e+00  
2      4.34e+04   6.59e+02   1.00e+00  
3      1.05e+04   2.57e+02   1.00e+00  
4      2.68e+03   1.23e+02   1.00e+00  
5      1.04e+03   8.04e+01   1.00e+00  
6      3.11e+02   4.85e+01   1.00e+00  
7      7.86e+01   3.22e+01   1.00e+00  
8      -3.62e+01  2.13e+01   1.00e+00  
9      -7.97e+01  1.51e+01   1.00e+00  
10     -1.02e+02  1.03e+01   1.00e+00  
11     -1.11e+02  7.14e+00   1.00e+00  
12     -1.16e+02  4.87e+00   1.00e+00  
13     -1.18e+02  3.47e+00   1.00e+00  
14     -1.19e+02  2.42e+00   1.00e+00  
15     -1.19e+02  1.67e+00   1.00e+00  
16     -1.20e+02  1.10e+00   1.00e+00  
17     -1.20e+02  7.51e-01   1.00e+00  
18     -1.20e+02  5.33e-01   1.00e+00  
19     -1.20e+02  3.92e-01   1.00e+00  
20     -1.20e+02  2.83e-01   1.00e+00  
21     -1.20e+02  1.96e-01   1.00e+00  
22     -1.20e+02  1.31e-01   1.00e+00  
23     -1.20e+02  8.82e-02   1.00e+00  
24     -1.20e+02  6.02e-02   1.00e+00  
25     -1.20e+02  4.13e-02   1.00e+00  
26     -1.20e+02  2.80e-02   1.00e+00  
27     -1.20e+02  1.88e-02   1.00e+00  
28     -1.20e+02  1.29e-02   1.00e+00  
29     -1.20e+02  9.09e-03   1.00e+00  
30     -1.20e+02  6.35e-03   1.00e+00  
31     -1.20e+02  4.28e-03   1.00e+00  
32     -1.20e+02  2.80e-03   1.00e+00  
33     -1.20e+02  1.86e-03   1.00e+00  
34     -1.20e+02  1.32e-03   1.00e+00  
35     -1.20e+02  9.72e-04   1.00e+00  
36     -1.20e+02  7.05e-04   1.00e+00  
37     -1.20e+02  4.91e-04   1.00e+00  
38     -1.20e+02  3.31e-04   1.00e+00  
39     -1.20e+02  2.25e-04   1.00e+00  
40     -1.20e+02  1.57e-04   1.00e+00  
41     -1.20e+02  1.10e-04   1.00e+00  
42     -1.20e+02  7.40e-05   1.00e+00  
43     -1.20e+02  4.88e-05   1.00e+00  
Terminated at iteration=44 as |gradf|=3.26e-05 < threshold=3.31e-05.
Optimized objective function value: -1.20e+02; |gradf|: 3.26e-05. Computing time: 0.347 s.
