Iter   f          |gradf|    alpha     
-------------------------------------
1      8.96e+06   2.81e+05   1.00e+00  
2      2.98e+06   5.41e+04   1.00e+00  
3      7.54e+05   2.10e+04   1.00e+00  
4      2.41e+05   1.01e+04   1.00e+00  
5      1.29e+05   6.96e+03   1.00e+00  
6      7.08e+04   4.73e+03   1.00e+00  
7      4.85e+04   3.65e+03   1.00e+00  
8      3.37e+04   2.97e+03   1.00e+00  
9      2.58e+04   2.61e+03   1.00e+00  
10     1.99e+04   2.33e+03   1.00e+00  
11     1.61e+04   2.09e+03   1.00e+00  
12     1.31e+04   1.86e+03   1.00e+00  
13     1.10e+04   1.68e+03   1.00e+00  
14     9.31e+03   1.53e+03   1.00e+00  
15     8.04e+03   1.42e+03   1.00e+00  
16     6.96e+03   1.34e+03   1.00e+00  
17     6.13e+03   1.28e+03   1.00e+00  
18     5.41e+03   1.22e+03   1.00e+00  
19     4.83e+03   1.17e+03   1.00e+00  
20     4.32e+03   1.11e+03   1.00e+00  
21     3.90e+03   1.06e+03   1.00e+00  
22     3.52e+03   1.01e+03   1.00e+00  
23     3.20e+03   9.69e+02   1.00e+00  
24     2.91e+03   9.36e+02   1.00e+00  
25     2.67e+03   9.10e+02   1.00e+00  
26     2.44e+03   8.89e+02   1.00e+00  
27     2.24e+03   8.72e+02   1.00e+00  
28     2.06e+03   8.55e+02   1.00e+00  
29     1.89e+03   8.37e+02   1.00e+00  
30     1.75e+03   8.16e+02   1.00e+00  
31     1.61e+03   7.92e+02   1.00e+00  
32     1.49e+03   7.64e+02   1.00e+00  
33     1.38e+03   7.34e+02   1.00e+00  
34     1.28e+03   7.02e+02   1.00e+00  
35     1.19e+03   6.71e+02   1.00e+00  
36     1.10e+03   6.41e+02   1.00e+00  
37     1.03e+03   6.14e+02   1.00e+00  
38     9.57e+02   5.90e+02   1.00e+00  
39     8.93e+02   5.69e+02   1.00e+00  
40     8.33e+02   5.51e+02   1.00e+00  
41     7.79e+02   5.35e+02   1.00e+00  
42     7.29e+02   5.21e+02   1.00e+00  
43     6.83e+02   5.07e+02   1.00e+00  
44     6.41e+02   4.93e+02   1.00e+00  
45     6.02e+02   4.78e+02   1.00e+00  
46     5.66e+02   4.62e+02   1.00e+00  
47     5.34e+02   4.44e+02   1.00e+00  
48     5.03e+02   4.26e+02   1.00e+00  
49     4.75e+02   4.07e+02   1.00e+00  
50     4.49e+02   3.88e+02   1.00e+00  
51     4.26e+02   3.71e+02   1.00e+00  
52     4.03e+02   3.55e+02   1.00e+00  
53     3.83e+02   3.40e+02   1.00e+00  
54     3.64e+02   3.28e+02   1.00e+00  
55     3.46e+02   3.18e+02   1.00e+00  
56     3.30e+02   3.09e+02   1.00e+00  
57     3.15e+02   3.02e+02   1.00e+00  
58     3.01e+02   2.96e+02   1.00e+00  
59     2.88e+02   2.90e+02   1.00e+00  
60     2.75e+02   2.85e+02   1.00e+00  
61     2.64e+02   2.79e+02   1.00e+00  
62     2.53e+02   2.73e+02   1.00e+00  
63     2.43e+02   2.66e+02   1.00e+00  
64     2.34e+02   2.59e+02   1.00e+00  
65     2.25e+02   2.52e+02   1.00e+00  
66     2.17e+02   2.44e+02   1.00e+00  
67     2.09e+02   2.37e+02   1.00e+00  
68     2.02e+02   2.31e+02   1.00e+00  
69     1.95e+02   2.25e+02   1.00e+00  
70     1.88e+02   2.21e+02   1.00e+00  
71     1.82e+02   2.17e+02   1.00e+00  
72     1.76e+02   2.14e+02   1.00e+00  
73     1.70e+02   2.12e+02   1.00e+00  
74     1.65e+02   2.11e+02   1.00e+00  
75     1.60e+02   2.10e+02   1.00e+00  
76     1.55e+02   2.10e+02   1.00e+00  
77     1.51e+02   2.09e+02   1.00e+00  
78     1.46e+02   2.09e+02   1.00e+00  
79     1.42e+02   2.08e+02   1.00e+00  
80     1.38e+02   2.07e+02   1.00e+00  
81     1.34e+02   2.06e+02   1.00e+00  
82     1.30e+02   2.04e+02   1.00e+00  
83     1.27e+02   2.02e+02   1.00e+00  
84     1.23e+02   2.00e+02   1.00e+00  
85     1.20e+02   1.97e+02   1.00e+00  
86     1.17e+02   1.95e+02   1.00e+00  
87     1.14e+02   1.92e+02   1.00e+00  
88     1.11e+02   1.89e+02   1.00e+00  
89     1.08e+02   1.87e+02   1.00e+00  
90     1.05e+02   1.85e+02   1.00e+00  
91     1.03e+02   1.83e+02   1.00e+00  
92     1.00e+02   1.81e+02   1.00e+00  
93     9.75e+01   1.80e+02   1.00e+00  
94     9.51e+01   1.79e+02   1.00e+00  
95     9.28e+01   1.78e+02   1.00e+00  
96     9.05e+01   1.77e+02   1.00e+00  
97     8.83e+01   1.77e+02   1.00e+00  
98     8.62e+01   1.77e+02   1.00e+00  
99     8.41e+01   1.76e+02   1.00e+00  
100    8.21e+01   1.76e+02   1.00e+00  
101    8.02e+01   1.75e+02   1.00e+00  
102    7.83e+01   1.75e+02   1.00e+00  
103    7.65e+01   1.74e+02   1.00e+00  
104    7.47e+01   1.72e+02   1.00e+00  
105    7.30e+01   1.71e+02   1.00e+00  
106    7.13e+01   1.69e+02   1.00e+00  
107    6.97e+01   1.67e+02   1.00e+00  
108    6.81e+01   1.65e+02   1.00e+00  
109    6.66e+01   1.63e+02   1.00e+00  
110    6.51e+01   1.60e+02   1.00e+00  
111    6.36e+01   1.58e+02   1.00e+00  
112    6.22e+01   1.55e+02   1.00e+00  
113    6.09e+01   1.53e+02   1.00e+00  
114    5.95e+01   1.50e+02   1.00e+00  
115    5.82e+01   1.48e+02   1.00e+00  
116    5.69e+01   1.46e+02   1.00e+00  
117    5.57e+01   1.44e+02   1.00e+00  
118    5.45e+01   1.42e+02   1.00e+00  
119    5.33e+01   1.40e+02   1.00e+00  
120    5.22e+01   1.39e+02   1.00e+00  
121    5.11e+01   1.38e+02   1.00e+00  
122    5.00e+01   1.37e+02   1.00e+00  
123    4.89e+01   1.36e+02   1.00e+00  
124    4.79e+01   1.35e+02   1.00e+00  
125    4.69e+01   1.35e+02   1.00e+00  
126    4.59e+01   1.34e+02   1.00e+00  
127    4.50e+01   1.33e+02   1.00e+00  
128    4.41e+01   1.33e+02   1.00e+00  
129    4.32e+01   1.32e+02   1.00e+00  
130    4.23e+01   1.31e+02   1.00e+00  
131    4.14e+01   1.30e+02   1.00e+00  
132    4.06e+01   1.29e+02   1.00e+00  
133    3.97e+01   1.28e+02   1.00e+00  
134    3.89e+01   1.26e+02   1.00e+00  
135    3.82e+01   1.25e+02   1.00e+00  
136    3.74e+01   1.23e+02   1.00e+00  
137    3.67e+01   1.22e+02   1.00e+00  
