Iter   f          |gradf|    alpha     
-------------------------------------
1      8.96e+06   1.11e+05   1.95e-03  
2      2.92e+06   6.88e+04   1.95e-03  
3      1.63e+06   5.29e+04   1.95e-03  
4      1.08e+06   4.36e+04   1.95e-03  
5      7.70e+05   3.72e+04   1.95e-03  
6      5.79e+05   3.24e+04   1.95e-03  
7      4.49e+05   2.86e+04   1.95e-03  
8      3.56e+05   2.55e+04   1.95e-03  
9      2.87e+05   2.30e+04   1.95e-03  
10     2.35e+05   2.08e+04   1.95e-03  
11     1.94e+05   1.89e+04   1.95e-03  
12     1.62e+05   1.72e+04   1.95e-03  
13     1.36e+05   1.58e+04   1.95e-03  
14     1.15e+05   1.45e+04   1.95e-03  
15     9.80e+04   1.34e+04   1.95e-03  
16     8.38e+04   1.24e+04   1.95e-03  
17     7.20e+04   1.14e+04   1.95e-03  
18     6.21e+04   1.06e+04   1.95e-03  
19     5.37e+04   9.83e+03   1.95e-03  
20     4.66e+04   9.14e+03   1.95e-03  
21     4.06e+04   8.51e+03   1.95e-03  
22     3.54e+04   7.93e+03   1.95e-03  
23     3.10e+04   7.40e+03   1.95e-03  
24     2.72e+04   6.90e+03   1.95e-03  
25     2.39e+04   6.45e+03   1.95e-03  
26     2.10e+04   6.03e+03   1.95e-03  
27     1.86e+04   5.64e+03   1.95e-03  
28     1.64e+04   5.28e+03   1.95e-03  
29     1.45e+04   4.95e+03   1.95e-03  
30     1.29e+04   4.64e+03   1.95e-03  
31     1.14e+04   4.35e+03   1.95e-03  
32     1.02e+04   4.08e+03   1.95e-03  
33     9.07e+03   3.83e+03   1.95e-03  
34     8.09e+03   3.60e+03   1.95e-03  
35     7.23e+03   3.38e+03   1.95e-03  
36     6.47e+03   3.17e+03   1.95e-03  
37     5.80e+03   2.98e+03   1.95e-03  
38     5.21e+03   2.80e+03   1.95e-03  
39     4.68e+03   2.64e+03   1.95e-03  
40     4.22e+03   2.48e+03   1.95e-03  
41     3.80e+03   2.33e+03   1.95e-03  
42     3.43e+03   2.20e+03   1.95e-03  
43     3.11e+03   2.07e+03   1.95e-03  
44     2.81e+03   1.95e+03   1.95e-03  
45     2.55e+03   1.83e+03   1.95e-03  
46     2.32e+03   1.72e+03   1.95e-03  
47     2.11e+03   1.62e+03   1.95e-03  
48     1.93e+03   1.53e+03   1.95e-03  
49     1.76e+03   1.44e+03   1.95e-03  
50     1.61e+03   1.36e+03   1.95e-03  
51     1.48e+03   1.28e+03   1.95e-03  
52     1.36e+03   1.21e+03   1.95e-03  
53     1.25e+03   1.14e+03   1.95e-03  
54     1.15e+03   1.07e+03   1.95e-03  
55     1.06e+03   1.01e+03   1.95e-03  
56     9.85e+02   9.55e+02   1.95e-03  
57     9.13e+02   9.00e+02   1.95e-03  
58     8.48e+02   8.49e+02   1.95e-03  
59     7.89e+02   8.01e+02   1.95e-03  
60     7.36e+02   7.56e+02   1.95e-03  
61     6.88e+02   7.14e+02   1.95e-03  
62     6.43e+02   6.74e+02   1.95e-03  
63     6.03e+02   6.36e+02   1.95e-03  
64     5.67e+02   6.00e+02   1.95e-03  
65     5.33e+02   5.67e+02   1.95e-03  
66     5.03e+02   5.35e+02   1.95e-03  
67     4.75e+02   5.05e+02   1.95e-03  
68     4.49e+02   4.77e+02   1.95e-03  
69     4.25e+02   4.51e+02   1.95e-03  
70     4.03e+02   4.26e+02   1.95e-03  
71     3.83e+02   4.02e+02   1.95e-03  
72     3.65e+02   3.80e+02   1.95e-03  
73     3.48e+02   3.59e+02   1.95e-03  
74     3.32e+02   3.40e+02   1.95e-03  
75     3.17e+02   3.21e+02   1.95e-03  
76     3.04e+02   3.04e+02   1.95e-03  
77     2.91e+02   2.87e+02   1.95e-03  
78     2.79e+02   2.71e+02   1.95e-03  
79     2.68e+02   2.57e+02   1.95e-03  
80     2.58e+02   2.43e+02   1.95e-03  
81     2.48e+02   2.30e+02   1.95e-03  
82     2.39e+02   2.18e+02   1.95e-03  
83     2.30e+02   2.06e+02   1.95e-03  
84     2.22e+02   1.95e+02   1.95e-03  
85     2.15e+02   1.85e+02   1.95e-03  
86     2.08e+02   1.75e+02   1.95e-03  
87     2.01e+02   1.66e+02   1.95e-03  
88     1.95e+02   1.57e+02   1.95e-03  
89     1.89e+02   1.49e+02   1.95e-03  
90     1.83e+02   1.42e+02   1.95e-03  
91     1.77e+02   1.34e+02   1.95e-03  
92     1.72e+02   1.27e+02   1.95e-03  
93     1.67e+02   1.21e+02   1.95e-03  
94     1.63e+02   1.15e+02   1.95e-03  
95     1.58e+02   1.09e+02   1.95e-03  
96     1.54e+02   1.04e+02   1.95e-03  
97     1.50e+02   9.89e+01   1.95e-03  
98     1.46e+02   9.42e+01   1.95e-03  
99     1.42e+02   8.97e+01   1.95e-03  
100    1.39e+02   8.55e+01   1.95e-03  
101    1.35e+02   8.15e+01   1.95e-03  
102    1.32e+02   7.78e+01   1.95e-03  
103    1.29e+02   7.43e+01   1.95e-03  
104    1.26e+02   7.10e+01   1.95e-03  
105    1.23e+02   6.79e+01   1.95e-03  
106    1.20e+02   6.49e+01   1.95e-03  
107    1.17e+02   6.22e+01   1.95e-03  
108    1.14e+02   5.96e+01   1.95e-03  
109    1.12e+02   5.72e+01   1.95e-03  
110    1.09e+02   5.49e+01   1.95e-03  
111    1.07e+02   5.28e+01   1.95e-03  
112    1.05e+02   5.08e+01   1.95e-03  
113    1.02e+02   4.89e+01   1.95e-03  
114    1.00e+02   4.71e+01   1.95e-03  
115    9.82e+01   4.54e+01   3.91e-03  
116    9.81e+01   9.84e+01   1.95e-03  
117    9.58e+01   9.34e+01   1.95e-03  
118    9.36e+01   8.87e+01   1.95e-03  
119    9.14e+01   8.43e+01   1.95e-03  
120    8.94e+01   8.02e+01   1.95e-03  
121    8.74e+01   7.62e+01   1.95e-03  
122    8.55e+01   7.25e+01   1.95e-03  
123    8.37e+01   6.91e+01   1.95e-03  
124    8.19e+01   6.58e+01   1.95e-03  
125    8.02e+01   6.27e+01   1.95e-03  
126    7.86e+01   5.98e+01   1.95e-03  
127    7.70e+01   5.71e+01   1.95e-03  
128    7.55e+01   5.45e+01   1.95e-03  
129    7.40e+01   5.21e+01   1.95e-03  
130    7.25e+01   4.98e+01   1.95e-03  
131    7.11e+01   4.77e+01   1.95e-03  
132    6.98e+01   4.57e+01   1.95e-03  
133    6.85e+01   4.38e+01   1.95e-03  
134    6.72e+01   4.20e+01   1.95e-03  
135    6.60e+01   4.04e+01   1.95e-03  
136    6.48e+01   3.88e+01   1.95e-03  
137    6.36e+01   3.73e+01   1.95e-03  
138    6.24e+01   3.60e+01   1.95e-03  
139    6.13e+01   3.47e+01   1.95e-03  
140    6.03e+01   3.35e+01   1.95e-03  
141    5.92e+01   3.23e+01   3.91e-03  
142    5.92e+01   7.02e+01   1.95e-03  
143    5.80e+01   6.67e+01   1.95e-03  
144    5.68e+01   6.34e+01   1.95e-03  
145    5.57e+01   6.03e+01   1.95e-03  
146    5.47e+01   5.74e+01   1.95e-03  
147    5.36e+01   5.46e+01   1.95e-03  
148    5.26e+01   5.21e+01   1.95e-03  
149    5.17e+01   4.96e+01   1.95e-03  
150    5.07e+01   4.73e+01   1.95e-03  
151    4.98e+01   4.51e+01   1.95e-03  
152    4.90e+01   4.31e+01   1.95e-03  
153    4.81e+01   4.12e+01   1.95e-03  
154    4.73e+01   3.94e+01   1.95e-03  
155    4.65e+01   3.77e+01   1.95e-03  
156    4.57e+01   3.61e+01   1.95e-03  
157    4.49e+01   3.46e+01   1.95e-03  
158    4.42e+01   3.32e+01   1.95e-03  
159    4.35e+01   3.19e+01   1.95e-03  
160    4.27e+01   3.07e+01   1.95e-03  
161    4.21e+01   2.95e+01   1.95e-03  
162    4.14e+01   2.85e+01   1.95e-03  
163    4.07e+01   2.74e+01   1.95e-03  
164    4.01e+01   2.65e+01   1.95e-03  
165    3.94e+01   2.56e+01   1.95e-03  
166    3.88e+01   2.48e+01   3.91e-03  
167    3.88e+01   5.37e+01   1.95e-03  
168    3.81e+01   5.11e+01   1.95e-03  
169    3.74e+01   4.86e+01   1.95e-03  
170    3.68e+01   4.63e+01   1.95e-03  
171    3.61e+01   4.41e+01   1.95e-03  
172    3.55e+01   4.20e+01   1.95e-03  
173    3.49e+01   4.00e+01   1.95e-03  
174    3.43e+01   3.82e+01   1.95e-03  
175    3.38e+01   3.65e+01   1.95e-03  
176    3.32e+01   3.48e+01   1.95e-03  
177    3.27e+01   3.33e+01   1.95e-03  
178    3.22e+01   3.18e+01   1.95e-03  
179    3.17e+01   3.05e+01   1.95e-03  
180    3.12e+01   2.92e+01   1.95e-03  
181    3.07e+01   2.80e+01   1.95e-03  
182    3.02e+01   2.69e+01   1.95e-03  
183    2.98e+01   2.58e+01   1.95e-03  
184    2.93e+01   2.48e+01   1.95e-03  
185    2.89e+01   2.39e+01   1.95e-03  
186    2.84e+01   2.30e+01   1.95e-03  
187    2.80e+01   2.22e+01   1.95e-03  
188    2.76e+01   2.15e+01   1.95e-03  
189    2.72e+01   2.08e+01   1.95e-03  
190    2.68e+01   2.01e+01   1.95e-03  
191    2.64e+01   1.95e+01   3.91e-03  
192    2.63e+01   4.18e+01   1.95e-03  
193    2.59e+01   3.98e+01   1.95e-03  
194    2.55e+01   3.79e+01   1.95e-03  
195    2.50e+01   3.61e+01   1.95e-03  
196    2.46e+01   3.44e+01   1.95e-03  
197    2.42e+01   3.28e+01   1.95e-03  
198    2.39e+01   3.13e+01   1.95e-03  
199    2.35e+01   2.99e+01   1.95e-03  
200    2.31e+01   2.86e+01   1.95e-03  
201    2.28e+01   2.73e+01   1.95e-03  
202    2.24e+01   2.62e+01   1.95e-03  
203    2.21e+01   2.51e+01   1.95e-03  
204    2.18e+01   2.40e+01   1.95e-03  
205    2.14e+01   2.30e+01   1.95e-03  
206    2.11e+01   2.21e+01   1.95e-03  
207    2.08e+01   2.13e+01   1.95e-03  
208    2.05e+01   2.05e+01   1.95e-03  
209    2.02e+01   1.97e+01   1.95e-03  
210    1.99e+01   1.90e+01   1.95e-03  
211    1.96e+01   1.84e+01   1.95e-03  
212    1.94e+01   1.77e+01   1.95e-03  
213    1.91e+01   1.72e+01   1.95e-03  
214    1.88e+01   1.66e+01   1.95e-03  
215    1.85e+01   1.61e+01   3.91e-03  
216    1.85e+01   3.47e+01   1.95e-03  
217    1.82e+01   3.30e+01   1.95e-03  
218    1.79e+01   3.14e+01   1.95e-03  
219    1.76e+01   3.00e+01   1.95e-03  
220    1.73e+01   2.86e+01   1.95e-03  
221    1.71e+01   2.73e+01   1.95e-03  
222    1.68e+01   2.60e+01   1.95e-03  
223    1.65e+01   2.49e+01   1.95e-03  
224    1.63e+01   2.38e+01   1.95e-03  
225    1.61e+01   2.28e+01   1.95e-03  
226    1.58e+01   2.18e+01   1.95e-03  
227    1.56e+01   2.09e+01   1.95e-03  
228    1.53e+01   2.00e+01   1.95e-03  
229    1.51e+01   1.92e+01   1.95e-03  
230    1.49e+01   1.85e+01   1.95e-03  
231    1.47e+01   1.78e+01   1.95e-03  
232    1.45e+01   1.71e+01   1.95e-03  
233    1.43e+01   1.65e+01   1.95e-03  
234    1.41e+01   1.59e+01   1.95e-03  
235    1.39e+01   1.54e+01   1.95e-03  
236    1.37e+01   1.49e+01   1.95e-03  
237    1.35e+01   1.44e+01   1.95e-03  
238    1.33e+01   1.39e+01   1.95e-03  
239    1.31e+01   1.35e+01   3.91e-03  
240    1.31e+01   2.91e+01   1.95e-03  
241    1.28e+01   2.77e+01   1.95e-03  
242    1.26e+01   2.64e+01   1.95e-03  
243    1.24e+01   2.52e+01   1.95e-03  
244    1.22e+01   2.40e+01   1.95e-03  
245    1.20e+01   2.29e+01   1.95e-03  
246    1.19e+01   2.19e+01   1.95e-03  
247    1.17e+01   2.10e+01   1.95e-03  
248    1.15e+01   2.01e+01   1.95e-03  
249    1.13e+01   1.92e+01   1.95e-03  
250    1.11e+01   1.84e+01   1.95e-03  
251    1.10e+01   1.76e+01   1.95e-03  
252    1.08e+01   1.69e+01   1.95e-03  
253    1.06e+01   1.63e+01   1.95e-03  
254    1.05e+01   1.56e+01   1.95e-03  
255    1.03e+01   1.50e+01   1.95e-03  
256    1.02e+01   1.45e+01   1.95e-03  
257    1.00e+01   1.40e+01   1.95e-03  
258    9.88e+00   1.35e+01   1.95e-03  
259    9.73e+00   1.30e+01   1.95e-03  
260    9.59e+00   1.26e+01   1.95e-03  
261    9.45e+00   1.22e+01   1.95e-03  
262    9.31e+00   1.19e+01   1.95e-03  
263    9.17e+00   1.15e+01   3.91e-03  
264    9.15e+00   2.47e+01   1.95e-03  
265    8.99e+00   2.35e+01   1.95e-03  
266    8.84e+00   2.24e+01   1.95e-03  
267    8.69e+00   2.14e+01   1.95e-03  
268    8.55e+00   2.04e+01   1.95e-03  
269    8.41e+00   1.95e+01   1.95e-03  
270    8.27e+00   1.87e+01   1.95e-03  
271    8.14e+00   1.78e+01   1.95e-03  
272    8.01e+00   1.71e+01   1.95e-03  
273    7.88e+00   1.64e+01   1.95e-03  
274    7.75e+00   1.57e+01   1.95e-03  
275    7.63e+00   1.51e+01   1.95e-03  
276    7.51e+00   1.45e+01   1.95e-03  
277    7.39e+00   1.39e+01   1.95e-03  
278    7.27e+00   1.34e+01   1.95e-03  
279    7.15e+00   1.29e+01   1.95e-03  
280    7.04e+00   1.24e+01   1.95e-03  
281    6.93e+00   1.20e+01   1.95e-03  
282    6.82e+00   1.16e+01   1.95e-03  
283    6.71e+00   1.12e+01   1.95e-03  
284    6.60e+00   1.08e+01   1.95e-03  
285    6.50e+00   1.05e+01   1.95e-03  
286    6.40e+00   1.02e+01   3.91e-03  
287    6.39e+00   2.22e+01   1.95e-03  
288    6.27e+00   2.11e+01   1.95e-03  
289    6.16e+00   2.02e+01   1.95e-03  
290    6.04e+00   1.92e+01   1.95e-03  
291    5.93e+00   1.84e+01   1.95e-03  
292    5.83e+00   1.75e+01   1.95e-03  
293    5.72e+00   1.68e+01   1.95e-03  
294    5.62e+00   1.60e+01   1.95e-03  
295    5.52e+00   1.53e+01   1.95e-03  
296    5.42e+00   1.47e+01   1.95e-03  
297    5.32e+00   1.41e+01   1.95e-03  
298    5.23e+00   1.35e+01   1.95e-03  
299    5.14e+00   1.30e+01   1.95e-03  
300    5.05e+00   1.25e+01   1.95e-03  
301    4.96e+00   1.20e+01   1.95e-03  
302    4.87e+00   1.15e+01   1.95e-03  
303    4.78e+00   1.11e+01   1.95e-03  
304    4.70e+00   1.07e+01   1.95e-03  
305    4.61e+00   1.03e+01   1.95e-03  
306    4.53e+00   1.00e+01   1.95e-03  
307    4.45e+00   9.68e+00   1.95e-03  
308    4.37e+00   9.37e+00   1.95e-03  
309    4.29e+00   9.09e+00   1.95e-03  
310    4.21e+00   8.82e+00   3.91e-03  
311    4.21e+00   1.92e+01   1.95e-03  
312    4.12e+00   1.83e+01   1.95e-03  
313    4.03e+00   1.74e+01   1.95e-03  
314    3.94e+00   1.66e+01   1.95e-03  
315    3.86e+00   1.59e+01   1.95e-03  
316    3.78e+00   1.52e+01   1.95e-03  
317    3.70e+00   1.45e+01   1.95e-03  
318    3.62e+00   1.39e+01   1.95e-03  
319    3.54e+00   1.33e+01   1.95e-03  
320    3.47e+00   1.27e+01   1.95e-03  
321    3.40e+00   1.22e+01   1.95e-03  
322    3.32e+00   1.17e+01   1.95e-03  
323    3.25e+00   1.13e+01   1.95e-03  
324    3.18e+00   1.08e+01   1.95e-03  
325    3.12e+00   1.04e+01   1.95e-03  
326    3.05e+00   1.00e+01   1.95e-03  
327    2.98e+00   9.67e+00   1.95e-03  
328    2.92e+00   9.33e+00   1.95e-03  
329    2.85e+00   9.01e+00   1.95e-03  
330    2.79e+00   8.71e+00   1.95e-03  
331    2.73e+00   8.44e+00   1.95e-03  
332    2.67e+00   8.17e+00   1.95e-03  
333    2.60e+00   7.93e+00   1.95e-03  
334    2.54e+00   7.70e+00   3.91e-03  
335    2.54e+00   1.67e+01   1.95e-03  
336    2.47e+00   1.59e+01   1.95e-03  
337    2.40e+00   1.52e+01   1.95e-03  
338    2.34e+00   1.45e+01   1.95e-03  
339    2.27e+00   1.39e+01   1.95e-03  
340    2.21e+00   1.32e+01   1.95e-03  
341    2.15e+00   1.27e+01   1.95e-03  
342    2.09e+00   1.21e+01   1.95e-03  
343    2.03e+00   1.16e+01   1.95e-03  
344    1.97e+00   1.11e+01   1.95e-03  
345    1.92e+00   1.07e+01   1.95e-03  
346    1.86e+00   1.03e+01   1.95e-03  
347    1.81e+00   9.85e+00   1.95e-03  
348    1.75e+00   9.47e+00   1.95e-03  
349    1.70e+00   9.12e+00   1.95e-03  
350    1.65e+00   8.78e+00   1.95e-03  
351    1.60e+00   8.47e+00   1.95e-03  
352    1.55e+00   8.18e+00   1.95e-03  
353    1.50e+00   7.90e+00   1.95e-03  
354    1.45e+00   7.64e+00   1.95e-03  
355    1.40e+00   7.40e+00   1.95e-03  
356    1.35e+00   7.18e+00   1.95e-03  
357    1.30e+00   6.96e+00   1.95e-03  
358    1.26e+00   6.77e+00   3.91e-03  
359    1.25e+00   1.46e+01   1.95e-03  
360    1.20e+00   1.39e+01   1.95e-03  
361    1.15e+00   1.33e+01   1.95e-03  
362    1.10e+00   1.27e+01   1.95e-03  
363    1.05e+00   1.22e+01   1.95e-03  
364    9.98e-01   1.16e+01   1.95e-03  
365    9.50e-01   1.11e+01   1.95e-03  
366    9.04e-01   1.07e+01   1.95e-03  
367    8.58e-01   1.02e+01   1.95e-03  
368    8.13e-01   9.79e+00   1.95e-03  
369    7.69e-01   9.39e+00   1.95e-03  
370    7.26e-01   9.02e+00   1.95e-03  
371    6.83e-01   8.67e+00   1.95e-03  
372    6.41e-01   8.34e+00   1.95e-03  
373    6.00e-01   8.03e+00   1.95e-03  
374    5.59e-01   7.74e+00   1.95e-03  
375    5.19e-01   7.46e+00   1.95e-03  
376    4.80e-01   7.21e+00   1.95e-03  
377    4.41e-01   6.97e+00   1.95e-03  
378    4.02e-01   6.74e+00   1.95e-03  
379    3.65e-01   6.53e+00   1.95e-03  
380    3.27e-01   6.33e+00   1.95e-03  
381    2.90e-01   6.15e+00   1.95e-03  
382    2.53e-01   5.98e+00   3.91e-03  
383    2.49e-01   1.29e+01   1.95e-03  
384    2.07e-01   1.23e+01   1.95e-03  
385    1.66e-01   1.17e+01   1.95e-03  
386    1.26e-01   1.12e+01   1.95e-03  
387    8.70e-02   1.07e+01   1.95e-03  
388    4.89e-02   1.03e+01   1.95e-03  
389    1.16e-02   9.82e+00   1.95e-03  
390    -2.50e-02  9.41e+00   1.95e-03  
391    -6.09e-02  9.02e+00   1.95e-03  
392    -9.62e-02  8.65e+00   1.95e-03  
