Iter   f          |gradf|    alpha     
-------------------------------------
1      8.96e+06   2.81e+05   1.00e+00  
2      3.07e+05   1.19e+04   1.00e+00  
3      1.63e+05   7.48e+03   1.00e+00  
4      4.29e+04   3.70e+03   1.00e+00  
5      3.69e+04   5.70e+03   1.00e+00  
6      2.04e+04   1.94e+03   1.00e+00  
7      1.50e+04   1.21e+03   1.00e+00  
8      9.81e+03   1.21e+03   1.00e+00  
9      5.58e+03   9.61e+02   1.00e+00  
10     4.60e+03   1.75e+03   1.00e+00  
11     2.61e+03   5.26e+02   1.00e+00  
12     2.22e+03   4.05e+02   1.00e+00  
13     1.44e+03   4.47e+02   5.00e-01  
14     1.10e+03   4.42e+02   1.00e+00  
15     8.58e+02   2.71e+02   1.00e+00  
16     6.21e+02   2.26e+02   1.00e+00  
17     5.21e+02   3.68e+02   1.00e+00  
18     4.11e+02   1.82e+02   1.00e+00  
19     3.28e+02   1.31e+02   1.00e+00  
20     2.79e+02   1.31e+02   1.00e+00  
21     2.58e+02   3.78e+02   1.00e+00  
22     1.78e+02   8.60e+01   1.00e+00  
23     1.65e+02   6.88e+01   1.00e+00  
24     1.37e+02   7.98e+01   1.00e+00  
25     1.34e+02   2.61e+02   1.00e+00  
26     9.79e+01   8.38e+01   1.00e+00  
27     8.67e+01   5.45e+01   1.00e+00  
28     7.38e+01   6.26e+01   1.00e+00  
29     5.85e+01   5.89e+01   5.00e-01  
30     5.25e+01   8.54e+01   1.00e+00  
31     4.47e+01   4.06e+01   1.00e+00  
32     3.97e+01   4.06e+01   1.00e+00  
33     3.33e+01   4.23e+01   1.00e+00  
34     3.03e+01   7.72e+01   1.00e+00  
35     2.56e+01   3.16e+01   1.00e+00  
36     2.29e+01   2.86e+01   1.00e+00  
37     2.02e+01   3.41e+01   1.00e+00  
38     1.73e+01   8.05e+01   1.00e+00  
39     1.31e+01   3.11e+01   1.00e+00  
40     1.14e+01   2.14e+01   1.00e+00  
41     9.74e+00   2.29e+01   1.00e+00  
42     7.99e+00   3.35e+01   1.00e+00  
43     6.47e+00   2.45e+01   1.00e+00  
44     5.54e+00   1.68e+01   1.00e+00  
45     4.23e+00   1.74e+01   1.00e+00  
46     3.48e+00   3.14e+01   1.00e+00  
47     2.55e+00   1.74e+01   1.00e+00  
48     1.68e+00   1.34e+01   1.00e+00  
49     1.13e+00   1.52e+01   1.00e+00  
50     4.51e-01   2.76e+01   1.00e+00  
51     -2.64e-01  1.27e+01   1.00e+00  
52     -6.46e-01  1.20e+01   1.00e+00  
53     -1.15e+00  1.24e+01   5.00e-01  
54     -1.44e+00  1.95e+01   1.00e+00  
55     -1.81e+00  1.08e+01   1.00e+00  
56     -2.11e+00  7.84e+00   1.00e+00  
57     -2.36e+00  9.62e+00   1.00e+00  
58     -2.56e+00  1.33e+01   1.00e+00  
59     -2.75e+00  7.07e+00   1.00e+00  
60     -2.93e+00  6.87e+00   1.00e+00  
61     -3.06e+00  7.09e+00   1.00e+00  
62     -3.07e+00  1.88e+01   1.00e+00  
63     -3.28e+00  4.78e+00   1.00e+00  
64     -3.31e+00  3.70e+00   1.00e+00  
65     -3.38e+00  4.40e+00   1.00e+00  
66     -3.45e+00  7.40e+00   1.00e+00  
67     -3.52e+00  4.64e+00   1.00e+00  
68     -3.56e+00  3.13e+00   1.00e+00  
69     -3.59e+00  3.67e+00   1.00e+00  
70     -3.61e+00  4.23e+00   1.00e+00  
71     -3.63e+00  2.77e+00   1.00e+00  
72     -3.67e+00  2.45e+00   1.00e+00  
73     -3.69e+00  3.42e+00   1.00e+00  
74     -3.71e+00  2.26e+00   1.00e+00  
75     -3.73e+00  2.39e+00   1.00e+00  
76     -3.74e+00  2.20e+00   1.00e+00  
77     -3.75e+00  1.52e+00   1.00e+00  
78     -3.76e+00  1.50e+00   1.00e+00  
79     -3.76e+00  3.05e+00   1.00e+00  
80     -3.77e+00  1.30e+00   1.00e+00  
81     -3.78e+00  9.99e-01   1.00e+00  
82     -3.78e+00  1.03e+00   1.00e+00  
83     -3.78e+00  2.09e+00   1.00e+00  
84     -3.78e+00  8.41e-01   1.00e+00  
85     -3.79e+00  7.67e-01   1.00e+00  
86     -3.79e+00  9.04e-01   1.00e+00  
87     -3.79e+00  1.70e+00   1.00e+00  
88     -3.79e+00  1.16e+00   1.00e+00  
89     -3.80e+00  6.57e-01   1.00e+00  
90     -3.80e+00  7.03e-01   1.00e+00  
91     -3.80e+00  8.54e-01   1.00e+00  
92     -3.80e+00  8.70e-01   1.00e+00  
93     -3.80e+00  5.91e-01   1.00e+00  
94     -3.80e+00  6.58e-01   1.00e+00  
95     -3.80e+00  9.29e-01   1.00e+00  
96     -3.80e+00  5.15e-01   1.00e+00  
97     -3.81e+00  4.70e-01   1.00e+00  
98     -3.81e+00  5.05e-01   5.00e-01  
99     -3.81e+00  8.12e-01   1.00e+00  
100    -3.81e+00  3.22e-01   1.00e+00  
101    -3.81e+00  2.75e-01   1.00e+00  
102    -3.81e+00  3.69e-01   1.00e+00  
103    -3.81e+00  7.22e-01   1.00e+00  
104    -3.81e+00  3.08e-01   1.00e+00  
105    -3.81e+00  2.34e-01   1.00e+00  
106    -3.81e+00  2.75e-01   1.00e+00  
107    -3.81e+00  4.24e-01   1.00e+00  
108    -3.81e+00  4.59e-01   1.00e+00  
109    -3.81e+00  2.12e-01   1.00e+00  
110    -3.81e+00  2.22e-01   1.00e+00  
111    -3.81e+00  3.06e-01   1.00e+00  
112    -3.81e+00  5.34e-01   1.00e+00  
113    -3.81e+00  4.43e-01   1.00e+00  
114    -3.81e+00  2.46e-01   1.00e+00  
115    -3.81e+00  2.30e-01   1.00e+00  
116    -3.81e+00  2.74e-01   1.00e+00  
117    -3.81e+00  1.95e-01   1.00e+00  
118    -3.81e+00  2.19e-01   5.00e-01  
119    -3.81e+00  2.86e-01   1.00e+00  
120    -3.81e+00  1.74e-01   1.00e+00  
121    -3.81e+00  1.47e-01   1.00e+00  
122    -3.81e+00  1.92e-01   1.00e+00  
123    -3.81e+00  2.71e-01   1.00e+00  
124    -3.81e+00  1.31e-01   1.00e+00  
125    -3.81e+00  1.15e-01   1.00e+00  
126    -3.81e+00  1.18e-01   1.00e+00  
127    -3.81e+00  2.77e-01   1.00e+00  
128    -3.81e+00  8.87e-02   1.00e+00  
129    -3.81e+00  7.55e-02   1.00e+00  
130    -3.81e+00  8.90e-02   1.00e+00  
131    -3.81e+00  1.56e-01   1.00e+00  
132    -3.81e+00  9.65e-02   1.00e+00  
133    -3.81e+00  6.84e-02   1.00e+00  
134    -3.81e+00  7.40e-02   1.00e+00  
