Iter   f          |gradf|    alpha     
-------------------------------------
1      1.92e+05   2.38e+07   1.00e+00  
2      1.33e+05   8.78e+05   1.00e+00  
3      9.76e+04   6.92e+05   1.00e+00  
4      2.32e+04   2.30e+05   7.63e-06  
5      2.27e+04   2.34e+05   7.63e-06  
6      2.26e+04   2.33e+05   7.63e-06  
7      2.26e+04   2.34e+05   7.63e-06  
8      2.26e+04   2.33e+05   7.63e-06  
9      2.26e+04   2.34e+05   7.63e-06  
10     2.26e+04   2.33e+05   7.63e-06  
11     2.26e+04   2.33e+05   7.63e-06  
12     2.26e+04   2.33e+05   7.63e-06  
13     2.26e+04   2.33e+05   7.63e-06  
14     2.26e+04   2.33e+05   7.63e-06  
15     2.26e+04   2.33e+05   7.63e-06  
16     2.26e+04   2.33e+05   1.53e-05  
17     2.26e+04   2.33e+05   7.63e-06  
18     2.26e+04   2.33e+05   7.63e-06  
19     2.26e+04   2.33e+05   7.63e-06  
20     2.26e+04   2.33e+05   7.63e-06  
21     2.26e+04   2.33e+05   1.53e-05  
22     2.26e+04   2.33e+05   7.63e-06  
23     2.26e+04   2.33e+05   7.63e-06  
24     2.26e+04   2.33e+05   7.63e-06  
25     2.26e+04   2.33e+05   1.53e-05  
26     2.26e+04   2.33e+05   7.63e-06  
27     2.26e+04   2.33e+05   7.63e-06  
28     2.26e+04   2.33e+05   7.63e-06  
29     2.26e+04   2.33e+05   1.53e-05  
30     2.26e+04   2.33e+05   7.63e-06  
31     2.26e+04   2.33e+05   7.63e-06  
32     2.26e+04   2.33e+05   7.63e-06  
33     2.26e+04   2.33e+05   1.53e-05  
34     2.26e+04   2.33e+05   7.63e-06  
35     2.26e+04   2.33e+05   7.63e-06  
36     2.26e+04   2.33e+05   7.63e-06  
37     2.26e+04   2.33e+05   1.53e-05  
38     2.26e+04   2.33e+05   7.63e-06  
39     2.26e+04   2.33e+05   7.63e-06  
40     2.26e+04   2.33e+05   7.63e-06  
41     2.26e+04   2.33e+05   1.53e-05  
42     2.26e+04   2.33e+05   7.63e-06  
43     2.26e+04   2.33e+05   7.63e-06  
44     2.26e+04   2.33e+05   7.63e-06  
45     2.26e+04   2.33e+05   7.63e-06  
46     2.26e+04   2.33e+05   1.53e-05  
47     2.26e+04   2.33e+05   7.63e-06  
48     2.26e+04   2.33e+05   7.63e-06  
49     2.26e+04   2.33e+05   7.63e-06  
50     2.26e+04   2.33e+05   1.53e-05  
51     2.26e+04   2.33e+05   7.63e-06  
52     2.26e+04   2.33e+05   7.63e-06  
53     2.26e+04   2.33e+05   7.63e-06  
54     2.26e+04   2.33e+05   1.53e-05  
55     2.26e+04   2.33e+05   7.63e-06  
56     2.26e+04   2.33e+05   7.63e-06  
57     2.26e+04   2.33e+05   7.63e-06  
58     2.26e+04   2.33e+05   1.53e-05  
59     2.26e+04   2.33e+05   7.63e-06  
60     2.26e+04   2.33e+05   7.63e-06  
61     2.26e+04   2.33e+05   7.63e-06  
62     2.26e+04   2.33e+05   1.53e-05  
63     2.26e+04   2.33e+05   7.63e-06  
64     2.26e+04   2.33e+05   7.63e-06  
65     2.26e+04   2.33e+05   7.63e-06  
66     2.26e+04   2.33e+05   1.53e-05  
67     2.26e+04   2.33e+05   7.63e-06  
68     2.26e+04   2.33e+05   7.63e-06  
69     2.26e+04   2.33e+05   7.63e-06  
70     2.26e+04   2.33e+05   7.63e-06  
71     2.26e+04   2.33e+05   1.53e-05  
72     2.26e+04   2.33e+05   7.63e-06  
73     2.26e+04   2.33e+05   7.63e-06  
74     2.26e+04   2.33e+05   7.63e-06  
75     2.26e+04   2.33e+05   1.53e-05  
76     2.26e+04   2.33e+05   7.63e-06  
77     2.26e+04   2.33e+05   7.63e-06  
78     2.26e+04   2.33e+05   7.63e-06  
79     2.26e+04   2.33e+05   1.53e-05  
80     2.26e+04   2.33e+05   7.63e-06  
81     2.26e+04   2.33e+05   7.63e-06  
82     2.26e+04   2.33e+05   7.63e-06  
83     2.26e+04   2.33e+05   1.53e-05  
84     2.26e+04   2.33e+05   7.63e-06  
85     2.26e+04   2.33e+05   7.63e-06  
86     2.26e+04   2.33e+05   7.63e-06  
87     2.26e+04   2.33e+05   1.53e-05  
88     2.26e+04   2.33e+05   7.63e-06  
89     2.26e+04   2.33e+05   7.63e-06  
90     2.26e+04   2.33e+05   7.63e-06  
91     2.26e+04   2.33e+05   1.53e-05  
92     2.26e+04   2.33e+05   7.63e-06  
93     2.26e+04   2.33e+05   7.63e-06  
94     2.26e+04   2.33e+05   7.63e-06  
95     2.26e+04   2.33e+05   7.63e-06  
96     2.26e+04   2.33e+05   1.53e-05  
97     2.26e+04   2.33e+05   7.63e-06  
98     2.26e+04   2.33e+05   7.63e-06  
99     2.26e+04   2.33e+05   7.63e-06  
100    2.26e+04   2.33e+05   1.53e-05  
101    2.26e+04   2.33e+05   7.63e-06  
102    2.26e+04   2.33e+05   7.63e-06  
103    2.26e+04   2.33e+05   7.63e-06  
104    2.26e+04   2.33e+05   1.53e-05  
105    2.26e+04   2.33e+05   7.63e-06  
106    2.26e+04   2.33e+05   7.63e-06  
107    2.26e+04   2.33e+05   7.63e-06  
108    2.26e+04   2.33e+05   1.53e-05  
109    2.26e+04   2.33e+05   7.63e-06  
110    2.26e+04   2.33e+05   7.63e-06  
111    2.26e+04   2.33e+05   7.63e-06  
112    2.26e+04   2.33e+05   1.53e-05  
113    2.26e+04   2.33e+05   7.63e-06  
114    2.26e+04   2.33e+05   7.63e-06  
115    2.26e+04   2.33e+05   7.63e-06  
116    2.26e+04   2.33e+05   1.53e-05  
117    2.26e+04   2.33e+05   7.63e-06  
118    2.26e+04   2.33e+05   7.63e-06  
119    2.26e+04   2.33e+05   7.63e-06  
120    2.26e+04   2.33e+05   1.53e-05  
121    2.26e+04   2.33e+05   7.63e-06  
122    2.26e+04   2.33e+05   7.63e-06  
123    2.26e+04   2.33e+05   7.63e-06  
124    2.26e+04   2.33e+05   7.63e-06  
125    2.26e+04   2.33e+05   1.53e-05  
126    2.26e+04   2.33e+05   7.63e-06  
127    2.26e+04   2.33e+05   7.63e-06  
128    2.26e+04   2.33e+05   7.63e-06  
129    2.26e+04   2.33e+05   1.53e-05  
130    2.26e+04   2.33e+05   7.63e-06  
131    2.26e+04   2.33e+05   7.63e-06  
132    2.26e+04   2.33e+05   7.63e-06  
133    2.26e+04   2.33e+05   1.53e-05  
134    2.26e+04   2.33e+05   7.63e-06  
135    2.26e+04   2.33e+05   7.63e-06  
136    2.26e+04   2.33e+05   7.63e-06  
137    2.26e+04   2.33e+05   1.53e-05  
138    2.26e+04   2.33e+05   7.63e-06  
139    2.26e+04   2.33e+05   7.63e-06  
140    2.26e+04   2.33e+05   7.63e-06  
141    2.26e+04   2.33e+05   1.53e-05  
142    2.26e+04   2.33e+05   7.63e-06  
143    2.26e+04   2.33e+05   7.63e-06  
144    2.26e+04   2.33e+05   7.63e-06  
145    2.26e+04   2.33e+05   1.53e-05  
146    2.26e+04   2.33e+05   7.63e-06  
147    2.26e+04   2.33e+05   7.63e-06  
148    2.26e+04   2.33e+05   7.63e-06  
149    2.26e+04   2.33e+05   7.63e-06  
150    2.26e+04   2.33e+05   1.53e-05  
151    2.26e+04   2.33e+05   7.63e-06  
152    2.26e+04   2.33e+05   7.63e-06  
153    2.26e+04   2.33e+05   7.63e-06  
154    2.26e+04   2.33e+05   1.53e-05  
155    2.26e+04   2.33e+05   7.63e-06  
