Iter   f          |gradf|    alpha     
-------------------------------------
1      1.92e+05   2.38e+07   1.00e+00  
2      1.59e+05   9.55e+05   1.00e+00  
3      1.17e+05   7.56e+05   1.00e+00  
4      3.05e+04   2.60e+05   1.00e+00  
5      1.29e+04   1.29e+05   1.00e+00  
6      5.14e+03   5.94e+04   1.00e+00  
7      2.51e+03   3.19e+04   1.00e+00  
8      1.50e+03   2.07e+04   1.00e+00  
9      1.17e+03   1.74e+04   1.00e+00  
10     1.09e+03   1.72e+04   1.00e+00  
11     1.06e+03   1.73e+04   1.00e+00  
12     1.04e+03   1.75e+04   1.00e+00  
13     1.02e+03   1.77e+04   1.00e+00  
14     9.96e+02   1.78e+04   1.00e+00  
15     9.75e+02   1.80e+04   1.00e+00  
16     9.53e+02   1.82e+04   1.00e+00  
17     9.32e+02   1.83e+04   1.00e+00  
18     9.10e+02   1.85e+04   1.00e+00  
19     8.90e+02   1.85e+04   1.00e+00  
20     8.68e+02   1.86e+04   1.00e+00  
21     8.48e+02   1.87e+04   1.00e+00  
22     8.27e+02   1.87e+04   1.00e+00  
23     8.08e+02   1.86e+04   1.00e+00  
24     7.87e+02   1.85e+04   1.00e+00  
25     7.68e+02   1.84e+04   1.00e+00  
26     7.48e+02   1.82e+04   1.00e+00  
27     7.29e+02   1.80e+04   1.00e+00  
28     7.09e+02   1.77e+04   1.00e+00  
29     6.90e+02   1.74e+04   1.00e+00  
30     6.71e+02   1.70e+04   1.00e+00  
31     6.53e+02   1.67e+04   1.00e+00  
32     6.34e+02   1.62e+04   1.00e+00  
33     6.16e+02   1.58e+04   1.00e+00  
34     5.98e+02   1.53e+04   1.00e+00  
35     5.80e+02   1.48e+04   1.00e+00  
36     5.62e+02   1.42e+04   1.00e+00  
37     5.45e+02   1.37e+04   1.00e+00  
38     5.28e+02   1.31e+04   1.00e+00  
39     5.11e+02   1.26e+04   1.00e+00  
40     4.94e+02   1.20e+04   1.00e+00  
41     4.78e+02   1.14e+04   1.00e+00  
42     4.61e+02   1.09e+04   1.00e+00  
43     4.45e+02   1.04e+04   1.00e+00  
44     4.29e+02   9.92e+03   1.00e+00  
45     4.14e+02   9.49e+03   1.00e+00  
46     3.98e+02   9.09e+03   1.00e+00  
47     3.83e+02   8.74e+03   1.00e+00  
48     3.68e+02   8.44e+03   1.00e+00  
49     3.54e+02   8.18e+03   1.00e+00  
50     3.39e+02   7.98e+03   1.00e+00  
51     3.25e+02   7.81e+03   1.00e+00  
52     3.11e+02   7.68e+03   1.00e+00  
53     2.97e+02   7.58e+03   1.00e+00  
54     2.84e+02   7.50e+03   1.00e+00  
55     2.71e+02   7.43e+03   1.00e+00  
56     2.58e+02   7.36e+03   1.00e+00  
57     2.45e+02   7.28e+03   1.00e+00  
58     2.32e+02   7.19e+03   1.00e+00  
59     2.20e+02   7.08e+03   1.00e+00  
60     2.08e+02   6.94e+03   1.00e+00  
61     1.97e+02   6.77e+03   1.00e+00  
62     1.86e+02   6.57e+03   1.00e+00  
63     1.75e+02   6.33e+03   1.00e+00  
64     1.64e+02   6.07e+03   1.00e+00  
65     1.54e+02   5.77e+03   1.00e+00  
66     1.43e+02   5.44e+03   1.00e+00  
67     1.34e+02   5.09e+03   1.00e+00  
68     1.24e+02   4.71e+03   1.00e+00  
69     1.15e+02   4.33e+03   1.00e+00  
70     1.06e+02   3.93e+03   1.00e+00  
71     9.77e+01   3.53e+03   1.00e+00  
72     8.95e+01   3.14e+03   1.00e+00  
73     8.17e+01   2.77e+03   1.00e+00  
74     7.43e+01   2.42e+03   1.00e+00  
75     6.72e+01   2.11e+03   1.00e+00  
76     6.05e+01   1.85e+03   1.00e+00  
77     5.41e+01   1.63e+03   1.00e+00  
78     4.82e+01   1.47e+03   1.00e+00  
79     4.26e+01   1.35e+03   1.00e+00  
80     3.74e+01   1.27e+03   1.00e+00  
81     3.26e+01   1.20e+03   1.00e+00  
82     2.82e+01   1.15e+03   1.00e+00  
83     2.43e+01   1.08e+03   1.00e+00  
84     2.07e+01   1.01e+03   1.00e+00  
85     1.75e+01   9.26e+02   1.00e+00  
86     1.48e+01   8.32e+02   1.00e+00  
87     1.24e+01   7.33e+02   1.00e+00  
88     1.04e+01   6.37e+02   1.00e+00  
89     8.72e+00   5.48e+02   1.00e+00  
90     7.36e+00   4.72e+02   1.00e+00  
91     6.28e+00   4.12e+02   1.00e+00  
92     5.45e+00   3.67e+02   1.00e+00  
93     4.81e+00   3.35e+02   1.00e+00  
94     4.35e+00   3.11e+02   1.00e+00  
95     4.02e+00   2.91e+02   1.00e+00  
96     3.79e+00   2.74e+02   1.00e+00  
97     3.63e+00   2.58e+02   1.00e+00  
98     3.53e+00   2.46e+02   1.00e+00  
99     3.47e+00   2.39e+02   1.00e+00  
100    3.44e+00   2.35e+02   1.00e+00  
101    3.42e+00   2.34e+02   1.00e+00  
102    3.41e+00   2.34e+02   1.00e+00  
103    3.40e+00   2.35e+02   1.00e+00  
104    3.40e+00   2.36e+02   1.00e+00  
105    3.39e+00   2.37e+02   1.00e+00  
106    3.39e+00   2.37e+02   1.00e+00  
107    3.38e+00   2.38e+02   1.00e+00  
108    3.38e+00   2.39e+02   1.00e+00  
109    3.37e+00   2.40e+02   1.00e+00  
110    3.37e+00   2.40e+02   1.00e+00  
111    3.36e+00   2.41e+02   1.00e+00  
112    3.36e+00   2.42e+02   1.00e+00  
113    3.36e+00   2.43e+02   1.00e+00  
114    3.35e+00   2.43e+02   1.00e+00  
115    3.35e+00   2.44e+02   1.00e+00  
116    3.34e+00   2.45e+02   1.00e+00  
117    3.34e+00   2.45e+02   1.00e+00  
118    3.34e+00   2.46e+02   1.00e+00  
119    3.33e+00   2.47e+02   1.00e+00  
120    3.33e+00   2.47e+02   1.00e+00  
121    3.32e+00   2.48e+02   1.00e+00  
122    3.32e+00   2.49e+02   1.00e+00  
123    3.31e+00   2.49e+02   1.00e+00  
124    3.31e+00   2.50e+02   1.00e+00  
125    3.31e+00   2.50e+02   1.00e+00  
126    3.30e+00   2.51e+02   1.00e+00  
127    3.30e+00   2.52e+02   1.00e+00  
128    3.29e+00   2.52e+02   1.00e+00  
129    3.29e+00   2.53e+02   1.00e+00  
130    3.28e+00   2.53e+02   1.00e+00  
131    3.28e+00   2.54e+02   1.00e+00  
132    3.28e+00   2.54e+02   1.00e+00  
133    3.27e+00   2.55e+02   1.00e+00  
134    3.27e+00   2.55e+02   1.00e+00  
135    3.26e+00   2.55e+02   1.00e+00  
136    3.26e+00   2.56e+02   1.00e+00  
137    3.25e+00   2.56e+02   1.00e+00  
138    3.25e+00   2.56e+02   1.00e+00  
139    3.25e+00   2.57e+02   1.00e+00  
140    3.24e+00   2.57e+02   1.00e+00  
141    3.24e+00   2.57e+02   1.00e+00  
142    3.23e+00   2.58e+02   1.00e+00  
143    3.23e+00   2.58e+02   1.00e+00  
144    3.23e+00   2.58e+02   1.00e+00  
145    3.22e+00   2.58e+02   1.00e+00  
146    3.22e+00   2.59e+02   1.00e+00  
147    3.21e+00   2.59e+02   1.00e+00  
148    3.21e+00   2.59e+02   1.00e+00  
149    3.20e+00   2.59e+02   1.00e+00  
150    3.20e+00   2.59e+02   1.00e+00  
151    3.20e+00   2.59e+02   1.00e+00  
152    3.19e+00   2.59e+02   1.00e+00  
153    3.19e+00   2.59e+02   1.00e+00  
154    3.18e+00   2.59e+02   1.00e+00  
155    3.18e+00   2.59e+02   1.00e+00  
