Iter   f          |gradf|    alpha     
-------------------------------------
1      1.92e+05   1.16e+06   1.91e-06  
2      7.94e+04   6.33e+05   1.67e-07  
3      5.08e+04   4.53e+05   1.43e-07  
4      3.77e+04   3.62e+05   1.28e-07  
5      3.01e+04   3.05e+05   1.18e-07  
6      2.50e+04   2.65e+05   1.10e-07  
7      2.13e+04   2.35e+05   1.04e-07  
8      1.86e+04   2.12e+05   9.85e-08  
9      1.65e+04   1.94e+05   9.41e-08  
10     1.48e+04   1.78e+05   9.04e-08  
11     1.34e+04   1.66e+05   8.71e-08  
12     1.22e+04   1.55e+05   8.42e-08  
13     1.13e+04   1.45e+05   8.17e-08  
14     1.04e+04   1.37e+05   7.93e-08  
15     9.71e+03   1.30e+05   7.72e-08  
16     9.07e+03   1.23e+05   7.53e-08  
17     8.51e+03   1.18e+05   7.35e-08  
18     8.01e+03   1.12e+05   7.19e-08  
19     7.57e+03   1.08e+05   7.04e-08  
20     7.17e+03   1.03e+05   6.89e-08  
21     6.81e+03   9.94e+04   6.76e-08  
22     6.48e+03   9.57e+04   6.64e-08  
23     6.18e+03   9.24e+04   6.52e-08  
24     5.91e+03   8.93e+04   6.41e-08  
25     5.66e+03   8.64e+04   6.31e-08  
26     5.43e+03   8.37e+04   6.21e-08  
27     5.21e+03   8.12e+04   6.11e-08  
28     5.02e+03   7.88e+04   6.03e-08  
29     4.83e+03   7.66e+04   5.94e-08  
30     4.66e+03   7.46e+04   5.86e-08  
31     4.50e+03   7.26e+04   5.78e-08  
32     4.35e+03   7.08e+04   5.71e-08  
33     4.21e+03   6.90e+04   5.64e-08  
34     4.07e+03   6.74e+04   5.57e-08  
35     3.95e+03   6.58e+04   5.51e-08  
36     3.83e+03   6.43e+04   5.44e-08  
37     3.72e+03   6.29e+04   5.38e-08  
38     3.61e+03   6.15e+04   5.33e-08  
39     3.51e+03   6.02e+04   5.27e-08  
40     3.42e+03   5.90e+04   5.22e-08  
41     3.33e+03   5.78e+04   5.16e-08  
42     3.24e+03   5.67e+04   5.11e-08  
43     3.16e+03   5.56e+04   5.06e-08  
44     3.09e+03   5.46e+04   5.02e-08  
45     3.01e+03   5.36e+04   4.97e-08  
46     2.94e+03   5.26e+04   4.93e-08  
47     2.87e+03   5.17e+04   4.88e-08  
48     2.81e+03   5.08e+04   4.84e-08  
49     2.75e+03   5.00e+04   4.80e-08  
50     2.69e+03   4.91e+04   4.76e-08  
51     2.63e+03   4.84e+04   4.72e-08  
52     2.57e+03   4.76e+04   4.69e-08  
53     2.52e+03   4.69e+04   4.65e-08  
54     2.47e+03   4.61e+04   4.61e-08  
55     2.42e+03   4.54e+04   4.58e-08  
56     2.38e+03   4.48e+04   4.55e-08  
57     2.33e+03   4.41e+04   4.51e-08  
58     2.29e+03   4.35e+04   4.48e-08  
59     2.24e+03   4.29e+04   4.45e-08  
60     2.20e+03   4.23e+04   4.42e-08  
61     2.17e+03   4.17e+04   4.39e-08  
62     2.13e+03   4.12e+04   4.36e-08  
63     2.09e+03   4.06e+04   4.33e-08  
64     2.05e+03   4.01e+04   4.30e-08  
65     2.02e+03   3.96e+04   4.28e-08  
66     1.99e+03   3.91e+04   4.25e-08  
67     1.95e+03   3.86e+04   4.22e-08  
68     1.92e+03   3.81e+04   4.20e-08  
69     1.89e+03   3.77e+04   4.17e-08  
70     1.86e+03   3.72e+04   4.15e-08  
71     1.84e+03   3.68e+04   4.12e-08  
