Iter   f          |gradf|    alpha     
-------------------------------------
1      2.42e+01   6.48e+02   1.00e+00  
2      5.77e+00   6.07e+01   5.00e-01  
3      4.98e+00   6.57e+00   2.50e-01  
4      4.77e+00   3.48e+01   1.00e+00  
5      4.54e+00   3.70e+01   2.50e-01  
6      4.34e+00   2.60e+00   1.25e-01  
7      4.27e+00   2.60e+01   1.00e+00  
8      4.22e+00   8.93e+00   1.25e-01  
9      4.15e+00   2.97e+01   1.25e-01  
10     3.97e+00   8.83e+00   6.25e-02  
11     3.97e+00   1.75e+01   3.12e-02  
12     3.97e+00   1.81e+01   5.00e-01  
13     3.96e+00   2.35e+01   2.50e-01  
14     3.94e+00   2.31e+00   6.25e-02  
15     3.84e+00   1.51e+01   1.42e-14  
16     3.84e+00   1.51e+01   2.84e-14  
17     3.84e+00   1.51e+01   8.88e-16  
18     3.84e+00   1.51e+01   7.11e-15  
19     3.84e+00   1.51e+01   8.88e-16  
20     3.84e+00   1.51e+01   7.11e-15  
21     3.84e+00   1.51e+01   2.84e-14  
22     3.84e+00   1.51e+01   1.11e-16  
23     3.84e+00   1.51e+01   1.11e-16  
24     3.84e+00   1.51e+01   1.11e-16  
25     3.84e+00   1.51e+01   1.11e-16  
26     3.84e+00   1.51e+01   1.11e-16  
27     3.84e+00   1.51e+01   1.11e-16  
28     3.84e+00   1.51e+01   1.11e-16  
29     3.84e+00   1.51e+01   1.11e-16  
30     3.84e+00   1.51e+01   1.11e-16  
31     3.84e+00   1.51e+01   1.11e-16  
32     3.84e+00   1.51e+01   1.11e-16  
33     3.84e+00   1.51e+01   1.11e-16  
34     3.84e+00   1.51e+01   1.11e-16  
35     3.84e+00   1.51e+01   1.11e-16  
36     3.84e+00   1.51e+01   1.11e-16  
37     3.84e+00   1.51e+01   1.11e-16  
38     3.84e+00   1.51e+01   1.11e-16  
39     3.84e+00   1.51e+01   1.11e-16  
40     3.84e+00   1.51e+01   1.11e-16  
41     3.84e+00   1.51e+01   1.11e-16  
42     3.84e+00   1.51e+01   1.11e-16  
43     3.84e+00   1.51e+01   1.11e-16  
44     3.84e+00   1.51e+01   1.11e-16  
45     3.84e+00   1.51e+01   1.11e-16  
46     3.84e+00   1.51e+01   1.11e-16  
47     3.84e+00   1.51e+01   1.11e-16  
48     3.84e+00   1.51e+01   1.11e-16  
49     3.84e+00   1.51e+01   1.11e-16  
50     3.84e+00   1.51e+01   1.11e-16  
51     3.84e+00   1.51e+01   1.11e-16  
52     3.84e+00   1.51e+01   1.11e-16  
53     3.84e+00   1.51e+01   1.11e-16  
54     3.84e+00   1.51e+01   1.11e-16  
55     3.84e+00   1.51e+01   1.11e-16  
56     3.84e+00   1.51e+01   1.11e-16  
57     3.84e+00   1.51e+01   1.11e-16  
58     3.84e+00   1.51e+01   1.11e-16  
59     3.84e+00   1.51e+01   1.11e-16  
60     3.84e+00   1.51e+01   1.11e-16  
61     3.84e+00   1.51e+01   1.11e-16  
62     3.84e+00   1.51e+01   1.11e-16  
63     3.84e+00   1.51e+01   1.11e-16  
64     3.84e+00   1.51e+01   1.11e-16  
65     3.84e+00   1.51e+01   1.11e-16  
66     3.84e+00   1.51e+01   1.11e-16  
67     3.84e+00   1.51e+01   1.11e-16  
68     3.84e+00   1.51e+01   1.11e-16  
69     3.84e+00   1.51e+01   1.11e-16  
70     3.84e+00   1.51e+01   1.11e-16  
71     3.84e+00   1.51e+01   1.11e-16  
72     3.84e+00   1.51e+01   1.11e-16  
73     3.84e+00   1.51e+01   1.11e-16  
74     3.84e+00   1.51e+01   1.11e-16  
75     3.84e+00   1.51e+01   1.11e-16  
