Iter   f          |gradf|    alpha     
-------------------------------------
1      2.42e+01   6.48e+02   1.00e+00  
2      5.77e+00   6.07e+01   5.00e-01  
3      4.98e+00   6.57e+00   2.50e-01  
4      4.77e+00   3.48e+01   1.00e+00  
5      4.54e+00   3.70e+01   2.50e-01  
6      4.34e+00   2.60e+00   1.25e-01  
7      4.27e+00   2.60e+01   1.00e+00  
8      4.22e+00   8.93e+00   1.25e-01  
9      4.15e+00   2.97e+01   1.25e-01  
10     3.97e+00   8.83e+00   6.25e-02  
11     3.97e+00   1.75e+01   3.12e-02  
12     3.97e+00   1.81e+01   5.00e-01  
13     3.96e+00   2.35e+01   2.50e-01  
14     3.94e+00   2.31e+00   6.25e-02  
15     3.84e+00   1.51e+01   1.00e+00  
16     4.83e+00   5.02e+01   6.25e-02  
17     3.82e+00   3.39e+00   6.25e-02  
18     3.73e+00   1.59e+01   1.00e+00  
19     3.62e+00   7.29e+00   3.12e-02  
20     3.61e+00   1.16e+01   1.00e+00  
21     6.16e+00   6.64e+01   6.25e-02  
22     4.94e+00   4.10e+01   6.25e-02  
23     3.53e+00   9.67e+00   1.56e-02  
24     3.53e+00   1.09e+01   1.00e+00  
25     6.10e+00   6.53e+01   6.25e-02  
26     5.26e+00   4.78e+01   6.25e-02  
27     3.46e+00   1.09e+01   1.00e+00  
28     4.97e+00   5.27e+01   6.25e-02  
29     4.46e+00   3.34e+01   6.25e-02  
30     3.49e+00   2.07e+01   6.25e-02  
31     3.39e+00   5.67e+00   3.12e-02  
32     3.38e+00   1.06e+01   1.00e+00  
33     4.45e+00   4.56e+01   6.25e-02  
34     4.17e+00   2.85e+01   6.25e-02  
35     3.52e+00   2.51e+01   6.25e-02  
36     3.38e+00   2.33e+00   3.12e-02  
37     3.31e+00   9.01e+00   3.91e-03  
38     3.31e+00   9.26e+00   4.88e-04  
39     3.31e+00   9.29e+00   2.44e-04  
40     3.31e+00   9.30e+00   3.81e-06  
41     3.31e+00   9.30e+00   2.38e-07  
42     3.31e+00   9.30e+00   2.98e-08  
43     3.31e+00   9.30e+00   1.00e+00  
44     6.19e+00   6.47e+01   3.12e-02  
45     3.34e+00   3.55e+00   3.12e-02  
46     3.25e+00   8.89e+00   9.77e-04  
47     3.25e+00   8.95e+00   4.88e-04  
48     3.25e+00   8.97e+00   1.53e-05  
49     3.25e+00   8.97e+00   7.63e-06  
50     3.25e+00   8.97e+00   1.00e+00  
51     6.04e+00   6.30e+01   3.12e-02  
52     3.33e+00   5.89e+00   3.12e-02  
53     3.20e+00   8.71e+00   1.00e+00  
54     5.82e+00   6.07e+01   3.12e-02  
55     3.31e+00   7.66e+00   3.12e-02  
56     3.15e+00   8.81e+00   1.00e+00  
57     4.64e+00   4.83e+01   3.12e-02  
58     3.17e+00   3.11e+00   3.12e-02  
59     3.10e+00   9.70e+00   4.00e+00  
60     2.93e+00   7.63e+00   1.00e+00  
61     4.38e+00   4.48e+01   3.12e-02  
62     3.16e+00   1.18e+01   3.12e-02  
63     2.91e+00   1.16e+01   6.25e-02  
64     2.90e+00   3.37e+00   3.12e-02  
65     2.89e+00   9.67e+00   6.25e-02  
66     2.88e+00   6.20e+00   1.56e-02  
67     2.88e+00   7.55e+00   1.00e+00  
68     3.95e+00   3.92e+01   3.12e-02  
69     3.06e+00   9.58e+00   3.12e-02  
70     2.87e+00   1.19e+01   6.25e-02  
71     2.87e+00   2.27e+00   3.12e-02  
72     2.85e+00   1.00e+01   6.25e-02  
73     2.84e+00   4.89e+00   1.56e-02  
74     2.84e+00   6.98e+00   9.77e-04  
75     2.84e+00   7.02e+00   1.22e-04  
