Iter   f          |gradf|    alpha     
-------------------------------------
1      2.42e+01   2.33e+02   9.77e-04  
2      5.10e+00   4.39e+01   7.04e-04  
3      4.21e+00   1.36e+01   9.27e-04  
4      4.12e+00   1.88e+00   9.88e-04  
5      4.11e+00   1.77e+00   1.87e-03  
6      4.11e+00   1.78e+00   3.73e-03  
7      4.10e+00   1.78e+00   7.47e-03  
8      4.07e+00   1.81e+00   1.49e-02  
9      4.04e+00   5.10e+00   1.38e-03  
10     4.02e+00   2.58e+00   1.07e-03  
11     4.02e+00   1.79e+00   1.55e-03  
12     4.01e+00   1.79e+00   3.08e-03  
13     4.00e+00   1.80e+00   6.14e-03  
14     3.98e+00   1.97e+00   6.00e-03  
15     3.97e+00   4.38e+00   1.49e-03  
16     3.96e+00   2.59e+00   1.16e-03  
17     3.96e+00   1.81e+00   1.63e-03  
18     3.95e+00   1.80e+00   3.22e-03  
19     3.94e+00   1.83e+00   6.37e-03  
20     3.92e+00   2.43e+00   2.89e-03  
21     3.91e+00   3.43e+00   2.15e-03  
22     3.91e+00   3.59e+00   1.08e-03  
23     3.90e+00   1.81e+00   1.33e-03  
24     3.89e+00   1.80e+00   2.65e-03  
25     3.89e+00   1.81e+00   5.31e-03  
26     3.87e+00   1.82e+00   1.06e-02  
27     3.84e+00   2.37e+00   5.08e-03  
28     3.83e+00   5.90e+00   2.88e-04  
29     3.83e+00   4.52e+00   5.07e-04  
30     3.82e+00   2.86e+00   8.17e-04  
31     3.81e+00   1.90e+00   1.27e-03  
32     3.81e+00   1.82e+00   2.41e-03  
33     3.80e+00   1.82e+00   4.81e-03  
34     3.78e+00   1.86e+00   9.55e-03  
35     3.76e+00   3.40e+00   1.97e-03  
36     3.75e+00   2.85e+00   1.47e-03  
37     3.74e+00   1.96e+00   1.80e-03  
38     3.73e+00   1.88e+00   3.22e-03  
39     3.72e+00   1.99e+00   5.99e-03  
40     3.71e+00   3.85e+00   1.76e-03  
41     3.70e+00   2.61e+00   1.41e-03  
42     3.69e+00   1.88e+00   1.94e-03  
43     3.69e+00   1.86e+00   3.70e-03  
44     3.67e+00   1.95e+00   7.09e-03  
45     3.66e+00   3.86e+00   2.29e-03  
46     3.65e+00   3.77e+00   1.11e-03  
47     3.64e+00   1.85e+00   1.41e-03  
48     3.63e+00   1.84e+00   2.81e-03  
49     3.62e+00   1.84e+00   5.62e-03  
50     3.61e+00   1.85e+00   1.12e-02  
51     3.57e+00   2.30e+00   5.43e-03  
52     3.56e+00   5.05e+00   2.38e-03  
53     3.55e+00   4.84e+00   7.60e-04  
54     3.54e+00   2.49e+00   1.11e-03  
55     3.53e+00   1.86e+00   1.78e-03  
56     3.53e+00   1.86e+00   3.54e-03  
57     3.51e+00   1.87e+00   7.06e-03  
58     3.49e+00   1.95e+00   1.40e-02  
59     3.46e+00   6.00e+00   1.86e-03  
60     3.44e+00   3.24e+00   1.26e-03  
61     3.43e+00   1.88e+00   1.70e-03  
62     3.42e+00   1.88e+00   3.40e-03  
63     3.41e+00   1.88e+00   6.80e-03  
64     3.39e+00   1.89e+00   1.36e-02  
65     3.34e+00   2.24e+00   6.65e-03  
66     3.33e+00   5.12e+00   1.90e-03  
67     3.31e+00   2.71e+00   1.49e-03  
68     3.30e+00   1.91e+00   2.15e-03  
69     3.30e+00   1.90e+00   4.28e-03  
70     3.28e+00   1.91e+00   8.53e-03  
71     3.25e+00   2.18e+00   8.24e-03  
72     3.24e+00   5.51e+00   2.52e-03  
73     3.22e+00   4.40e+00   1.11e-03  
74     3.21e+00   2.13e+00   1.53e-03  
75     3.20e+00   1.92e+00   2.74e-03  
76     3.19e+00   1.92e+00   5.49e-03  
77     3.17e+00   1.93e+00   1.10e-02  
78     3.13e+00   2.13e+00   1.08e-02  
79     3.11e+00   5.87e+00   1.95e-03  
80     3.08e+00   2.52e+00   1.65e-03  
81     3.08e+00   1.94e+00   2.58e-03  
82     3.07e+00   1.94e+00   5.14e-03  
83     3.05e+00   1.96e+00   1.03e-02  
