Iter   f          |gradf|    alpha     
-------------------------------------
1      2.42e+01   2.33e+02   9.77e-04  
2      5.10e+00   4.39e+01   1.95e-03  
3      5.05e+00   4.55e+01   9.77e-04  
4      4.11e+00   3.28e+00   1.95e-03  
5      4.11e+00   3.35e+00   1.95e-03  
6      4.10e+00   3.41e+00   1.95e-03  
7      4.10e+00   3.47e+00   1.95e-03  
8      4.09e+00   3.51e+00   1.95e-03  
9      4.08e+00   3.54e+00   1.95e-03  
10     4.08e+00   3.55e+00   1.95e-03  
11     4.07e+00   3.56e+00   1.95e-03  
12     4.07e+00   3.55e+00   1.95e-03  
13     4.06e+00   3.52e+00   1.95e-03  
14     4.05e+00   3.49e+00   1.95e-03  
15     4.05e+00   3.44e+00   1.95e-03  
16     4.04e+00   3.39e+00   1.95e-03  
17     4.03e+00   3.32e+00   1.95e-03  
18     4.03e+00   3.24e+00   1.95e-03  
19     4.02e+00   3.16e+00   1.95e-03  
20     4.01e+00   3.07e+00   1.95e-03  
21     4.01e+00   2.97e+00   1.95e-03  
22     4.00e+00   2.87e+00   1.95e-03  
23     3.99e+00   2.77e+00   1.95e-03  
24     3.99e+00   2.68e+00   1.95e-03  
25     3.98e+00   2.58e+00   3.91e-03  
26     3.98e+00   5.55e+00   1.95e-03  
27     3.97e+00   5.14e+00   1.95e-03  
28     3.96e+00   4.75e+00   1.95e-03  
29     3.96e+00   4.38e+00   1.95e-03  
30     3.95e+00   4.04e+00   1.95e-03  
31     3.94e+00   3.71e+00   5.31e-01  
32     4.69e-01   3.02e+01   1.95e-03  
33     3.53e-01   2.51e+01   1.95e-03  
34     2.16e-01   2.03e+01   1.95e-03  
35     1.58e-01   1.68e+01   1.95e-03  
36     1.00e-01   1.37e+01   1.95e-03  
37     7.16e-02   1.13e+01   1.95e-03  
38     4.69e-02   9.22e+00   1.95e-03  
39     3.33e-02   7.60e+00   1.95e-03  
40     2.25e-02   6.22e+00   1.95e-03  
41     1.61e-02   5.12e+00   1.95e-03  
42     1.13e-02   4.20e+00   1.95e-03  
43     8.38e-03   3.45e+00   1.95e-03  
44     6.23e-03   2.83e+00   1.95e-03  
45     4.86e-03   2.33e+00   1.95e-03  
46     3.89e-03   1.91e+00   1.95e-03  
47     3.27e-03   1.57e+00   1.95e-03  
48     2.83e-03   1.29e+00   1.95e-03  
49     2.54e-03   1.06e+00   1.95e-03  
50     2.34e-03   8.74e-01   1.95e-03  
51     2.20e-03   7.20e-01   1.95e-03  
52     2.11e-03   5.92e-01   1.95e-03  
53     2.04e-03   4.88e-01   1.95e-03  
54     2.00e-03   4.02e-01   1.95e-03  
55     1.97e-03   3.31e-01   1.95e-03  
56     1.95e-03   2.74e-01   1.95e-03  
57     1.93e-03   2.26e-01   1.95e-03  
58     1.92e-03   1.88e-01   1.95e-03  
59     1.91e-03   1.56e-01   1.95e-03  
60     1.90e-03   1.31e-01   1.95e-03  
61     1.90e-03   1.10e-01   1.95e-03  
62     1.89e-03   9.33e-02   1.95e-03  
63     1.89e-03   8.02e-02   1.95e-03  
64     1.88e-03   6.98e-02   1.95e-03  
65     1.88e-03   6.18e-02   1.95e-03  
66     1.88e-03   5.58e-02   3.91e-03  
67     1.88e-03   1.10e-01   1.95e-03  
68     1.87e-03   9.36e-02   1.95e-03  
69     1.87e-03   8.04e-02   1.95e-03  
70     1.86e-03   7.00e-02   1.95e-03  
71     1.86e-03   6.20e-02   1.95e-03  
72     1.86e-03   5.58e-02   3.91e-03  
73     1.85e-03   1.11e-01   1.95e-03  
74     1.85e-03   9.43e-02   1.95e-03  
75     1.84e-03   8.09e-02   1.95e-03  
76     1.84e-03   7.04e-02   1.95e-03  
77     1.84e-03   6.23e-02   1.95e-03  
78     1.83e-03   5.60e-02   3.91e-03  
79     1.83e-03   1.12e-01   1.95e-03  
80     1.83e-03   9.53e-02   1.95e-03  
81     1.82e-03   8.18e-02   1.95e-03  
82     1.82e-03   7.11e-02   1.95e-03  
83     1.82e-03   6.28e-02   1.95e-03  
