Iter   f          |gradf|    alpha     
-------------------------------------
1      2.42e+01   6.48e+02   1.00e+00  
2      5.77e+00   6.07e+01   1.00e+00  
3      4.31e+00   1.84e+01   1.00e+00  
4      4.15e+00   2.05e+00   1.00e+00  
5      4.15e+00   1.77e+00   1.00e+00  
6      4.13e+00   3.40e+00   1.00e+00  
7      4.10e+00   6.96e+00   1.00e+00  
8      3.94e+00   1.29e+01   3.12e-02  
9      2.67e+00   7.33e+00   6.25e-02  
10     2.66e+00   1.59e+01   1.00e+00  
11     2.39e+00   9.38e+00   1.00e+00  
12     2.02e+00   1.37e+01   1.00e+00  
13     1.57e+00   2.30e+00   5.00e-01  
14     1.34e+00   7.45e+00   1.00e+00  
15     1.20e+00   6.25e+00   1.00e+00  
16     9.73e-01   4.50e+00   5.00e-01  
17     7.10e-01   3.49e+00   1.00e+00  
18     7.09e-01   8.96e+00   1.00e+00  
19     5.77e-01   3.07e+00   1.00e+00  
20     4.70e-01   1.22e+00   1.00e+00  
21     3.94e-01   9.95e+00   1.00e+00  
22     3.15e-01   1.15e+00   1.00e+00  
23     2.62e-01   9.19e-01   5.00e-01  
24     2.47e-01   9.71e+00   1.00e+00  
25     1.84e-01   9.23e-01   1.00e+00  
26     1.52e-01   8.89e-01   5.00e-01  
27     9.86e-02   3.71e+00   1.00e+00  
28     2.91e-02   3.36e+00   1.25e-01  
29     2.25e-02   8.64e-01   1.00e+00  
30     1.18e-02   6.08e-01   5.00e-01  
31     7.51e-03   2.09e+00   1.00e+00  
32     2.27e-03   8.49e-01   1.00e+00  
33     5.62e-04   4.85e-01   5.00e-01  
34     5.50e-04   5.85e-01   1.00e+00  
35     2.97e-05   8.72e-02   1.00e+00  
36     8.33e-06   1.01e-01   6.25e-02  
37     2.20e-06   1.36e-02   1.00e+00  
38     3.33e-09   8.41e-04   1.00e+00  
39     1.27e-12   4.89e-05   2.50e-01  
40     9.04e-13   2.93e-05   1.00e+00  
Terminated at iteration=41 as |gradf|=4.32e-09 < threshold=6.48e-06.
Optimized objective function value: 1.78e-19; |gradf|: 4.32e-09. Computing time: 0.002 s.
