Iter   f          |gradf|    alpha     
-------------------------------------
1      2.42e+01   6.48e+02   1.00e+00  
2      5.77e+00   6.07e+01   1.00e+00  
3      4.31e+00   1.84e+01   1.00e+00  
4      4.15e+00   2.05e+00   1.00e+00  
5      4.15e+00   1.77e+00   1.00e+00  
6      4.13e+00   3.40e+00   1.00e+00  
7      4.10e+00   6.96e+00   8.00e+00  
8      2.96e+00   2.60e+01   5.00e-01  
9      2.92e+00   4.26e+00   2.00e+00  
10     2.33e+00   1.49e+01   1.00e+00  
11     2.19e+00   4.93e+00   1.00e+00  
12     1.76e+00   9.62e+00   1.00e+00  
13     1.53e+00   8.22e+00   1.00e+00  
14     1.42e+00   9.12e+00   1.00e+00  
15     1.38e+00   1.73e+01   1.00e+00  
16     1.15e+00   4.31e+00   1.00e+00  
17     9.85e-01   2.48e+00   1.25e-01  
18     8.54e-01   5.65e+00   1.00e+00  
19     8.05e-01   3.65e+00   1.00e+00  
20     6.03e-01   2.64e+00   1.00e+00  
21     5.12e-01   8.44e+00   1.00e+00  
22     3.12e-01   2.31e+00   1.00e+00  
23     2.91e-01   1.09e+01   1.00e+00  
24     2.28e-01   1.14e+00   1.00e+00  
25     1.93e-01   9.12e-01   5.00e-01  
26     1.65e-01   6.00e+00   1.00e+00  
27     1.30e-01   2.60e+00   1.00e+00  
28     7.53e-02   2.14e+00   1.00e+00  
29     3.90e-02   6.04e-01   2.50e-01  
30     3.78e-02   4.43e+00   1.00e+00  
31     2.13e-02   1.31e+00   1.00e+00  
32     9.63e-03   8.15e-01   1.00e+00  
33     3.82e-03   1.77e+00   2.50e-01  
34     1.71e-03   1.57e+00   1.00e+00  
35     1.67e-04   5.56e-01   1.00e+00  
36     1.99e-05   9.88e-02   1.00e+00  
37     3.72e-06   2.70e-02   1.00e+00  
38     1.46e-06   3.24e-02   2.50e-01  
39     1.21e-06   4.34e-02   1.00e+00  
40     1.84e-11   1.60e-04   1.00e+00  
41     3.52e-12   3.93e-05   1.00e+00  
Terminated at iteration=42 as |gradf|=6.45e-06 < threshold=6.48e-06.
Optimized objective function value: 3.23e-13; |gradf|: 6.45e-06. Computing time: 0.002 s.
