Iter   f          |gradf|    alpha     
-------------------------------------
1      4.00e+00   9.74e+03   1.00e+00  
2      6.57e+01   4.76e+02   1.00e+00  
3      3.06e+01   2.81e+02   1.00e+00  
4      8.94e+00   7.33e+01   1.00e+00  
5      7.33e+00   5.94e+01   1.00e+00  
6      6.24e+00   5.63e+01   1.00e+00  
7      5.55e+00   5.31e+01   1.00e+00  
8      5.05e+00   4.71e+01   1.00e+00  
9      4.71e+00   3.94e+01   1.00e+00  
10     4.47e+00   3.08e+01   1.00e+00  
11     4.31e+00   2.35e+01   1.00e+00  
12     4.20e+00   1.82e+01   1.00e+00  
13     4.13e+00   1.52e+01   1.00e+00  
14     4.09e+00   1.32e+01   1.00e+00  
15     4.06e+00   1.14e+01   1.00e+00  
16     4.04e+00   9.37e+00   1.00e+00  
17     4.02e+00   7.41e+00   1.00e+00  
18     4.02e+00   5.85e+00   1.00e+00  
19     4.01e+00   4.96e+00   1.00e+00  
20     4.00e+00   4.63e+00   1.00e+00  
21     4.00e+00   4.54e+00   1.00e+00  
22     4.00e+00   4.37e+00   1.00e+00  
23     3.99e+00   4.00e+00   1.00e+00  
24     3.99e+00   3.44e+00   1.00e+00  
25     3.99e+00   2.78e+00   1.00e+00  
26     3.99e+00   2.13e+00   1.00e+00  
27     3.99e+00   1.63e+00   1.00e+00  
28     3.99e+00   1.35e+00   1.00e+00  
29     3.99e+00   1.25e+00   1.00e+00  
30     3.99e+00   1.20e+00   1.00e+00  
31     3.99e+00   1.11e+00   1.00e+00  
32     3.99e+00   9.72e-01   1.00e+00  
33     3.99e+00   7.97e-01   1.00e+00  
34     3.99e+00   6.22e-01   1.00e+00  
35     3.99e+00   4.85e-01   1.00e+00  
36     3.99e+00   4.11e-01   1.00e+00  
37     3.99e+00   3.92e-01   1.00e+00  
38     3.99e+00   3.93e-01   1.00e+00  
39     3.99e+00   3.83e-01   1.00e+00  
40     3.99e+00   3.52e-01   1.00e+00  
41     3.99e+00   3.02e-01   1.00e+00  
42     3.99e+00   2.42e-01   1.00e+00  
43     3.99e+00   1.84e-01   1.00e+00  
44     3.99e+00   1.41e-01   1.00e+00  
45     3.99e+00   1.19e-01   1.00e+00  
46     3.99e+00   1.13e-01   1.00e+00  
47     3.99e+00   1.10e-01   1.00e+00  
48     3.99e+00   1.03e-01   1.00e+00  
49     3.99e+00   9.13e-02   1.00e+00  
50     3.99e+00   7.58e-02   1.00e+00  
51     3.99e+00   6.00e-02   1.00e+00  
52     3.99e+00   4.73e-02   1.00e+00  
53     3.99e+00   3.99e-02   1.00e+00  
54     3.99e+00   3.75e-02   1.00e+00  
55     3.99e+00   3.69e-02   1.00e+00  
56     3.99e+00   3.56e-02   1.00e+00  
57     3.99e+00   3.25e-02   1.00e+00  
58     3.99e+00   2.77e-02   1.00e+00  
59     3.99e+00   2.21e-02   1.00e+00  
60     3.99e+00   1.69e-02   1.00e+00  
61     3.99e+00   1.30e-02   1.00e+00  
62     3.99e+00   1.12e-02   1.00e+00  
63     3.99e+00   1.07e-02   1.00e+00  
64     3.99e+00   1.04e-02   1.00e+00  
65     3.99e+00   9.80e-03   1.00e+00  
66     3.99e+00   8.66e-03   1.00e+00  
67     3.99e+00   7.20e-03   1.00e+00  
68     3.99e+00   5.69e-03   1.00e+00  
69     3.99e+00   4.44e-03   1.00e+00  
70     3.99e+00   3.70e-03   1.00e+00  
71     3.99e+00   3.44e-03   1.00e+00  
72     3.99e+00   3.38e-03   1.00e+00  
73     3.99e+00   3.26e-03   1.00e+00  
74     3.99e+00   2.96e-03   1.00e+00  
75     3.99e+00   2.52e-03   1.00e+00  
76     3.99e+00   2.00e-03   1.00e+00  
77     3.99e+00   1.52e-03   1.00e+00  
78     3.99e+00   1.18e-03   1.00e+00  
79     3.99e+00   1.02e-03   1.00e+00  
80     3.99e+00   9.88e-04   1.00e+00  
81     3.99e+00   9.74e-04   1.00e+00  
82     3.99e+00   9.21e-04   1.00e+00  
83     3.99e+00   8.20e-04   1.00e+00  
84     3.99e+00   6.86e-04   1.00e+00  
85     3.99e+00   5.45e-04   1.00e+00  
86     3.99e+00   4.25e-04   1.00e+00  
87     3.99e+00   3.49e-04   1.00e+00  
88     3.99e+00   3.19e-04   1.00e+00  
89     3.99e+00   3.10e-04   1.00e+00  
90     3.99e+00   2.97e-04   1.00e+00  
91     3.99e+00   2.70e-04   1.00e+00  
92     3.99e+00   2.30e-04   1.00e+00  
93     3.99e+00   1.84e-04   1.00e+00  
94     3.99e+00   1.41e-04   1.00e+00  
95     3.99e+00   1.11e-04   1.00e+00  
Terminated at iteration=96 as |gradf|=9.69e-05 < threshold=9.74e-05.
Optimized objective function value: 3.99e+00; |gradf|: 9.69e-05. Computing time: 0.033 s.
