Iter   f          |gradf|    alpha     
-------------------------------------
1      1.42e+01   1.47e+03   1.00e+00  
2      1.25e+01   2.41e+01   1.00e+00  
3      8.50e+00   2.45e+01   1.25e-01  
4      4.09e+00   1.05e+01   1.25e-01  
5      7.94e-01   2.72e+00   1.39e-17  
6      7.94e-01   2.72e+00   1.39e-17  
7      7.94e-01   2.72e+00   1.39e-17  
8      7.94e-01   2.72e+00   1.39e-17  
9      7.94e-01   2.72e+00   1.39e-17  
10     7.94e-01   2.72e+00   1.39e-17  
11     7.94e-01   2.72e+00   1.39e-17  
12     7.94e-01   2.72e+00   1.39e-17  
13     7.94e-01   2.72e+00   1.39e-17  
14     7.94e-01   2.72e+00   1.39e-17  
15     7.94e-01   2.72e+00   1.39e-17  
16     7.94e-01   2.72e+00   1.39e-17  
17     7.94e-01   2.72e+00   1.39e-17  
18     7.94e-01   2.72e+00   1.39e-17  
19     7.94e-01   2.72e+00   1.39e-17  
20     7.94e-01   2.72e+00   1.39e-17  
21     7.94e-01   2.72e+00   1.39e-17  
22     7.94e-01   2.72e+00   1.39e-17  
23     7.94e-01   2.72e+00   1.39e-17  
24     7.94e-01   2.72e+00   1.39e-17  
25     7.94e-01   2.72e+00   1.39e-17  
26     7.94e-01   2.72e+00   1.39e-17  
27     7.94e-01   2.72e+00   1.39e-17  
28     7.94e-01   2.72e+00   1.39e-17  
29     7.94e-01   2.72e+00   1.39e-17  
30     7.94e-01   2.72e+00   1.39e-17  
31     7.94e-01   2.72e+00   1.39e-17  
32     7.94e-01   2.72e+00   1.39e-17  
33     7.94e-01   2.72e+00   1.39e-17  
34     7.94e-01   2.72e+00   1.39e-17  
35     7.94e-01   2.72e+00   1.39e-17  
36     7.94e-01   2.72e+00   1.39e-17  
37     7.94e-01   2.72e+00   1.39e-17  
38     7.94e-01   2.72e+00   1.39e-17  
39     7.94e-01   2.72e+00   1.39e-17  
40     7.94e-01   2.72e+00   1.39e-17  
41     7.94e-01   2.72e+00   1.39e-17  
42     7.94e-01   2.72e+00   1.39e-17  
43     7.94e-01   2.72e+00   1.39e-17  
44     7.94e-01   2.72e+00   1.39e-17  
45     7.94e-01   2.72e+00   1.39e-17  
46     7.94e-01   2.72e+00   1.39e-17  
47     7.94e-01   2.72e+00   1.39e-17  
48     7.94e-01   2.72e+00   1.39e-17  
49     7.94e-01   2.72e+00   1.39e-17  
50     7.94e-01   2.72e+00   1.39e-17  
51     7.94e-01   2.72e+00   1.39e-17  
52     7.94e-01   2.72e+00   1.39e-17  
53     7.94e-01   2.72e+00   1.39e-17  
54     7.94e-01   2.72e+00   1.39e-17  
55     7.94e-01   2.72e+00   1.39e-17  
56     7.94e-01   2.72e+00   1.39e-17  
57     7.94e-01   2.72e+00   1.39e-17  
58     7.94e-01   2.72e+00   1.39e-17  
59     7.94e-01   2.72e+00   1.39e-17  
60     7.94e-01   2.72e+00   1.39e-17  
61     7.94e-01   2.72e+00   1.39e-17  
62     7.94e-01   2.72e+00   1.39e-17  
63     7.94e-01   2.72e+00   1.39e-17  
64     7.94e-01   2.72e+00   1.39e-17  
65     7.94e-01   2.72e+00   1.39e-17  
66     7.94e-01   2.72e+00   1.39e-17  
67     7.94e-01   2.72e+00   1.39e-17  
68     7.94e-01   2.72e+00   1.39e-17  
69     7.94e-01   2.72e+00   1.39e-17  
70     7.94e-01   2.72e+00   1.39e-17  
71     7.94e-01   2.72e+00   1.39e-17  
72     7.94e-01   2.72e+00   1.39e-17  
73     7.94e-01   2.72e+00   1.39e-17  
74     7.94e-01   2.72e+00   1.39e-17  
75     7.94e-01   2.72e+00   1.39e-17  
76     7.94e-01   2.72e+00   1.39e-17  
77     7.94e-01   2.72e+00   1.39e-17  
78     7.94e-01   2.72e+00   1.39e-17  
79     7.94e-01   2.72e+00   1.39e-17  
80     7.94e-01   2.72e+00   1.39e-17  
81     7.94e-01   2.72e+00   1.39e-17  
82     7.94e-01   2.72e+00   1.39e-17  
83     7.94e-01   2.72e+00   1.39e-17  
84     7.94e-01   2.72e+00   1.39e-17  
85     7.94e-01   2.72e+00   1.39e-17  
86     7.94e-01   2.72e+00   1.39e-17  
87     7.94e-01   2.72e+00   1.39e-17  
88     7.94e-01   2.72e+00   1.39e-17  
89     7.94e-01   2.72e+00   1.39e-17  
90     7.94e-01   2.72e+00   1.39e-17  
91     7.94e-01   2.72e+00   1.39e-17  
92     7.94e-01   2.72e+00   1.39e-17  
93     7.94e-01   2.72e+00   1.39e-17  
94     7.94e-01   2.72e+00   1.39e-17  
95     7.94e-01   2.72e+00   1.39e-17  
96     7.94e-01   2.72e+00   1.39e-17  
97     7.94e-01   2.72e+00   1.39e-17  
98     7.94e-01   2.72e+00   1.39e-17  
99     7.94e-01   2.72e+00   1.39e-17  
100    7.94e-01   2.72e+00   1.39e-17  
101    7.94e-01   2.72e+00   1.39e-17  
102    7.94e-01   2.72e+00   1.39e-17  
103    7.94e-01   2.72e+00   1.39e-17  
104    7.94e-01   2.72e+00   1.39e-17  
105    7.94e-01   2.72e+00   1.39e-17  
106    7.94e-01   2.72e+00   1.39e-17  
107    7.94e-01   2.72e+00   1.39e-17  
108    7.94e-01   2.72e+00   1.39e-17  
109    7.94e-01   2.72e+00   1.39e-17  
110    7.94e-01   2.72e+00   1.39e-17  
111    7.94e-01   2.72e+00   1.39e-17  
112    7.94e-01   2.72e+00   1.39e-17  
113    7.94e-01   2.72e+00   1.39e-17  
114    7.94e-01   2.72e+00   1.39e-17  
115    7.94e-01   2.72e+00   1.39e-17  
116    7.94e-01   2.72e+00   1.39e-17  
117    7.94e-01   2.72e+00   1.39e-17  
118    7.94e-01   2.72e+00   1.39e-17  
119    7.94e-01   2.72e+00   1.39e-17  
120    7.94e-01   2.72e+00   1.39e-17  
121    7.94e-01   2.72e+00   1.39e-17  
122    7.94e-01   2.72e+00   1.39e-17  
123    7.94e-01   2.72e+00   1.39e-17  
124    7.94e-01   2.72e+00   1.39e-17  
125    7.94e-01   2.72e+00   1.39e-17  
126    7.94e-01   2.72e+00   1.39e-17  
127    7.94e-01   2.72e+00   1.39e-17  
128    7.94e-01   2.72e+00   1.39e-17  
129    7.94e-01   2.72e+00   1.39e-17  
130    7.94e-01   2.72e+00   1.39e-17  
131    7.94e-01   2.72e+00   1.39e-17  
132    7.94e-01   2.72e+00   1.39e-17  
133    7.94e-01   2.72e+00   1.39e-17  
134    7.94e-01   2.72e+00   1.39e-17  
135    7.94e-01   2.72e+00   1.39e-17  
136    7.94e-01   2.72e+00   1.39e-17  
137    7.94e-01   2.72e+00   1.39e-17  
138    7.94e-01   2.72e+00   1.39e-17  
139    7.94e-01   2.72e+00   1.39e-17  
