Iter   f          |gradf|    alpha     
-------------------------------------
1      1.42e+01   1.47e+03   1.00e+00  
2      1.25e+01   2.41e+01   1.00e+00  
3      8.50e+00   2.45e+01   1.25e-01  
4      4.09e+00   1.05e+01   1.25e-01  
5      7.94e-01   2.72e+00   1.00e+00  
6      1.82e+00   6.33e+00   2.50e-01  
7      1.61e+00   5.04e+00   1.25e-01  
8      1.09e+00   4.05e+00   2.50e-01  
9      6.78e-01   1.76e+00   1.56e-02  
10     6.73e-01   1.82e+00   1.00e+00  
11     5.01e+01   1.62e+02   6.25e-02  
12     2.04e+01   3.31e+01   1.00e+00  
13     1.38e+08   8.26e+07   4.77e-07  
14     1.52e+03   4.04e+03   3.91e-03  
15     1.02e+01   1.88e+01   2.50e-01  
16     7.86e-01   2.07e+00   1.00e+00  
17     4.94e+01   1.62e+02   6.25e-02  
18     1.95e+01   2.86e+01   1.00e+00  
19     1.11e+08   6.84e+07   4.77e-07  
20     9.61e-01   2.64e+00   1.00e+00  
21     1.10e+01   3.37e+01   2.50e-01  
22     2.36e+00   5.06e+00   7.81e-03  
23     2.32e+00   2.98e+00   3.91e-03  
24     2.31e+00   1.40e+00   1.00e+00  
25     2.88e+01   1.76e+02   1.56e-02  
26     4.25e+00   9.54e+00   1.25e-01  
27     1.05e+00   3.18e+00   1.00e+00  
28     1.63e+00   5.32e+00   2.50e-01  
29     1.02e+00   2.56e+00   6.25e-02  
30     8.95e-01   2.36e+00   1.00e+00  
31     2.87e+01   9.28e+01   1.25e-01  
32     2.38e+00   4.89e+00   3.91e-03  
33     2.33e+00   1.36e+00   1.00e+00  
34     6.53e+01   3.26e+02   1.56e-02  
35     2.09e+01   6.61e+01   1.25e-01  
36     2.00e+01   2.78e+01   3.12e-02  
37     2.35e+00   3.29e+00   3.91e-03  
38     2.33e+00   1.44e+00   1.00e+00  
39     1.36e+01   1.00e+02   3.12e-02  
40     9.06e-01   2.21e+00   6.25e-02  
41     8.80e-01   2.44e+00   1.00e+00  
42     1.49e+01   4.59e+01   1.25e-01  
43     1.41e+01   2.23e+01   2.00e+00  
44     8.05e+00   1.44e+01   2.50e-01  
45     3.72e+00   1.12e+01   1.25e-01  
46     1.09e+00   2.63e+00   6.25e-02  
47     9.71e-01   2.47e+00   1.00e+00  
48     3.27e+01   1.07e+02   6.25e-02  
49     8.07e+00   1.45e+01   2.50e-01  
50     3.55e+00   1.08e+01   1.25e-01  
51     1.04e+00   2.50e+00   6.25e-02  
52     9.58e-01   2.49e+00   1.00e+00  
53     2.56e+01   8.29e+01   1.25e-01  
54     8.62e+00   3.12e+01   7.81e-03  
55     2.30e+00   2.39e+00   3.91e-03  
56     2.29e+00   1.42e+00   1.00e+00  
57     2.25e+01   1.46e+02   3.12e-02  
58     1.41e+01   4.37e+01   1.25e-01  
59     1.27e+01   1.97e+01   5.00e-01  
60     1.07e+00   2.63e+00   6.25e-02  
61     9.41e-01   2.42e+00   1.00e+00  
62     3.27e+01   1.07e+02   6.25e-02  
63     7.96e+00   1.46e+01   2.50e-01  
64     3.57e+00   1.08e+01   1.25e-01  
65     1.03e+00   2.51e+00   6.25e-02  
66     9.29e-01   2.44e+00   1.00e+00  
67     2.61e+01   8.43e+01   1.25e-01  
68     7.72e+00   3.10e+01   7.81e-03  
69     2.36e+00   4.89e+00   7.81e-03  
70     2.32e+00   2.88e+00   3.91e-03  
71     2.31e+00   1.41e+00   1.00e+00  
72     2.32e+01   1.50e+02   3.12e-02  
73     2.07e+01   6.57e+01   1.25e-01  
74     1.96e+01   2.65e+01   3.91e-02  
75     5.43e+00   4.49e+01   6.25e-02  
76     1.28e+00   3.44e+00   6.25e-02  
77     8.66e-01   2.15e+00   1.00e+00  
78     9.44e+01   3.10e+02   3.12e-02  
79     9.26e+00   1.68e+01   2.50e-01  
80     1.40e+00   4.65e+00   2.50e-01  
81     8.66e-01   2.07e+00   3.12e-02  
82     8.46e-01   2.13e+00   1.00e+00  
83     7.55e+01   2.49e+02   6.25e-02  
84     2.96e+00   1.79e+01   7.81e-03  
85     2.94e+00   1.48e+01   7.81e-03  
86     2.85e+00   1.61e+01   7.81e-03  
87     2.81e+00   1.33e+01   7.81e-03  
88     2.78e+00   1.49e+01   7.81e-03  
89     2.74e+00   1.23e+01   7.81e-03  
90     2.73e+00   1.39e+01   7.81e-03  
91     2.68e+00   1.15e+01   3.91e-03  
92     2.35e+00   1.49e+00   1.95e-03  
93     2.35e+00   1.32e+00   1.00e+00  
94     2.82e+02   1.01e+03   3.91e-03  
95     2.25e+00   6.10e+00   1.25e-01  
96     1.25e+00   4.22e+00   5.00e-01  
97     1.25e+00   3.51e+00   6.25e-02  
98     8.09e-01   2.04e+00   1.00e+00  
99     8.94e+01   2.93e+02   3.12e-02  
100    7.34e+00   1.49e+01   2.50e-01  
101    3.95e+00   1.19e+01   1.25e-01  
102    1.04e+00   2.86e+00   6.25e-02  
103    7.95e-01   2.12e+00   1.00e+00  
104    3.98e+01   1.29e+02   6.25e-02  
105    1.26e+01   2.18e+01   1.00e+00  
106    1.00e+01   2.98e+01   2.81e-01  
107    7.05e+00   5.85e+01   6.25e-02  
108    3.76e+00   1.14e+01   1.25e-01  
109    9.96e-01   2.66e+00   6.25e-02  
110    8.14e-01   2.19e+00   1.00e+00  
111    3.12e+01   1.00e+02   1.25e-01  
112    7.38e+00   6.14e+01   6.25e-02  
113    6.82e+00   1.99e+01   1.25e-01  
114    2.55e+00   6.95e+00   1.25e-01  
115    1.14e+00   3.95e+00   5.00e-01  
116    9.83e-01   2.72e+00   6.25e-02  
117    7.73e-01   2.10e+00   1.00e+00  
118    3.20e+01   1.03e+02   1.25e-01  
119    1.18e+01   9.17e+01   3.12e-02  
120    1.18e+00   3.52e+00   6.25e-02  
121    7.34e-01   1.91e+00   6.10e-05  
122    7.34e-01   1.91e+00   1.00e+00  
123    7.36e+01   2.41e+02   6.25e-02  
124    4.51e+00   2.62e+01   7.81e-03  
125    4.10e+00   3.30e+01   3.91e-03  
126    2.54e+00   7.70e+00   3.91e-03  
127    2.43e+00   1.75e+00   1.56e-02  
128    2.42e+00   1.52e+00   9.77e-04  
129    2.42e+00   1.37e+00   1.00e+00  
130    1.00e+03   2.82e+03   1.95e-03  
131    9.99e-01   3.60e+00   5.00e-01  
132    7.56e-01   1.96e+00   6.25e-02  
133    7.39e-01   2.24e+00   1.00e+00  
134    9.95e+00   2.89e+01   1.25e-01  
135    5.87e+00   1.35e+01   1.25e-01  
136    6.99e-01   1.81e+00   1.56e-02  
137    6.96e-01   1.87e+00   1.00e+00  
138    5.01e+01   1.63e+02   6.25e-02  
139    2.03e+01   3.22e+01   1.00e+00  
