Iter   f          |gradf|    alpha     
-------------------------------------
1      1.42e+01   2.78e+01   6.25e-02  
2      4.77e+00   4.61e+00   2.45e-02  
3      4.27e+00   4.23e+00   4.66e-02  
4      3.47e+00   3.90e+00   8.89e-02  
5      2.21e+00   3.36e+00   1.66e-01  
6      7.35e-01   1.86e+00   2.62e-01  
7      1.60e-01   6.47e-01   3.34e-01  
8      8.54e-02   1.12e+00   4.47e-02  
9      5.82e-02   3.42e-01   4.33e-02  
10     5.38e-02   2.93e-01   7.46e-02  
11     4.78e-02   2.71e-01   1.42e-01  
12     3.84e-02   2.52e-01   2.55e-01  
13     3.47e-02   7.73e-01   5.86e-02  
14     3.16e-02   6.87e-01   1.01e-02  
15     2.76e-02   4.92e-01   1.73e-02  
16     2.44e-02   2.71e-01   2.65e-02  
17     2.29e-02   1.68e-01   3.90e-02  
18     2.19e-02   1.61e-01   7.51e-02  
19     2.00e-02   1.52e-01   1.45e-01  
20     1.69e-02   1.46e-01   2.70e-01  
21     1.51e-02   4.58e-01   4.10e-02  
22     1.24e-02   2.31e-01   2.64e-02  
23     1.15e-02   1.07e-01   3.29e-02  
24     1.11e-02   1.05e-01   6.49e-02  
25     1.04e-02   1.01e-01   1.27e-01  
26     9.16e-03   9.37e-02   2.45e-01  
27     7.23e-03   1.04e-01   1.10e-01  
28     7.06e-03   2.24e-01   3.12e-02  
29     6.32e-03   8.59e-02   2.93e-02  
30     6.14e-03   7.39e-02   5.02e-02  
31     5.87e-03   7.19e-02   9.83e-02  
32     5.38e-03   7.01e-02   1.89e-01  
33     4.69e-03   1.27e-01   3.50e-02  
34     4.43e-03   7.59e-02   3.21e-02  
35     4.29e-03   6.12e-02   4.90e-02  
36     4.12e-03   5.98e-02   9.23e-02  
37     3.82e-03   6.65e-02   8.21e-02  
38     3.65e-03   1.00e-01   4.05e-02  
39     3.48e-03   7.68e-02   3.29e-02  
40     3.36e-03   5.56e-02   4.19e-02  
41     3.24e-03   5.29e-02   7.38e-02  
42     3.06e-03   5.75e-02   1.29e-01  
43     2.95e-03   1.39e-01   3.29e-02  
44     2.71e-03   6.81e-02   2.52e-02  
45     2.63e-03   4.53e-02   3.57e-02  
46     2.55e-03   4.46e-02   7.06e-02  
47     2.42e-03   4.33e-02   1.39e-01  
48     2.17e-03   4.27e-02   2.66e-01  
49     1.97e-03   1.44e-01   2.65e-02  
50     1.72e-03   4.15e-02   2.44e-02  
51     1.68e-03   3.54e-02   4.19e-02  
52     1.63e-03   3.48e-02   8.31e-02  
53     1.53e-03   3.37e-02   1.63e-01  
54     1.36e-03   3.44e-02   1.55e-01  
55     1.28e-03   8.75e-02   3.11e-02  
56     1.19e-03   4.25e-02   2.42e-02  
57     1.16e-03   2.89e-02   3.47e-02  
58     1.13e-03   2.85e-02   6.86e-02  
59     1.08e-03   2.78e-02   1.35e-01  
60     9.77e-04   2.85e-02   2.58e-01  
61     9.60e-04   1.20e-01   4.28e-02  
62     9.14e-04   1.11e-01   6.31e-03  
63     8.47e-04   8.13e-02   1.09e-02  
64     7.91e-04   4.61e-02   1.70e-02  
65     7.65e-04   2.49e-02   2.43e-02  
66     7.52e-04   2.29e-02   4.45e-02  
67     7.29e-04   2.25e-02   8.81e-02  
68     6.85e-04   2.19e-02   1.73e-01  
69     6.09e-04   2.69e-02   7.90e-02  
70     5.96e-04   4.98e-02   3.51e-02  
71     5.68e-04   3.36e-02   2.28e-02  
72     5.51e-04   1.94e-02   2.99e-02  
73     5.40e-04   1.92e-02   5.94e-02  
74     5.18e-04   1.88e-02   1.17e-01  
75     4.78e-04   1.82e-02   2.29e-01  
76     4.15e-04   3.12e-02   4.80e-02  
77     4.05e-04   3.58e-02   1.94e-02  
78     3.89e-04   1.65e-02   2.50e-02  
79     3.83e-04   1.60e-02   4.86e-02  
80     3.70e-04   1.57e-02   9.63e-02  
81     3.47e-04   1.53e-02   1.89e-01  
