Iter   f          |gradf|    alpha     
-------------------------------------
1      1.42e+01   2.78e+01   6.25e-02  
2      4.77e+00   4.61e+00   5.00e-01  
3      2.36e+00   1.02e+01   6.25e-02  
4      1.80e+00   1.76e+01   3.12e-02  
5      1.29e+00   7.43e+00   6.25e-02  
6      5.47e-01   7.54e+00   3.12e-02  
7      1.12e-01   2.38e+00   6.25e-02  
8      1.11e-01   2.82e+00   3.12e-02  
9      1.99e-02   5.91e-01   3.12e-02  
10     1.44e-02   1.28e-01   5.00e-01  
11     1.30e-02   6.11e-01   3.12e-02  
12     7.88e-03   1.26e-01   6.25e-02  
13     7.55e-03   1.53e-01   6.25e-02  
14     7.34e-03   1.98e-01   3.12e-02  
15     6.75e-03   8.67e-02   1.25e-01  
16     6.29e-03   1.67e-01   6.25e-02  
17     6.28e-03   2.28e-01   3.12e-02  
18     5.55e-03   8.40e-02   1.25e-01  
19     5.39e-03   1.98e-01   3.12e-02  
20     4.84e-03   7.78e-02   1.25e-01  
21     4.71e-03   1.87e-01   3.12e-02  
22     4.23e-03   7.42e-02   1.25e-01  
23     4.20e-03   1.90e-01   3.12e-02  
24     3.72e-03   7.34e-02   6.25e-02  
25     3.57e-03   9.29e-02   6.25e-02  
26     3.50e-03   1.31e-01   3.12e-02  
27     3.26e-03   6.21e-02   1.25e-01  
28     3.20e-03   1.57e-01   3.12e-02  
29     2.89e-03   6.63e-02   6.25e-02  
30     2.79e-03   8.79e-02   6.25e-02  
31     2.77e-03   1.29e-01   3.12e-02  
32     2.54e-03   5.80e-02   6.25e-02  
33     2.45e-03   7.48e-02   6.25e-02  
34     2.41e-03   1.09e-01   3.12e-02  
35     2.25e-03   5.31e-02   6.25e-02  
36     2.17e-03   6.85e-02   6.25e-02  
37     2.13e-03   1.00e-01   3.12e-02  
38     2.00e-03   4.94e-02   6.25e-02  
39     1.92e-03   6.38e-02   6.25e-02  
40     1.89e-03   9.45e-02   3.12e-02  
41     1.77e-03   4.73e-02   6.25e-02  
42     1.71e-03   6.27e-02   6.25e-02  
43     1.70e-03   9.48e-02   3.12e-02  
44     1.58e-03   4.61e-02   6.25e-02  
45     1.53e-03   6.28e-02   6.25e-02  
46     1.53e-03   9.78e-02   3.12e-02  
47     1.41e-03   4.66e-02   6.25e-02  
48     1.37e-03   6.68e-02   3.12e-02  
49     1.31e-03   3.78e-02   1.25e-01  
50     1.30e-03   1.04e-01   3.12e-02  
51     1.18e-03   4.77e-02   6.25e-02  
52     1.16e-03   7.27e-02   3.12e-02  
53     1.09e-03   3.80e-02   6.25e-02  
54     1.06e-03   5.33e-02   3.12e-02  
55     1.02e-03   3.22e-02   1.25e-01  
56     1.00e-03   8.56e-02   3.12e-02  
57     9.19e-04   4.12e-02   6.25e-02  
58     9.06e-04   6.34e-02   3.12e-02  
59     8.55e-04   3.38e-02   6.25e-02  
60     8.32e-04   4.85e-02   3.12e-02  
61     7.98e-04   2.91e-02   1.25e-01  
62     7.97e-04   8.24e-02   3.12e-02  
63     7.23e-04   3.95e-02   6.25e-02  
64     7.20e-04   6.34e-02   3.12e-02  
65     6.73e-04   3.27e-02   6.25e-02  
66     6.61e-04   4.99e-02   3.12e-02  
67     6.29e-04   2.80e-02   6.25e-02  
68     6.12e-04   4.02e-02   3.12e-02  
69     5.88e-04   2.48e-02   6.25e-02  
70     5.69e-04   3.33e-02   6.25e-02  
71     5.64e-04   5.33e-02   3.12e-02  
72     5.31e-04   2.83e-02   6.25e-02  
73     5.21e-04   4.31e-02   3.12e-02  
74     4.96e-04   2.47e-02   6.25e-02  
75     4.83e-04   3.57e-02   3.12e-02  
76     4.65e-04   2.21e-02   6.25e-02  
77     4.50e-04   3.02e-02   6.25e-02  
78     4.48e-04   4.94e-02   3.12e-02  
79     4.21e-04   2.63e-02   6.25e-02  
80     4.15e-04   4.15e-02   3.12e-02  
81     3.94e-04   2.33e-02   6.25e-02  
