Iter   f          |gradf|    alpha      delta     
-----------------------------------------------
1      1.42e+01   2.78e+01   1.00e+00   1.31e+01  
2      1.03e+01   2.09e+01   5.00e-01   0.00e+00  
3      6.39e+00   1.32e+01   1.00e+00   1.31e+01  
4      3.19e+00   6.76e+00   5.00e-01   0.00e+00  
5      1.01e+00   7.41e+00   2.50e-01   3.28e+00  
6      8.63e-02   3.01e+00   1.00e+00   0.00e+00  
7      2.38e-02   1.19e+00   1.00e+00   0.00e+00  
8      1.26e-02   1.06e-01   1.00e+00   0.00e+00  
9      9.70e-03   5.75e-02   1.00e+00   0.00e+00  
10     7.29e-03   5.17e-02   1.00e+00   0.00e+00  
11     5.33e-03   4.59e-02   1.00e+00   0.00e+00  
12     3.79e-03   4.02e-02   1.00e+00   0.00e+00  
13     2.63e-03   3.46e-02   1.00e+00   0.00e+00  
14     1.78e-03   2.93e-02   1.00e+00   0.00e+00  
15     1.18e-03   2.45e-02   1.00e+00   0.00e+00  
16     7.71e-04   2.02e-02   1.00e+00   0.00e+00  
17     4.94e-04   1.65e-02   1.00e+00   0.00e+00  
18     3.13e-04   1.33e-02   1.00e+00   0.00e+00  
19     1.96e-04   1.07e-02   1.00e+00   0.00e+00  
20     1.21e-04   8.47e-03   1.00e+00   0.00e+00  
21     7.45e-05   6.70e-03   1.00e+00   0.00e+00  
22     4.56e-05   5.28e-03   1.00e+00   0.00e+00  
23     2.77e-05   4.14e-03   1.00e+00   0.00e+00  
24     1.68e-05   3.23e-03   1.00e+00   0.00e+00  
25     1.02e-05   2.52e-03   1.00e+00   0.00e+00  
26     6.14e-06   1.96e-03   1.00e+00   0.00e+00  
27     3.69e-06   1.53e-03   1.00e+00   0.00e+00  
28     2.22e-06   1.19e-03   1.00e+00   0.00e+00  
29     1.33e-06   9.21e-04   1.00e+00   0.00e+00  
30     8.01e-07   7.14e-04   1.00e+00   0.00e+00  
31     4.80e-07   5.53e-04   1.00e+00   0.00e+00  
32     2.88e-07   4.29e-04   1.00e+00   0.00e+00  
33     1.73e-07   3.32e-04   1.00e+00   0.00e+00  
34     1.03e-07   2.57e-04   1.00e+00   0.00e+00  
35     6.19e-08   1.99e-04   1.00e+00   0.00e+00  
36     3.71e-08   1.54e-04   1.00e+00   0.00e+00  
37     2.22e-08   1.19e-04   1.00e+00   0.00e+00  
38     1.33e-08   9.22e-05   1.00e+00   0.00e+00  
39     7.95e-09   7.13e-05   1.00e+00   0.00e+00  
40     4.76e-09   5.52e-05   1.00e+00   0.00e+00  
41     2.85e-09   4.27e-05   1.00e+00   0.00e+00  
42     1.71e-09   3.30e-05   1.00e+00   0.00e+00  
43     1.02e-09   2.56e-05   1.00e+00   0.00e+00  
44     6.11e-10   1.98e-05   1.00e+00   0.00e+00  
45     3.66e-10   1.53e-05   1.00e+00   0.00e+00  
46     2.19e-10   1.18e-05   1.00e+00   0.00e+00  
47     1.31e-10   9.16e-06   1.00e+00   0.00e+00  
48     7.84e-11   7.08e-06   1.00e+00   0.00e+00  
49     4.69e-11   5.48e-06   1.00e+00   0.00e+00  
50     2.81e-11   4.24e-06   1.00e+00   0.00e+00  
51     1.68e-11   3.28e-06   1.00e+00   0.00e+00  
52     1.01e-11   2.54e-06   1.00e+00   0.00e+00  
53     6.02e-12   1.96e-06   1.00e+00   0.00e+00  
54     3.60e-12   1.52e-06   1.00e+00   0.00e+00  
55     2.15e-12   1.17e-06   1.00e+00   0.00e+00  
56     1.29e-12   9.08e-07   1.00e+00   0.00e+00  
57     7.71e-13   7.03e-07   1.00e+00   0.00e+00  
58     4.62e-13   5.44e-07   1.00e+00   0.00e+00  
59     2.76e-13   4.21e-07   1.00e+00   0.00e+00  
60     1.65e-13   3.25e-07   1.00e+00   0.00e+00  
Terminated at iteration=61 as |gradf|=2.52e-07 < threshold=2.77e-07.
Optimized objective function value: 9.89e-14; |gradf|: 2.52e-07. Computing time: 0.008 s.
