Iter   f          |gradf|    alpha      delta     
-----------------------------------------------
1      1.42e+01   2.78e+01   1.00e+00   1.31e+01  
2      1.03e+01   2.09e+01   5.00e-01   0.00e+00  
3      6.39e+00   1.32e+01   1.00e+00   1.31e+01  
4      3.19e+00   6.76e+00   5.00e-01   0.00e+00  
5      1.01e+00   7.41e+00   2.50e-01   3.28e+00  
6      8.63e-02   3.01e+00   1.00e+00   0.00e+00  
7      2.38e-02   1.19e+00   1.00e+00   0.00e+00  
8      1.26e-02   1.06e-01   1.00e+00   0.00e+00  
9      9.70e-03   5.75e-02   2.00e+00   0.00e+00  
10     5.13e-03   4.78e-02   1.00e+00   0.00e+00  
11     3.64e-03   3.95e-02   1.00e+00   0.00e+00  
12     2.52e-03   3.40e-02   1.00e+00   0.00e+00  
13     1.71e-03   2.88e-02   1.00e+00   0.00e+00  
14     1.13e-03   2.40e-02   1.00e+00   0.00e+00  
15     7.35e-04   1.98e-02   1.00e+00   0.00e+00  
16     4.70e-04   1.61e-02   1.00e+00   0.00e+00  
17     2.97e-04   1.30e-02   1.00e+00   0.00e+00  
18     1.85e-04   1.04e-02   1.00e+00   0.00e+00  
19     1.15e-04   8.26e-03   1.00e+00   0.00e+00  
20     7.06e-05   6.53e-03   1.00e+00   0.00e+00  
21     4.31e-05   5.13e-03   1.00e+00   0.00e+00  
22     2.62e-05   4.03e-03   1.00e+00   0.00e+00  
23     1.59e-05   3.15e-03   1.00e+00   0.00e+00  
24     9.61e-06   2.45e-03   1.00e+00   0.00e+00  
25     5.80e-06   1.91e-03   1.00e+00   0.00e+00  
26     3.49e-06   1.49e-03   1.00e+00   0.00e+00  
27     2.10e-06   1.15e-03   1.00e+00   0.00e+00  
28     1.26e-06   8.95e-04   1.00e+00   0.00e+00  
29     7.57e-07   6.94e-04   1.00e+00   0.00e+00  
30     4.54e-07   5.38e-04   1.00e+00   0.00e+00  
31     2.72e-07   4.17e-04   1.00e+00   0.00e+00  
32     1.63e-07   3.23e-04   1.00e+00   0.00e+00  
33     9.76e-08   2.50e-04   1.00e+00   0.00e+00  
34     5.85e-08   1.93e-04   1.00e+00   0.00e+00  
35     3.50e-08   1.50e-04   1.00e+00   0.00e+00  
36     2.10e-08   1.16e-04   1.00e+00   0.00e+00  
37     1.25e-08   8.96e-05   1.00e+00   0.00e+00  
38     7.51e-09   6.93e-05   1.00e+00   0.00e+00  
39     4.50e-09   5.36e-05   1.00e+00   0.00e+00  
40     2.69e-09   4.15e-05   1.00e+00   0.00e+00  
41     1.61e-09   3.21e-05   1.00e+00   0.00e+00  
42     9.64e-10   2.48e-05   1.00e+00   0.00e+00  
43     5.77e-10   1.92e-05   1.00e+00   0.00e+00  
44     3.45e-10   1.49e-05   1.00e+00   0.00e+00  
45     2.07e-10   1.15e-05   1.00e+00   0.00e+00  
46     1.24e-10   8.90e-06   1.00e+00   0.00e+00  
47     7.40e-11   6.88e-06   1.00e+00   0.00e+00  
48     4.43e-11   5.32e-06   1.00e+00   0.00e+00  
49     2.65e-11   4.12e-06   1.00e+00   0.00e+00  
50     1.59e-11   3.19e-06   1.00e+00   0.00e+00  
51     9.49e-12   2.47e-06   1.00e+00   0.00e+00  
52     5.68e-12   1.91e-06   1.00e+00   0.00e+00  
53     3.40e-12   1.48e-06   1.00e+00   0.00e+00  
54     2.03e-12   1.14e-06   1.00e+00   0.00e+00  
55     1.22e-12   8.83e-07   1.00e+00   0.00e+00  
56     7.29e-13   6.83e-07   1.00e+00   0.00e+00  
57     4.36e-13   5.28e-07   1.00e+00   0.00e+00  
58     2.61e-13   4.09e-07   1.00e+00   0.00e+00  
59     1.56e-13   3.16e-07   1.00e+00   0.00e+00  
Terminated at iteration=60 as |gradf|=2.45e-07 < threshold=2.77e-07.
Optimized objective function value: 9.34e-14; |gradf|: 2.45e-07. Computing time: 0.009 s.
