Iter   f          |gradf|    alpha     
-------------------------------------
1      1.42e+01   2.78e+01   1.00e+00  
2      7.14e+00   1.15e+01   5.00e-01  
3      1.39e+00   6.80e+00   1.00e+00  
4      1.69e-01   2.53e+00   1.00e+00  
5      2.43e-02   1.79e-01   1.00e+00  
6      9.83e-03   1.30e-01   1.00e+00  
7      4.62e-03   6.86e-02   1.00e+00  
8      2.33e-03   4.63e-02   1.00e+00  
9      1.24e-03   3.21e-02   1.00e+00  
10     6.78e-04   2.29e-02   1.00e+00  
11     3.80e-04   1.67e-02   1.00e+00  
12     2.17e-04   1.24e-02   1.00e+00  
13     1.25e-04   9.31e-03   1.00e+00  
14     7.27e-05   7.03e-03   1.00e+00  
15     4.26e-05   5.34e-03   1.00e+00  
16     2.51e-05   4.08e-03   1.00e+00  
17     1.48e-05   3.12e-03   1.00e+00  
18     8.78e-06   2.40e-03   1.00e+00  
19     5.21e-06   1.84e-03   1.00e+00  
20     3.10e-06   1.42e-03   1.00e+00  
21     1.85e-06   1.09e-03   1.00e+00  
22     1.10e-06   8.43e-04   1.00e+00  
23     6.58e-07   6.51e-04   1.00e+00  
24     3.93e-07   5.03e-04   1.00e+00  
25     2.35e-07   3.88e-04   1.00e+00  
26     1.40e-07   3.00e-04   1.00e+00  
27     8.39e-08   2.32e-04   1.00e+00  
28     5.02e-08   1.79e-04   1.00e+00  
29     3.00e-08   1.39e-04   1.00e+00  
30     1.79e-08   1.07e-04   1.00e+00  
31     1.07e-08   8.29e-05   1.00e+00  
32     6.42e-09   6.41e-05   1.00e+00  
33     3.84e-09   4.96e-05   1.00e+00  
34     2.30e-09   3.84e-05   1.00e+00  
35     1.38e-09   2.97e-05   1.00e+00  
36     8.23e-10   2.30e-05   1.00e+00  
37     4.93e-10   1.78e-05   1.00e+00  
38     2.95e-10   1.37e-05   1.00e+00  
39     1.76e-10   1.06e-05   1.00e+00  
40     1.06e-10   8.22e-06   1.00e+00  
41     6.32e-11   6.36e-06   1.00e+00  
42     3.78e-11   4.92e-06   1.00e+00  
43     2.26e-11   3.81e-06   1.00e+00  
44     1.35e-11   2.94e-06   1.00e+00  
45     8.10e-12   2.28e-06   1.00e+00  
46     4.85e-12   1.76e-06   1.00e+00  
47     2.90e-12   1.36e-06   1.00e+00  
48     1.74e-12   1.05e-06   1.00e+00  
49     1.04e-12   8.16e-07   1.00e+00  
50     6.22e-13   6.31e-07   1.00e+00  
51     3.72e-13   4.88e-07   1.00e+00  
52     2.23e-13   3.78e-07   1.00e+00  
53     1.33e-13   2.92e-07   1.00e+00  
Terminated at iteration=54 as |gradf|=2.26e-07 < threshold=2.77e-07.
Optimized objective function value: 7.98e-14. Computing time: 0.004 s.
