problem,method,iter,nfev,ngev,cpu,f_final,grad_norm_final
P1_quad_10_10,GD_armijo,44,140,44,0.016356708016246557,-14.70763160564823,2.9047854883622815e-08
P1_quad_10_10,GD_wolf,167,2499,1486,0.008783708093687892,-14.707631605648233,4.119375407267185e-08
P1_quad_10_10,ModifiedNewton_armijo,2,4,2,0.0006162499776110053,-14.707631605648242,1.859675348316517e-15
P1_quad_10_10,ModifiedNewton_wolf,2,4,4,0.0025811659870669246,-14.707631605648242,1.859675348316517e-15
P1_quad_10_10,NewtonCG_armijo,5,13,5,0.0003387919859960675,-14.70763160564824,5.093580691037744e-09
P1_quad_10_10,NewtonCG_wolf,5,13,13,0.0025639169616624713,-14.70763160564824,5.093580691037744e-09
P1_quad_10_10,BFGS_armijo,47,230,48,0.001664249924942851,-14.707631605648238,4.510503317379438e-08
P1_quad_10_10,BFGS_wolf,49,143,144,0.004414792056195438,-14.707631605648238,6.957131171065844e-09
P1_quad_10_10,DFP_armijo,31,93,32,0.0010016249725595117,-14.707631605648235,2.8445543210397427e-08
P1_quad_10_10,DFP_wolf,31,93,94,0.0010031668934971094,-14.707631605648235,2.8445543210397427e-08
P1_quad_10_10,LBFGS_armijo,26,81,27,0.0021497909910976887,-14.70763160564824,2.1748867404805114e-08
P1_quad_10_10,LBFGS_wolf,26,81,79,0.0027943330351263285,-14.70763160564824,2.1748867404805114e-08
P2_quad_10_1000,GD_armijo,5000,16378,5001,0.09207212494220585,-391.17175903728327,1.7370659687489383e-06
P2_quad_10_1000,GD_wolf,5000,1979428,1866091,7.410046667093411,-391.17175903786654,1.2683383374955658e-06
P2_quad_10_1000,ModifiedNewton_armijo,2,4,2,0.00029733404517173767,-391.17175903847027,3.391717996176865e-14
P2_quad_10_1000,ModifiedNewton_wolf,2,4,4,0.00015979097224771976,-391.17175903847027,3.391717996176865e-14
P2_quad_10_1000,NewtonCG_armijo,3,7,3,0.000722415978088975,-391.1717590384682,6.228052921965916e-12
P2_quad_10_1000,NewtonCG_wolf,3,7,7,0.0006533329142257571,-391.1717590384682,6.228052921965916e-12
P2_quad_10_1000,BFGS_armijo,76,297,77,0.003840791992843151,-391.1717590384685,2.716354641046711e-09
P2_quad_10_1000,BFGS_wolf,78,235,234,0.003516833996400237,-391.17175903847175,1.8287195222326236e-08
P2_quad_10_1000,DFP_armijo,5000,114195,5002,0.3614011249737814,-391.1717590384688,6.39404034429967e-07
P2_quad_10_1000,DFP_wolf,1590,8778,6730,0.05112829199060798,-391.17175903847243,1.1879478949907132e-07
P2_quad_10_1000,LBFGS_armijo,5000,159838,5002,0.5027843749849126,-391.1717590384725,5.066443832457177e-07
P2_quad_10_1000,LBFGS_wolf,5000,4879013,4606621,18.60027649998665,-391.17175903845646,5.393851030710808e-07
P3_quad_1000_10,GD_armijo,52,163,52,0.5046992909628898,-1835.5010403476476,5.982184434470871e-07
P3_quad_1000_10,GD_wolf,147,1439,469,2.520129832904786,-1835.5010403476444,9.064400120961209e-07
P3_quad_1000_10,ModifiedNewton_armijo,2,4,2,0.03908779099583626,-1835.5010403476508,1.3978752657133902e-13
P3_quad_1000_10,ModifiedNewton_wolf,2,4,4,0.0458140829578042,-1835.5010403476508,1.3978752657133902e-13
P3_quad_1000_10,NewtonCG_armijo,5,13,5,0.005490583018399775,-1835.5010403476526,3.723164632786195e-07
P3_quad_1000_10,NewtonCG_wolf,5,13,13,0.006089917034842074,-1835.5010403476526,3.723164632786195e-07
P3_quad_1000_10,BFGS_armijo,30,93,31,0.06048679200466722,-1835.501040347648,6.396460184926052e-07
P3_quad_1000_10,BFGS_wolf,30,93,91,0.11205954197794199,-1835.501040347648,6.396460184926052e-07
P3_quad_1000_10,DFP_armijo,45,135,46,0.4643887090496719,-1835.501040347648,1.4099020602027357e-06
P3_quad_1000_10,DFP_wolf,45,135,136,0.3348845000145957,-1835.501040347648,1.4099020602027357e-06
P3_quad_1000_10,LBFGS_armijo,30,94,31,0.05959916696883738,-1835.501040347645,9.435204568470077e-07
P3_quad_1000_10,LBFGS_wolf,30,94,91,0.05056929204147309,-1835.501040347645,9.435204568470077e-07
P4_quad_1000_1000,GD_armijo,5000,16255,5001,2.613787791924551,-64604.942046041324,6.976385901687963e-05
P4_quad_1000_1000,GD_wolf,5000,2261067,1988910,423.6388485409552,-64604.94204615971,1.2201066128481047e-06
P4_quad_1000_1000,ModifiedNewton_armijo,2,4,2,0.06092570791952312,-64604.94204616001,1.3285732783475447e-12
P4_quad_1000_1000,ModifiedNewton_wolf,2,4,4,0.04852083302102983,-64604.94204616001,1.3285732783475447e-12
P4_quad_1000_1000,NewtonCG_armijo,5,13,5,0.12999041704460979,-64604.94204616039,5.126631705324438e-07
P4_quad_1000_1000,NewtonCG_wolf,5,13,13,0.10498841700609773,-64604.94204616039,5.126631705324438e-07
P4_quad_1000_1000,BFGS_armijo,5000,241972,5002,60.45745608303696,-64604.94204616042,2.1096965482553958e-06
P4_quad_1000_1000,BFGS_wolf,634,335030,162101,68.96094200003427,-64604.94204616028,8.512419148815408e-07
P4_quad_1000_1000,DFP_armijo,5000,92712,5002,46.7506445000181,-64604.94204615502,2.2386380544884638e-05
